"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 50","31 Dec 2015","3398.35","3420.75","3388.70","3415.20"
"NIFTY MIDCAP 50","30 Dec 2015","3400.25","3410.70","3387.50","3390.85"
"NIFTY MIDCAP 50","29 Dec 2015","3388.00","3393.10","3370.30","3388.90"
"NIFTY MIDCAP 50","28 Dec 2015","3374.20","3386.05","3367.85","3376.10"
"NIFTY MIDCAP 50","24 Dec 2015","3348.55","3368.65","3337.85","3366.70"
"NIFTY MIDCAP 50","23 Dec 2015","3337.90","3349.15","3327.90","3337.10"
"NIFTY MIDCAP 50","22 Dec 2015","3352.60","3365.90","3315.55","3319.30"
"NIFTY MIDCAP 50","21 Dec 2015","3322.25","3349.55","3317.25","3344.40"
"NIFTY MIDCAP 50","18 Dec 2015","3312.85","3344.05","3307.50","3315.90"
"NIFTY MIDCAP 50","17 Dec 2015","3275.75","3326.50","3267.05","3321.05"
"NIFTY MIDCAP 50","16 Dec 2015","3258.10","3283.75","3247.00","3258.00"
"NIFTY MIDCAP 50","15 Dec 2015","3226.50","3241.85","3216.00","3238.90"
"NIFTY MIDCAP 50","14 Dec 2015","3200.00","3241.75","3194.30","3222.70"
"NIFTY MIDCAP 50","11 Dec 2015","3275.75","3280.95","3194.10","3214.90"
"NIFTY MIDCAP 50","10 Dec 2015","3236.95","3271.05","3204.15","3266.45"
"NIFTY MIDCAP 50","09 Dec 2015","3285.20","3292.35","3206.10","3221.25"
"NIFTY MIDCAP 50","08 Dec 2015","3341.90","3366.25","3285.90","3291.75"
"NIFTY MIDCAP 50","07 Dec 2015","3378.35","3384.75","3346.25","3352.80"
"NIFTY MIDCAP 50","04 Dec 2015","3374.95","3395.85","3349.85","3356.00"
"NIFTY MIDCAP 50","03 Dec 2015","3403.95","3416.05","3383.50","3391.00"
"NIFTY MIDCAP 50","02 Dec 2015","3436.65","3436.65","3399.40","3411.65"
"NIFTY MIDCAP 50","01 Dec 2015","3422.80","3431.30","3403.10","3424.35"
"NIFTY MIDCAP 50","30 Nov 2015","3392.05","3423.00","3390.55","3406.15"
"NIFTY MIDCAP 50","27 Nov 2015","3370.65","3405.35","3366.65","3386.70"
"NIFTY MIDCAP 50","26 Nov 2015","3334.05","3362.95","3331.65","3356.70"
"NIFTY MIDCAP 50","24 Nov 2015","3324.15","3339.90","3318.10","3325.35"
"NIFTY MIDCAP 50","23 Nov 2015","3321.75","3336.20","3314.70","3323.40"
"NIFTY MIDCAP 50","20 Nov 2015","3286.80","3335.90","3286.80","3312.20"
"NIFTY MIDCAP 50","19 Nov 2015","3260.35","3278.10","3248.75","3275.20"
"NIFTY MIDCAP 50","18 Nov 2015","3283.25","3297.10","3230.30","3234.90"
"NIFTY MIDCAP 50","17 Nov 2015","3273.80","3287.60","3257.55","3280.10"
"NIFTY MIDCAP 50","16 Nov 2015","3212.90","3259.00","3212.90","3255.05"
"NIFTY MIDCAP 50","13 Nov 2015","3208.10","3233.25","3196.50","3220.10"
"NIFTY MIDCAP 50","11 Nov 2015","3236.25","3241.00","3228.25","3230.95"
