"Index Name","Date","Open","High","Low","Close"
"NIFTY NEXT 50","31 Dec 2015","19899.10","20005.00","19885.35","19977.05"
"NIFTY NEXT 50","30 Dec 2015","19953.95","19972.75","19830.25","19850.00"
"NIFTY NEXT 50","29 Dec 2015","19886.25","19940.75","19856.20","19912.50"
"NIFTY NEXT 50","28 Dec 2015","19813.95","19889.55","19813.50","19850.10"
"NIFTY NEXT 50","24 Dec 2015","19835.00","19836.15","19739.40","19785.15"
"NIFTY NEXT 50","23 Dec 2015","19741.45","19793.50","19718.30","19769.50"
"NIFTY NEXT 50","22 Dec 2015","19746.10","19803.95","19646.20","19668.30"
"NIFTY NEXT 50","21 Dec 2015","19610.95","19748.30","19584.90","19724.75"
"NIFTY NEXT 50","18 Dec 2015","19564.65","19686.50","19538.95","19593.85"
"NIFTY NEXT 50","17 Dec 2015","19404.80","19604.80","19378.50","19588.75"
"NIFTY NEXT 50","16 Dec 2015","19319.50","19400.15","19279.50","19302.90"
"NIFTY NEXT 50","15 Dec 2015","19145.35","19240.10","19110.95","19227.25"
"NIFTY NEXT 50","14 Dec 2015","18942.95","19145.45","18875.60","19098.40"
"NIFTY NEXT 50","11 Dec 2015","19217.10","19267.90","18943.30","19003.35"
"NIFTY NEXT 50","10 Dec 2015","19096.15","19179.25","18937.55","19159.75"
"NIFTY NEXT 50","09 Dec 2015","19334.75","19359.30","18991.15","19009.20"
"NIFTY NEXT 50","08 Dec 2015","19487.60","19581.60","19340.20","19365.20"
"NIFTY NEXT 50","07 Dec 2015","19619.95","19647.95","19541.15","19552.25"
"NIFTY NEXT 50","04 Dec 2015","19594.00","19666.90","19513.20","19540.00"
"NIFTY NEXT 50","03 Dec 2015","19793.10","19825.90","19671.80","19698.05"
"NIFTY NEXT 50","02 Dec 2015","19869.60","19883.00","19756.30","19842.15"
"NIFTY NEXT 50","01 Dec 2015","19714.25","19826.95","19710.45","19819.15"
"NIFTY NEXT 50","30 Nov 2015","19709.95","19723.00","19596.45","19616.70"
"NIFTY NEXT 50","27 Nov 2015","19714.90","19781.30","19626.15","19681.95"
"NIFTY NEXT 50","26 Nov 2015","19660.25","19709.40","19618.25","19627.75"
"NIFTY NEXT 50","24 Nov 2015","19600.30","19678.60","19574.65","19607.90"
"NIFTY NEXT 50","23 Nov 2015","19595.55","19663.15","19542.60","19577.20"
"NIFTY NEXT 50","20 Nov 2015","19446.70","19600.25","19413.45","19534.75"
"NIFTY NEXT 50","19 Nov 2015","19288.85","19413.35","19248.35","19397.95"
"NIFTY NEXT 50","18 Nov 2015","19294.70","19356.60","19147.35","19182.75"
"NIFTY NEXT 50","17 Nov 2015","19283.45","19289.10","19173.40","19275.90"
"NIFTY NEXT 50","16 Nov 2015","19232.65","19285.75","19104.00","19163.40"
"NIFTY NEXT 50","13 Nov 2015","19391.75","19391.75","19151.10","19268.90"
"NIFTY NEXT 50","11 Nov 2015","19462.75","19525.10","19462.75","19509.90"
"NIFTY NEXT 50","10 Nov 2015","19629.05","19661.35","19273.55","19311.30"
"NIFTY NEXT 50","09 Nov 2015","19192.55","19758.50","19171.80","19679.95"
"NIFTY NEXT 50","06 Nov 2015","19622.10","19664.70","19468.35","19561.75"
"NIFTY NEXT 50","05 Nov 2015","19881.70","19881.70","19595.25","19629.30"
"NIFTY NEXT 50","04 Nov 2015","19964.60","19991.10","19879.10","19893.30"
"NIFTY NEXT 50","03 Nov 2015","19874.35","19899.75","19807.40","19879.65"
"NIFTY NEXT 50","02 Nov 2015","19782.25","19785.20","19610.95","19768.00"
"NIFTY NEXT 50","30 Oct 2015","19782.80","19908.35","19701.75","19733.60"
"NIFTY NEXT 50","29 Oct 2015","19881.55","19881.55","19710.25","19744.55"
"NIFTY NEXT 50","28 Oct 2015","19883.80","19957.95","19765.55","19859.25"
"NIFTY NEXT 50","27 Oct 2015","19852.70","19938.05","19821.55","19915.00"
"NIFTY NEXT 50","26 Oct 2015","20000.85","20012.35","19825.75","19859.45"
"NIFTY NEXT 50","23 Oct 2015","20199.85","20199.85","19931.00","19943.05"
"NIFTY NEXT 50","21 Oct 2015","20144.60","20155.85","19948.15","20043.25"
"NIFTY NEXT 50","20 Oct 2015","20179.80","20243.15","20052.55","20139.50"
"NIFTY NEXT 50","19 Oct 2015","20039.75","20141.85","20020.30","20133.00"
"NIFTY NEXT 50","16 Oct 2015","20030.90","20042.20","19943.70","19999.80"
"NIFTY NEXT 50","15 Oct 2015","20017.70","20037.65","19938.40","19961.35"
"NIFTY NEXT 50","14 Oct 2015","19913.20","19987.55","19855.00","19918.45"
"NIFTY NEXT 50","13 Oct 2015","19991.00","19992.10","19783.65","19899.70"
"NIFTY NEXT 50","12 Oct 2015","20022.00","20047.20","19875.20","19938.85"
"NIFTY NEXT 50","09 Oct 2015","20064.85","20121.15","19877.45","19944.30"
"NIFTY NEXT 50","08 Oct 2015","20225.40","20239.90","19906.65","19955.75"
"NIFTY NEXT 50","07 Oct 2015","20209.35","20261.50","20127.20","20202.35"
"NIFTY NEXT 50","06 Oct 2015","20267.95","20279.30","20129.25","20198.50"
"NIFTY NEXT 50","05 Oct 2015","19897.90","20175.45","19897.90","20147.60"
"NIFTY NEXT 50","01 Oct 2015","19765.10","19808.25","19629.50","19752.40"
"NIFTY NEXT 50","30 Sep 2015","19394.70","19639.65","19341.15","19609.75"
"NIFTY NEXT 50","29 Sep 2015","19025.45","19324.25","18900.05","19235.15"
"NIFTY NEXT 50","28 Sep 2015","19448.50","19448.50","19183.85","19206.35"
"NIFTY NEXT 50","24 Sep 2015","19389.30","19463.60","19303.95","19358.95"
"NIFTY NEXT 50","23 Sep 2015","19173.55","19425.05","19107.05","19356.35"
"NIFTY NEXT 50","22 Sep 2015","19785.55","19795.05","19344.15","19398.80"
"NIFTY NEXT 50","21 Sep 2015","19522.55","19716.25","19494.50","19669.55"
"NIFTY NEXT 50","18 Sep 2015","19687.50","19840.95","19597.50","19642.45"
"NIFTY NEXT 50","16 Sep 2015","19776.70","19785.10","19425.40","19485.10"
"NIFTY NEXT 50","15 Sep 2015","19841.50","19889.70","19584.05","19638.30"
"NIFTY NEXT 50","14 Sep 2015","19633.45","19828.20","19537.05","19810.50"
"NIFTY NEXT 50","11 Sep 2015","19644.65","19720.65","19436.80","19504.60"
"NIFTY NEXT 50","10 Sep 2015","19176.60","19568.05","18994.35","19501.75"
"NIFTY NEXT 50","09 Sep 2015","19293.75","19491.90","19268.40","19402.50"
"NIFTY NEXT 50","08 Sep 2015","18996.45","19161.50","18631.85","19018.75"
"NIFTY NEXT 50","07 Sep 2015","19467.35","19514.95","18919.05","18946.80"
"NIFTY NEXT 50","04 Sep 2015","19788.80","19788.80","19267.60","19407.60"
"NIFTY NEXT 50","03 Sep 2015","19728.45","19901.55","19716.75","19795.75"
"NIFTY NEXT 50","02 Sep 2015","19906.40","19979.75","19546.15","19588.55"
"NIFTY NEXT 50","01 Sep 2015","19900.35","20118.20","19623.70","19752.65"
"NIFTY NEXT 50","31 Aug 2015","20224.75","20419.35","20032.30","20095.75"
"NIFTY NEXT 50","28 Aug 2015","20323.30","20427.10","20091.95","20215.35"
"NIFTY NEXT 50","27 Aug 2015","19937.50","20172.50","19803.65","20120.75"
"NIFTY NEXT 50","26 Aug 2015","19710.40","19948.90","19400.10","19585.85"
"NIFTY NEXT 50","25 Aug 2015","19562.35","19830.65","18770.65","19742.60"
"NIFTY NEXT 50","24 Aug 2015","20430.00","20430.00","19227.80","19314.20"
"NIFTY NEXT 50","21 Aug 2015","21003.00","21101.75","20789.90","21046.15"
"NIFTY NEXT 50","20 Aug 2015","21496.85","21599.60","21177.40","21207.30"
"NIFTY NEXT 50","19 Aug 2015","21462.50","21618.25","21361.10","21485.05"
"NIFTY NEXT 50","18 Aug 2015","21492.70","21555.40","21336.35","21465.60"
"NIFTY NEXT 50","17 Aug 2015","21310.95","21404.75","21107.65","21364.50"
"NIFTY NEXT 50","14 Aug 2015","20948.80","21271.55","20885.95","21250.80"
"NIFTY NEXT 50","13 Aug 2015","20997.50","21190.70","20756.90","20806.55"
"NIFTY NEXT 50","12 Aug 2015","21327.15","21327.15","20836.65","20877.20"
"NIFTY NEXT 50","11 Aug 2015","21613.70","21617.60","21234.55","21393.60"
"NIFTY NEXT 50","10 Aug 2015","21597.90","21730.80","21459.70","21524.50"
"NIFTY NEXT 50","07 Aug 2015","21630.95","21667.65","21478.15","21520.30"
"NIFTY NEXT 50","06 Aug 2015","21553.40","21608.80","21439.85","21594.05"
"NIFTY NEXT 50","05 Aug 2015","21441.10","21567.45","21428.85","21499.90"
"NIFTY NEXT 50","04 Aug 2015","21076.45","21335.45","21009.00","21305.80"
"NIFTY NEXT 50","03 Aug 2015","20892.60","21050.45","20865.00","20989.10"
"NIFTY NEXT 50","31 Jul 2015","20626.95","20881.70","20626.95","20813.35"
"NIFTY NEXT 50","30 Jul 2015","20516.85","20676.90","20512.35","20571.70"
