"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 50","31 Dec 2014","-","-","-","2976.61"
"NIFTY SMALLCAP 50","30 Dec 2014","-","-","-","2925.94"
"NIFTY SMALLCAP 50","29 Dec 2014","-","-","-","2902.10"
"NIFTY SMALLCAP 50","26 Dec 2014","-","-","-","2887.97"
"NIFTY SMALLCAP 50","24 Dec 2014","-","-","-","2879.48"
"NIFTY SMALLCAP 50","23 Dec 2014","-","-","-","2874.25"
"NIFTY SMALLCAP 50","22 Dec 2014","-","-","-","2888.25"
"NIFTY SMALLCAP 50","19 Dec 2014","-","-","-","2837.79"
"NIFTY SMALLCAP 50","18 Dec 2014","-","-","-","2840.08"
"NIFTY SMALLCAP 50","17 Dec 2014","-","-","-","2739.88"
"NIFTY SMALLCAP 50","16 Dec 2014","-","-","-","2779.77"
"NIFTY SMALLCAP 50","15 Dec 2014","-","-","-","2895.81"
"NIFTY SMALLCAP 50","12 Dec 2014","-","-","-","2903.37"
"NIFTY SMALLCAP 50","11 Dec 2014","-","-","-","2957.12"
"NIFTY SMALLCAP 50","10 Dec 2014","-","-","-","2967.40"
"NIFTY SMALLCAP 50","09 Dec 2014","-","-","-","2926.24"
"NIFTY SMALLCAP 50","08 Dec 2014","-","-","-","2986.88"
"NIFTY SMALLCAP 50","05 Dec 2014","-","-","-","3002.60"
"NIFTY SMALLCAP 50","04 Dec 2014","-","-","-","3020.75"
"NIFTY SMALLCAP 50","03 Dec 2014","-","-","-","3004.27"
"NIFTY SMALLCAP 50","02 Dec 2014","-","-","-","2960.56"
"NIFTY SMALLCAP 50","01 Dec 2014","-","-","-","2919.48"
"NIFTY SMALLCAP 50","28 Nov 2014","-","-","-","2953.17"
"NIFTY SMALLCAP 50","27 Nov 2014","-","-","-","2945.44"
"NIFTY SMALLCAP 50","26 Nov 2014","-","-","-","2934.80"
"NIFTY SMALLCAP 50","25 Nov 2014","-","-","-","2897.41"
"NIFTY SMALLCAP 50","24 Nov 2014","-","-","-","2954.86"
"NIFTY SMALLCAP 50","21 Nov 2014","-","-","-","2967.15"
"NIFTY SMALLCAP 50","20 Nov 2014","-","-","-","2989.60"
"NIFTY SMALLCAP 50","19 Nov 2014","-","-","-","3004.83"
"NIFTY SMALLCAP 50","18 Nov 2014","-","-","-","3016.72"
"NIFTY SMALLCAP 50","17 Nov 2014","-","-","-","3002.44"
"NIFTY SMALLCAP 50","14 Nov 2014","-","-","-","2968.76"
"NIFTY SMALLCAP 50","13 Nov 2014","-","-","-","2954.09"
"NIFTY SMALLCAP 50","12 Nov 2014","-","-","-","2976.71"
"NIFTY SMALLCAP 50","11 Nov 2014","-","-","-","2977.85"
"NIFTY SMALLCAP 50","10 Nov 2014","-","-","-","2954.90"
"NIFTY SMALLCAP 50","07 Nov 2014","-","-","-","2953.64"
"NIFTY SMALLCAP 50","05 Nov 2014","-","-","-","2957.77"
"NIFTY SMALLCAP 50","03 Nov 2014","-","-","-","2953.46"
"NIFTY SMALLCAP 50","31 Oct 2014","-","-","-","2892.16"
"NIFTY SMALLCAP 50","30 Oct 2014","-","-","-","2852.83"
"NIFTY SMALLCAP 50","29 Oct 2014","-","-","-","2822.45"
"NIFTY SMALLCAP 50","28 Oct 2014","-","-","-","2795.97"
"NIFTY SMALLCAP 50","27 Oct 2014","-","-","-","2782.50"
"NIFTY SMALLCAP 50","23 Oct 2014","-","-","-","2808.42"
"NIFTY SMALLCAP 50","22 Oct 2014","-","-","-","2790.38"
"NIFTY SMALLCAP 50","21 Oct 2014","-","-","-","2734.36"
"NIFTY SMALLCAP 50","20 Oct 2014","-","-","-","2699.22"
"NIFTY SMALLCAP 50","17 Oct 2014","-","-","-","2659.34"
"NIFTY SMALLCAP 50","16 Oct 2014","-","-","-","2664.91"
"NIFTY SMALLCAP 50","14 Oct 2014","-","-","-","2761.05"
"NIFTY SMALLCAP 50","13 Oct 2014","-","-","-","2753.86"
"NIFTY SMALLCAP 50","10 Oct 2014","-","-","-","2738.17"
"NIFTY SMALLCAP 50","09 Oct 2014","-","-","-","2773.18"
"NIFTY SMALLCAP 50","08 Oct 2014","-","-","-","2715.77"
"NIFTY SMALLCAP 50","07 Oct 2014","-","-","-","2742.76"
"NIFTY SMALLCAP 50","01 Oct 2014","-","-","-","2768.44"
"NIFTY SMALLCAP 50","30 Sep 2014","-","-","-","2785.90"
"NIFTY SMALLCAP 50","29 Sep 2014","-","-","-","2774.48"
"NIFTY SMALLCAP 50","26 Sep 2014","-","-","-","2732.56"
"NIFTY SMALLCAP 50","25 Sep 2014","-","-","-","2719.84"
"NIFTY SMALLCAP 50","24 Sep 2014","-","-","-","2815.90"
"NIFTY SMALLCAP 50","23 Sep 2014","-","-","-","2888.94"
"NIFTY SMALLCAP 50","22 Sep 2014","-","-","-","2969.90"
"NIFTY SMALLCAP 50","19 Sep 2014","-","-","-","2952.82"
"NIFTY SMALLCAP 50","18 Sep 2014","-","-","-","2929.76"
"NIFTY SMALLCAP 50","17 Sep 2014","-","-","-","2853.38"
"NIFTY SMALLCAP 50","16 Sep 2014","-","-","-","2850.50"
"NIFTY SMALLCAP 50","15 Sep 2014","-","-","-","2957.05"
"NIFTY SMALLCAP 50","12 Sep 2014","-","-","-","2960.45"
"NIFTY SMALLCAP 50","11 Sep 2014","-","-","-","2953.44"
"NIFTY SMALLCAP 50","10 Sep 2014","-","-","-","2917.42"
"NIFTY SMALLCAP 50","09 Sep 2014","-","-","-","2900.76"
"NIFTY SMALLCAP 50","08 Sep 2014","-","-","-","2885.33"
"NIFTY SMALLCAP 50","05 Sep 2014","-","-","-","2852.43"
"NIFTY SMALLCAP 50","04 Sep 2014","-","-","-","2843.90"
"NIFTY SMALLCAP 50","03 Sep 2014","-","-","-","2854.83"
"NIFTY SMALLCAP 50","02 Sep 2014","-","-","-","2836.17"
"NIFTY SMALLCAP 50","01 Sep 2014","-","-","-","2796.24"
"NIFTY SMALLCAP 50","28 Aug 2014","-","-","-","2745.94"
"NIFTY SMALLCAP 50","27 Aug 2014","-","-","-","2748.09"
"NIFTY SMALLCAP 50","26 Aug 2014","-","-","-","2727.32"
"NIFTY SMALLCAP 50","25 Aug 2014","-","-","-","2733.55"
"NIFTY SMALLCAP 50","22 Aug 2014","-","-","-","2769.85"
"NIFTY SMALLCAP 50","21 Aug 2014","-","-","-","2775.70"
"NIFTY SMALLCAP 50","20 Aug 2014","-","-","-","2784.27"
"NIFTY SMALLCAP 50","19 Aug 2014","-","-","-","2778.23"
"NIFTY SMALLCAP 50","18 Aug 2014","-","-","-","2734.59"
"NIFTY SMALLCAP 50","14 Aug 2014","-","-","-","2662.08"
"NIFTY SMALLCAP 50","13 Aug 2014","-","-","-","2632.85"
"NIFTY SMALLCAP 50","12 Aug 2014","-","-","-","2725.87"
"NIFTY SMALLCAP 50","11 Aug 2014","-","-","-","2701.14"
"NIFTY SMALLCAP 50","08 Aug 2014","-","-","-","2686.37"
"NIFTY SMALLCAP 50","07 Aug 2014","-","-","-","2768.21"
"NIFTY SMALLCAP 50","06 Aug 2014","-","-","-","2774.50"
"NIFTY SMALLCAP 50","05 Aug 2014","-","-","-","2799.49"
"NIFTY SMALLCAP 50","04 Aug 2014","-","-","-","2762.12"
"NIFTY SMALLCAP 50","01 Aug 2014","-","-","-","2717.32"
"NIFTY SMALLCAP 50","31 Jul 2014","-","-","-","2738.48"
"NIFTY SMALLCAP 50","30 Jul 2014","-","-","-","2724.31"
"NIFTY SMALLCAP 50","28 Jul 2014","-","-","-","2703.65"
"NIFTY SMALLCAP 50","25 Jul 2014","-","-","-","2725.74"
"NIFTY SMALLCAP 50","24 Jul 2014","-","-","-","2779.55"
"NIFTY SMALLCAP 50","23 Jul 2014","-","-","-","2796.47"
"NIFTY SMALLCAP 50","22 Jul 2014","-","-","-","2823.61"
"NIFTY SMALLCAP 50","21 Jul 2014","-","-","-","2842.91"
"NIFTY SMALLCAP 50","18 Jul 2014","-","-","-","2826.02"
"NIFTY SMALLCAP 50","17 Jul 2014","-","-","-","2830.36"
"NIFTY SMALLCAP 50","16 Jul 2014","-","-","-","2801.77"
"NIFTY SMALLCAP 50","15 Jul 2014","-","-","-","2741.72"
"NIFTY SMALLCAP 50","14 Jul 2014","-","-","-","2667.10"
"NIFTY SMALLCAP 50","11 Jul 2014","-","-","-","2667.78"
"NIFTY SMALLCAP 50","10 Jul 2014","-","-","-","2763.23"
"NIFTY SMALLCAP 50","09 Jul 2014","-","-","-","2724.01"
"NIFTY SMALLCAP 50","08 Jul 2014","-","-","-","2793.37"
"NIFTY SMALLCAP 50","07 Jul 2014","-","-","-","2912.12"
"NIFTY SMALLCAP 50","04 Jul 2014","-","-","-","2917.53"
"NIFTY SMALLCAP 50","03 Jul 2014","-","-","-","2897.24"
"NIFTY SMALLCAP 50","02 Jul 2014","-","-","-","2910.32"
"NIFTY SMALLCAP 50","01 Jul 2014","-","-","-","2881.31"
