ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
HDFCBANK,closed,2026-05-08,768.1453066332916,3,2026-06-09,726.3367959949938,42,32
EICHERMOT,closed,2026-05-08,7302.5,6,2026-06-09,7203.0,16,32
NESTLEIND,closed,2026-05-08,1477.3343903772554,8,2026-06-09,1405.5804264625478,14,32
BAJAJ-AUTO,closed,2026-05-08,10562.846162742286,10,2026-07-09,10155.0,12,62
HINDZINC,closed,2026-05-08,635.1,5,2026-07-09,528.5,18,62
ADANIPOWER,open,2026-05-08,225.33,1,,208.97,,83
SHRIRAMFIN,open,2026-05-08,1002.0815833880191,2,,1027.2,,83
HINDALCO,open,2026-05-08,1038.9798951684054,4,,970.4,,83
ADANIGREEN,open,2026-05-08,1355.8,7,,1358.7,,83
TITAN,open,2026-05-08,4494.253139717425,9,,4850.0,,83
LICI,open,2026-06-09,394.6489693082913,2,,422.85,,51
ADANIPORTS,open,2026-06-09,1818.735067987242,6,,1664.1,,51
ADANIENT,open,2026-06-09,2978.5682240099013,8,,3049.1,,51
TATASTEEL,open,2026-06-09,199.0745241462922,9,,186.92,,51
COALINDIA,open,2026-06-09,466.9,10,,417.2,,51
NESTLEIND,open,2026-07-09,1458.2,7,,1520.7,,21
SUNPHARMA,open,2026-07-09,1938.7,10,,2001.1,,21
