ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
HINDCOPPER,closed,2025-12-02,338.0579798303186,1,2026-02-02,684.8020329758284,,62
NETWEB,closed,2025-12-02,3220.3,2,2026-02-02,3144.7,,62
ATHERENERG,closed,2025-12-02,685.25,3,2026-02-02,621.25,,62
PRIVISCL,closed,2025-12-02,3167.4,4,2026-02-02,2812.7,,62
CHENNPETRO,closed,2025-12-02,925.4188608341111,5,2026-02-02,859.2431031094955,,62
PTCIL,closed,2025-12-02,18352.0,6,2026-02-02,18058.0,,62
GMDCLTD,closed,2025-12-02,540.7,8,2026-02-02,577.75,,62
MRPL,closed,2025-12-02,155.69528925619832,9,2026-04-07,179.33,16,126
TBOTEK,closed,2025-12-02,1697.8,10,2026-04-07,1082.7,243,126
ASAHIINDIA,closed,2025-12-02,1066.4,11,2026-04-07,805.4,182,126
NAVINFLUOR,closed,2025-12-02,5779.546821293838,12,2026-04-07,5814.504764566159,79,126
IIFL,closed,2025-12-02,576.4844840249724,7,2026-04-07,428.4,236,126
CEMPRO,closed,2025-12-02,846.3341699991491,14,2026-04-07,560.7150897643155,222,126
WELSPUNLIV,closed,2025-12-02,136.29810484597368,15,2026-04-07,119.23835525130607,117,126
BSOFT,closed,2026-02-02,419.35680371111516,1,2026-04-07,362.4472621429871,151,64
CYIENT,closed,2026-02-02,1129.6,3,2026-04-07,832.35,214,64
HSCL,closed,2026-02-02,459.82624248581834,4,2026-04-07,455.482135297604,97,64
AEGISLOG,closed,2026-02-02,698.9258049204967,6,2026-04-07,584.8834744086702,169,64
KPIL,closed,2026-02-02,1118.3415402398498,8,2026-04-07,1083.7188845542553,114,64
NAVA,closed,2026-02-02,552.0,9,2026-04-07,563.2,71,64
TITAGARH,closed,2026-02-02,790.45,10,2026-04-07,695.25,194,64
SWANCORP,closed,2026-02-02,412.45,11,2026-04-07,313.5,242,64
ARE&M,closed,2026-02-02,811.5365792186963,12,2026-06-09,826.7454347577042,151,127
SAMMAANCAP,closed,2026-02-02,146.73,14,2026-06-09,180.65,47,127
HBLENGINE,closed,2026-02-02,769.5639005083982,15,2026-06-09,781.4,61,127
MCX,closed,2026-04-07,2541.9,1,2026-06-09,2824.8,90,63
AIIL,closed,2026-04-07,412.25,2,2026-06-09,470.7,116,63
PFOCUS,closed,2026-04-07,340.7,3,2026-06-09,288.8,,63
AVANTIFEED,closed,2026-04-07,1241.2,4,2026-06-09,1027.0,237,63
TDPOWERSYS,closed,2026-04-07,880.25,5,2026-06-09,1231.0,23,63
GESHIP,closed,2026-04-07,1414.7869339705112,6,2026-06-09,1442.2,126,63
CCL,closed,2026-04-07,1146.1,8,2026-06-09,1149.1,91,63
VTL,closed,2026-04-07,547.15,9,2026-06-09,620.85,85,63
DATAPATTNS,closed,2026-04-07,3202.1199021207176,10,2026-06-09,4548.584828711256,19,63
NATCOPHARM,closed,2026-04-07,1082.4,11,2026-06-09,865.0,224,63
ACUTAAS,open,2025-12-02,1743.3,13,,3233.8,,240
EMMVEE,open,2026-04-07,230.52,12,,307.45,,114
SANSERA,open,2026-04-07,2150.6,13,,3235.2,,114
AETHER,open,2026-04-07,1084.8,14,,1490.8,,114
CPPLUS,open,2026-04-07,1830.7689287295264,15,,3259.8,,114
CEMPRO,open,2026-06-09,1200.7272526163533,1,,1358.7,,51
OLAELEC,open,2026-06-09,47.34,3,,37.78,,51
WELCORP,open,2026-06-09,1406.9283028858881,5,,1655.0,,51
SYRMA,open,2026-06-09,1256.8,6,,1377.8,,51
SHAILY,open,2026-06-09,3132.6,7,,3029.1,,51
DEEPAKFERT,open,2026-06-09,1518.6,8,,1532.4,,51
ACMESOLAR,open,2026-06-09,348.7,9,,360.7,,51
HSCL,open,2026-06-09,679.5,10,,760.5,,51
RUBICON,open,2026-06-09,1170.5,11,,1500.2,,51
THANGAMAYL,open,2026-06-09,5454.243375174337,13,,5807.0,,51
INOXINDIA,open,2026-06-09,1686.7,14,,1897.5,,51
ATHERENERG,open,2026-06-09,1032.8,15,,1240.9,,51
