ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
RIIL,closed,2007-10-01,1365.1122906947774,3,2008-01-01,2140.9812051285917,,92
SANGHVIMOV,closed,2007-10-01,92.93119578727841,4,2008-01-01,151.42546620453194,2,92
NAVA,closed,2007-10-01,11.88742766183603,5,2008-01-01,16.796862229112296,45,92
STCINDIA,closed,2007-10-01,166.3,12,2008-04-02,310.65,,184
GPIL,closed,2007-10-01,8.857536181729522,13,2008-04-02,6.209718329536603,150,184
JINDRILL,closed,2007-10-01,427.7942436632606,16,2008-04-02,530.3903874493342,,184
INDOTECH,closed,2007-10-01,520.25,20,2008-04-02,518.95,39,184
APTECHT,closed,2007-10-01,198.53349081057496,23,2008-04-02,102.39354447002077,204,184
POLYPLEX,closed,2007-10-01,29.00195913874231,26,2008-04-02,24.678254892971797,,184
MANALIPETC,closed,2007-10-01,14.746960865945045,28,2008-04-02,14.051817929503192,54,184
BANCOINDIA,closed,2007-10-01,38.502429193771476,1,2008-04-02,7.961730107920435,221,184
INDIAGLYCO,closed,2007-10-01,122.07389799636773,7,2008-04-02,122.19123161612588,36,184
DCW,closed,2007-10-01,19.95365655973047,21,2008-04-02,19.606204828590883,45,184
BLBLIMITED,closed,2008-01-01,73.05,8,2008-04-02,28.9,4,92
NOIDATOLL,closed,2008-01-01,65.47293991666463,10,2008-04-02,33.62451229998868,32,92
VLSFINANCE,closed,2008-01-01,50.6050751455522,16,2008-07-04,13.954883332581128,201,185
IIFL,closed,2008-01-01,23.414546043066434,18,2008-07-04,7.279328908363115,187,185
KCP,closed,2008-01-01,76.75529491662375,20,2008-07-04,23.780000460728676,188,185
SPIC,closed,2008-01-01,37.414613154588714,26,2008-07-04,19.359044999987194,88,185
GOLDTECH,closed,2007-10-01,157.1,8,2008-07-04,188.55,,277
ACE,closed,2007-10-01,67.87939958154364,19,2008-07-04,59.99906945734044,97,277
ARE&M,closed,2008-01-01,19.541713225321967,1,2008-07-04,12.944922308690074,36,185
GALLANTT,closed,2008-04-02,25.389893821278065,5,2008-07-04,19.91364221276711,93,93
ASTRAL,closed,2008-04-02,7.340135789559344,8,2008-07-04,6.170033086390322,33,93
HSCL,closed,2008-04-02,4.44932594969677,10,2008-07-04,3.521759679080766,111,93
INDIANHUME,closed,2008-04-02,13.36645528871313,11,2008-07-04,11.762088747736934,,93
GAEL,closed,2008-04-02,5.042659472346024,14,2008-07-04,4.245292380208431,163,93
MCLEODRUSS,closed,2008-04-02,67.75,16,2008-07-04,67.2,19,93
NILKAMAL,closed,2008-04-02,175.41441683761218,23,2008-10-06,105.11016503664287,157,187
EIDPARRY,closed,2008-04-02,73.00097790135302,24,2008-10-06,78.35138671851463,14,187
JAYBARMARU,closed,2008-04-02,10.216578324504196,25,2008-10-06,5.724316612245393,173,187
SAGCEM,closed,2008-04-02,67.28683077665337,1,2008-10-06,40.897776831434626,152,187
KOHINOOR,closed,2008-04-02,110.4,2,2008-10-06,123.45,12,187
KRBL,closed,2008-04-02,11.125790770495982,7,2008-10-06,9.10248488231034,49,187
MASTEK,closed,2008-07-04,315.6625233059174,3,2008-10-06,240.84899748165742,41,94
INGERRAND,closed,2008-07-04,218.4782959657848,10,2008-10-06,174.50918932496765,17,94
BANARISUG,closed,2008-07-04,716.6116130746744,12,2008-10-06,655.3159048631411,50,94
INDOCO,closed,2008-07-04,33.24544543069861,14,2008-10-06,27.215260470122733,61,94
TORNTPHARM,closed,2008-07-04,31.131235201469067,15,2008-10-06,30.279285751332278,13,94
NAVA,closed,2008-07-04,13.060515343302553,16,2008-10-06,8.806506989514698,57,94
FOSECOIND,closed,2008-07-04,307.34251903310576,20,2009-01-12,226.30921829041043,37,192
GODFRYPHLP,closed,2008-07-04,77.81307585813161,22,2009-01-12,50.2340009963004,72,192
SAKHTISUG,closed,2008-07-04,68.2,23,2009-01-12,37.95,,192
ZYDUSLIFE,closed,2008-07-04,4.788425492967374,4,2009-01-12,3.9729344639419883,22,192
PUNJABCHEM,closed,2008-07-04,198.55936120724257,8,2009-01-12,134.70831537358222,54,192
BASF,closed,2008-07-04,259.76297337535635,11,2009-01-12,217.41730489139042,,192
IIFL,closed,2008-10-06,24.409010493241762,1,2009-01-12,13.89232891837865,,98
GENESYS,closed,2008-10-06,40.925,2,2009-01-12,22.6,,98
CTE,closed,2008-10-06,42.45,4,2009-01-12,17.55,,98
REPRO,closed,2008-10-06,112.15,5,2009-01-12,70.0,,98
JAYSREETEA,closed,2008-10-06,69.48646123439045,8,2009-01-12,41.83622540652233,45,98
HARRMALAYA,closed,2008-10-06,73.32242128121607,11,2009-01-12,35.60955483170467,153,98
MCLEODRUSS,closed,2008-10-06,72.4,15,2009-04-21,67.05,56,197
HIKAL,closed,2008-10-06,50.74236025771436,18,2009-04-21,24.826627969993904,196,197
TVSMOTOR,closed,2008-10-06,14.662420065286355,19,2009-04-21,11.654744154458385,103,197
UNICHEMLAB,closed,2008-10-06,64.0325056998439,6,2009-04-21,63.21059592518918,43,197
RALLIS,closed,2008-10-06,25.86359572516858,9,2009-04-21,33.258570712430306,10,197
KAJARIACER,closed,2008-10-06,14.219386026501867,20,2009-04-21,13.123754942382796,58,197
SANDESH,closed,2009-01-12,112.27328774676216,4,2009-04-21,125.11392769433907,7,99
