ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
TTKPRESTIG,closed,2007-10-08,10.324193225473385,25,2007-10-15,10.17136138185516,27,7
TRIGYN,closed,2007-10-08,27.35,28,2007-10-15,26.15,29,7
BSL,closed,2007-10-08,23.324665064240136,31,2007-10-22,22.30844521704295,38,14
GILLETTE,closed,2007-10-08,746.8282093131946,33,2007-10-22,740.1881624044768,32,14
KABRAEXTRU,closed,2007-10-08,5.213782516235897,34,2007-10-29,5.76733029867117,27,21
GENESYS,closed,2007-10-08,20.075,3,2007-10-29,29.8,2,21
KKCL,closed,2007-10-08,10.168108460656136,5,2007-10-29,11.005078131330661,5,21
TAINWALCHM,closed,2007-10-08,12.826350238211852,22,2007-11-05,13.664996215325704,21,28
ZODIACLOTH,closed,2007-10-15,183.21832149604109,11,2007-11-05,199.7952172504448,5,21
ATLASCYCLE,closed,2007-10-15,81.375,16,2007-11-05,90.0,19,21
RADAAN,closed,2007-10-08,7.35,10,2007-11-12,7.15,18,35
GREENPLY,closed,2007-10-15,45.608236186785454,4,2007-11-12,51.24946470114747,3,28
NORBTEAEXP,closed,2007-10-15,4.35,25,2007-11-12,4.3,25,28
TTKPRESTIG,closed,2007-10-22,9.214151413930473,29,2007-11-12,10.501156412820807,26,21
ZENITHEXPO,closed,2007-10-29,71.0,22,2007-11-12,65.25,,14
KHANDSE,closed,2007-10-08,46.15,7,2007-11-12,49.95,7,35
TOKYOPLAST,closed,2007-10-29,11.35,12,2007-11-19,12.6,19,21
CALSOFT,closed,2007-10-08,83.05,14,2007-11-19,83.0,25,42
IDEA,closed,2007-10-08,131.83681631836814,15,2007-11-19,126.58734126587342,34,42
EUROTEXIND,closed,2007-10-08,38.0,20,2007-11-19,34.85,27,42
GMBREW,closed,2007-10-08,14.370838232348323,30,2007-11-19,17.129149147740325,28,42
COFORGE,closed,2007-10-22,8.984573364294409,6,2007-11-19,6.34189983017331,36,28
CINEVISTA,closed,2007-10-29,13.51,3,2007-11-19,14.87,,21
ATLASCYCLE,closed,2007-11-12,86.775,14,2007-11-26,89.0,17,14
PLASTIBLEN,closed,2007-11-12,9.17507549170647,30,2007-11-26,9.645592183588853,,14
