ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
AARTIIND,closed,2017-08-28,210.81,11,2017-09-11,214.05,12,14
PHOENIXLTD,closed,2017-08-28,261.45,13,2017-09-11,249.25,28,14
FINPIPE,closed,2017-08-28,122.52,15,2017-09-11,121.74,17,14
PATELENG,closed,2017-08-28,61.1,16,2017-09-11,64.49,39,14
DBCORP,closed,2017-08-28,376.6,18,2017-09-11,377.3,21,14
JKCEMENT,closed,2017-08-28,1016.65,20,2017-09-25,944.55,27,28
FINCABLES,closed,2017-08-28,534.2,22,2017-09-25,530.7,23,28
KAJARIACER,closed,2017-08-28,698.55,4,2017-09-25,717.4,4,28
SUNDRMFAST,closed,2017-08-28,397.65,9,2017-09-25,441.75,9,28
HATSUN,closed,2017-09-11,457.03,6,2017-09-25,491.34,6,14
MANAPPURAM,closed,2017-09-11,108.1,11,2017-10-10,104.6,14,29
GESHIP,closed,2017-09-11,410.9,14,2017-10-10,388.05,18,29
MOTILALOFS,closed,2017-09-11,323.98,1,2017-10-10,374.29,1,29
GTLINFRA,closed,2017-09-11,6.75,2,2017-10-10,5.9,29,29
WELSPUNLIV,closed,2017-09-11,76.6,10,2017-10-10,68.0,20,29
FINPIPE,closed,2017-09-25,124.22,14,2017-10-25,144.19,8,30
GSPL,closed,2017-09-25,182.42052949318244,16,2017-10-25,194.9144476900066,18,30
KRBL,closed,2017-09-25,470.95,7,2017-10-25,623.8,2,30
SUNDRMFAST,closed,2017-10-10,453.8,8,2017-10-25,512.9,7,15
SOLARINDS,closed,2017-10-10,1010.2,10,2017-11-08,1051.4,12,29
AARTIIND,closed,2017-10-10,220.56,16,2017-11-08,222.98,26,29
JMFINANCIL,closed,2017-10-10,177.85,2,2017-11-08,156.9,3,29
PRESTIGE,closed,2017-10-10,299.7,12,2017-11-08,275.5,14,29
MOTILALOFS,closed,2017-10-25,347.86,1,2017-11-08,332.66,2,14
PHOENIXLTD,closed,2017-10-25,269.18,12,2017-11-22,242.45,22,28
NCC,closed,2017-10-25,107.9,13,2017-11-22,108.75,19,28
DBCORP,closed,2017-11-08,373.3,18,2017-12-06,355.85,21,28
JINDALSTEL,closed,2017-09-11,143.15,8,2017-12-06,158.45,4,86
MMTC,closed,2017-11-08,57.8,9,2017-12-06,46.47,19,28
BATAINDIA,closed,2017-09-25,709.3,13,2017-12-20,750.4,10,86
MOTILALOFS,closed,2017-11-22,330.24,1,2017-12-20,370.26,1,28
JMFINANCIL,closed,2017-12-06,142.4,3,2017-12-20,152.6,2,14
PHOENIXLTD,closed,2017-12-06,275.73,18,2018-01-04,290.3,29,29
JYOTHYLAB,closed,2017-08-28,188.8,2,2018-01-04,190.23,,129
HATSUN,closed,2017-10-25,510.62,6,2018-01-04,606.34,,71
KRBL,closed,2017-11-08,644.5,1,2018-01-04,611.85,,57
PRESTIGE,closed,2017-11-22,320.65,7,2018-01-04,338.6,,43
FINCABLES,closed,2017-12-20,707.2,12,2018-01-04,696.6,20,15
SOLARINDS,closed,2017-12-20,1177.0,13,2018-01-18,1134.15,19,29
NCC,closed,2017-12-20,129.1,14,2018-01-18,123.25,,29
HINDCOPPER,closed,2017-11-08,95.1,11,2018-01-18,87.2,31,71
MANAPPURAM,closed,2018-01-04,119.8,9,2018-01-18,115.6,22,14
ASTRAL,closed,2018-01-04,364.95,11,2018-02-02,352.08,8,29
EIHOTEL,closed,2017-12-06,145.4,17,2018-02-02,182.0,9,58
ASAHIINDIA,closed,2018-01-04,365.95,12,2018-02-02,347.3,11,29
BASF,closed,2018-01-18,2201.4,11,2018-02-19,2002.3,9,32
BIRLACORPN,closed,2018-01-18,1175.95,14,2018-02-19,950.6,25,32
AVANTIFEED,closed,2018-01-04,849.13,3,2018-02-19,763.53,2,46
AEGISLOG,closed,2018-02-02,268.05,7,2018-02-19,262.35,22,17
PHOENIXLTD,closed,2018-02-02,317.25,10,2018-02-19,302.48,8,17
FINCABLES,closed,2018-02-02,700.85,14,2018-03-06,699.45,14,32
SUNDRMFAST,closed,2017-11-08,473.35,13,2018-03-06,553.5,11,118
VGUARD,closed,2018-01-18,235.15,10,2018-03-06,231.1,17,47
SFL,closed,2018-02-19,813.9,15,2018-03-06,788.08,16,15
SOLARINDS,closed,2018-02-19,1038.45,18,2018-03-20,1017.95,18,29
KEC,closed,2018-02-19,377.45,5,2018-03-20,388.55,4,29
AARTIIND,closed,2018-02-19,288.98,17,2018-03-20,278.08,16,29
AVANTIFEED,closed,2018-03-06,806.25,2,2018-04-05,763.45,2,30
BBTC,closed,2018-02-02,1285.45,6,2018-04-05,1257.6,14,62
PHOENIXLTD,closed,2018-03-06,326.18,9,2018-04-05,293.95,12,30
EIHOTEL,closed,2018-03-20,167.2,12,2018-04-05,166.65,17,16
TVSHLTD,closed,2018-03-20,4810.1,15,2018-04-05,4912.05,24,16
FINCABLES,closed,2018-03-20,647.85,17,2018-04-05,703.15,21,16
BATAINDIA,closed,2018-03-20,693.0,20,2018-04-19,768.25,18,30
HEG,closed,2018-01-04,508.56,2,2018-04-19,533.22,1,105
ASTRAL,closed,2018-03-06,383.18,7,2018-04-19,417.89,9,44
NETWORK18,closed,2018-04-05,60.3,6,2018-04-19,57.25,17,14
LTTS,closed,2018-04-05,1223.95,9,2018-04-19,1157.4,16,14
AARTIIND,closed,2018-04-05,296.65,10,2018-05-04,326.98,13,29
BBTC,closed,2018-04-19,1488.35,7,2018-05-04,1514.55,10,15
EIHOTEL,closed,2018-04-19,196.15,10,2018-05-04,185.6,16,15
PHOENIXLTD,closed,2018-04-19,313.35,13,2018-05-18,348.85,6,29
KEC,closed,2018-04-05,414.5,4,2018-05-18,381.55,8,43
AVANTIFEED,closed,2018-04-19,729.38,3,2018-05-18,681.47,4,29
ASTRAL,closed,2018-05-04,427.46,6,2018-05-18,419.54,12,14
AEGISLOG,closed,2018-05-04,285.5,15,2018-06-01,270.45,17,28
JUBLFOOD,closed,2017-09-25,137.27,10,2018-06-01,248.62,2,249
BASF,closed,2018-04-05,2022.4,11,2018-06-01,2007.1,11,57
SOLARINDS,closed,2018-05-18,1137.3,14,2018-06-15,1183.5,12,28
ASAHIINDIA,closed,2018-03-06,337.45,13,2018-06-15,341.4,20,101
HEG,closed,2018-05-18,684.23,1,2018-06-29,662.1,1,42
PFIZER,closed,2018-05-18,2440.45,13,2018-06-29,2579.5,11,42
FINCABLES,closed,2018-06-15,669.8,17,2018-07-13,599.7,20,28
AARTIIND,closed,2018-06-01,306.9,12,2018-07-13,309.84,14,42
KEC,closed,2018-06-29,334.95,12,2018-07-27,345.45,20,28
LTTS,closed,2018-06-01,1327.6,4,2018-07-27,1534.1,3,56
ASTRAL,closed,2018-06-01,451.35,5,2018-07-27,503.33,4,56
ASAHIINDIA,closed,2018-06-29,333.15,15,2018-08-10,326.35,25,42
SUNDRMFAST,closed,2018-05-04,596.25,14,2018-08-10,635.65,6,98
BBTC,closed,2018-05-18,1514.4,5,2018-08-10,1561.15,4,84
BATAINDIA,closed,2018-06-01,765.5,13,2018-08-10,975.8,8,70
PFIZER,closed,2018-07-13,2564.7,9,2018-08-10,2714.3,10,28
FINCABLES,closed,2018-07-27,623.15,14,2018-08-28,565.5,28,32
SYNGENE,closed,2018-07-27,290.93,16,2018-08-28,298.27,14,32
HEG,closed,2018-07-13,758.12,1,2018-08-28,843.18,1,46
AEGISLOG,closed,2018-08-10,234.95,17,2018-08-28,232.55,20,18
ERIS,closed,2018-08-10,693.6,18,2018-08-28,752.4,19,18
SRF,closed,2018-08-10,380.82,20,2018-09-11,388.34,19,32
THOMASCOOK,closed,2018-08-10,262.2,24,2018-09-11,246.2,25,32
SANOFI,closed,2018-07-27,5829.4,11,2018-09-11,6623.75,5,46
