ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
MADHUCON,closed,2008-04-02,495.3704918032787,4,2008-05-06,548.1967213114755,4,34
GTL,closed,2008-04-02,255.63764092375308,10,2008-05-06,261.9830816932671,19,34
TRIVENI,closed,2008-04-02,98.70612897048865,11,2008-05-06,114.7286587429075,7,34
PFOCUS,closed,2008-04-02,68.32500000000002,13,2008-06-05,48.00500000000001,38,64
SHRIRAMFIN,closed,2008-04-02,8.966687120425986,2,2008-06-05,8.876114523249965,4,64
USHAMART,closed,2008-04-02,82.05289608436271,5,2008-06-05,88.10918127154187,7,64
ASHAPURMIN,closed,2008-04-02,217.29914967357138,8,2008-06-05,204.56970258724914,12,64
GNFC,closed,2008-05-06,135.136042077887,16,2008-07-04,93.40524983188087,18,59
LICHSGFIN,closed,2008-04-02,54.565575346291,7,2008-07-04,50.973059205479295,12,93
EKC,closed,2008-04-02,281.2929963459196,12,2008-07-04,259.8578334348356,13,93
PTC,closed,2008-05-06,72.26088257514638,12,2008-07-04,51.57429444984623,15,59
RIIL,closed,2008-06-05,983.0652620817057,3,2008-07-04,709.4261330419604,7,29
NFL,closed,2008-06-05,44.619015054584096,9,2008-07-04,46.6629660366167,4,29
RENUKA,closed,2008-04-02,11.760760417994419,9,2008-08-04,32.20265945380739,1,124
REDINGTON,closed,2008-05-06,25.945821411626813,8,2008-08-04,23.141780816359855,14,90
PRAJIND,closed,2008-06-05,168.68371815629357,10,2008-08-04,168.7736348504067,24,60
STCINDIA,closed,2008-07-04,226.85,2,2008-09-04,263.45,2,62
SHRIRAMFIN,closed,2008-07-04,7.488222666523305,5,2008-09-04,9.021297068723293,4,62
MARICO,closed,2008-07-04,22.347031876520983,19,2008-09-04,24.690694833212238,17,62
NDTV,closed,2008-08-04,384.6,18,2008-10-06,190.3,32,63
PTC,closed,2008-08-04,56.37272983973544,20,2008-10-06,42.83047885049256,18,63
TRIVENI,closed,2008-06-05,82.95905816263858,8,2008-10-06,63.63102081539407,22,123
MADHUCON,closed,2008-07-04,306.39213114754097,9,2008-10-06,138.6937704918033,28,94
MSPL,closed,2008-08-04,55.511370781682565,3,2008-10-06,28.29510683836647,12,63
TATAINVEST,closed,2008-08-04,41.91803405871124,17,2008-11-06,24.78310276177204,17,94
RIIL,closed,2008-09-04,863.5903378004042,5,2008-11-06,380.69501078145083,46,63
SIMPLEXINF,closed,2008-05-06,573.8161598036935,11,2008-11-06,203.98373227397892,24,184
USHAMART,closed,2008-07-04,67.4494342217291,10,2008-11-06,31.16056410822822,22,125
NFL,closed,2008-10-06,30.963682961855632,14,2008-12-10,21.048346283059164,17,65
EKC,closed,2008-08-04,317.2503577953715,10,2008-12-10,152.5328182095006,8,128
AIAENG,closed,2008-09-04,296.17714654027196,15,2008-12-10,119.70752215204169,13,97
RENUKA,closed,2008-10-06,20.92687884686429,1,2008-12-10,12.961085450346426,1,65
APOLLOTYRE,closed,2008-10-06,34.27700153699678,7,2008-12-10,18.759710300653644,9,65
UPL,closed,2008-11-06,37.744184816060816,2,2008-12-10,35.033814920442445,2,34
GTL,closed,2008-11-06,193.41296981185243,6,2008-12-10,200.4962525313099,4,34
LICHSGFIN,closed,2008-09-04,65.40122376022173,6,2009-01-12,43.30386032805916,,130
SHRIRAMFIN,closed,2008-10-06,6.674401241897596,2,2009-01-12,5.194604838036445,15,98
MARICO,closed,2008-10-06,23.64221403679773,6,2009-01-12,22.018096724704666,,98
GODREJCP,closed,2008-11-06,30.51046679747697,3,2009-01-12,38.68369794149625,,67
PTC,closed,2008-12-10,47.7710901037859,11,2009-01-12,47.34456251357352,18,33
NDTV,closed,2008-12-10,114.75,18,2009-01-12,95.7,,33
GNFC,closed,2008-12-10,42.6273522356664,19,2009-01-12,43.15713768410203,,33
ASHOKLEY,closed,2008-12-10,2.9257025313377243,24,2009-01-12,3.3645579110383825,26,33
ENIL,closed,2008-12-10,129.148064199951,27,2009-02-11,136.1610757167361,,63
MRF,closed,2008-12-10,1761.0537253877565,28,2009-02-11,1643.2836598917613,,63
PVRINOX,closed,2008-11-06,93.96504379974817,12,2009-02-11,83.69433489433595,32,97
BRITANNIA,closed,2009-01-12,57.205576936859764,3,2009-02-11,62.40344294549822,3,30
TORNTPHARM,closed,2009-01-12,25.91930915357341,7,2009-02-11,25.979446761818355,6,30
CRISIL,closed,2009-01-12,195.92157169978884,8,2009-02-11,198.56145490152147,11,30
SUNDARMFIN,closed,2009-01-12,83.79545497138524,14,2009-02-11,80.71706980766065,19,30
3MINDIA,closed,2009-01-12,922.8830854896443,17,2009-03-17,836.4215336922438,22,64
BLUESTARCO,closed,2009-01-12,73.17820635381014,24,2009-03-17,64.24664069622274,32,64
