ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
OBEROIRLTY,closed,2025-11-04,1774.5767719111348,12,2025-12-03,1634.59134916479,27,29
APLAPOLLO,closed,2025-11-04,1779.2,13,2025-12-03,1752.1,17,29
HUDCO,closed,2025-11-04,229.0636620725469,14,2025-12-10,208.3126901164442,29,36
SAIL,closed,2025-11-04,138.18,7,2025-12-17,130.2,24,43
YESBANK,closed,2025-11-04,23.02,3,2025-12-17,21.56,19,43
ALKEM,closed,2025-11-04,5618.704854007811,9,2025-12-24,5521.488562395388,23,50
COFORGE,closed,2025-11-12,1823.34340623324,12,2025-12-24,1733.5579345688577,19,42
MFSL,closed,2025-12-10,1698.8,13,2026-01-01,1674.0,22,22
JSL,closed,2025-12-17,788.4242274412854,15,2026-01-01,852.6946847960445,,15
LTF,closed,2025-11-04,277.14656290531775,1,2026-01-01,314.01695386325736,,58
PHOENIXLTD,closed,2025-11-04,1767.7,5,2026-01-01,1872.7,,58
IDFCFIRSTB,closed,2025-11-04,81.13,6,2026-01-01,85.61,,58
BHARATFORG,closed,2025-11-04,1319.383881072856,10,2026-01-01,1458.303083585999,,58
UPL,closed,2025-11-04,724.3385755372693,15,2026-01-08,786.8831589038907,,65
LTTS,closed,2025-12-03,4462.776915786247,15,2026-01-08,4372.198296769158,24,36
NAM-INDIA,closed,2025-12-17,855.7074002073613,14,2026-01-08,885.3339381372041,23,22
TATACOMM,closed,2025-11-04,1888.229814624099,11,2026-01-16,1737.7977342945417,,73
HEXT,closed,2025-12-24,734.5195723325332,13,2026-01-16,699.5307658738817,,23
RBLBANK,closed,2026-01-01,315.3,12,2026-01-23,296.2,,22
BANKINDIA,closed,2025-11-04,137.6631020408163,2,2026-02-01,158.90908163265306,,89
FEDERALBNK,closed,2025-11-04,237.85,4,2026-02-01,287.75,,89
LAURUSLABS,closed,2025-11-04,982.1721467053461,8,2026-02-01,964.0401989225031,,89
BIOCON,closed,2025-11-12,405.41516961299567,10,2026-02-01,366.361872909699,,81
MAHABANK,closed,2025-11-19,59.319823896239924,14,2026-02-01,64.28972465581977,,74
SUNDARMFIN,closed,2025-12-03,4651.454290520785,12,2026-02-01,5234.398478821523,,60
APLAPOLLO,closed,2025-12-24,1858.6,12,2026-02-01,2045.7,,39
HDFCAMC,closed,2026-01-01,2591.518086329224,1,2026-02-01,2461.854108367355,,31
HINDCOPPER,closed,2026-01-01,521.8133584120377,2,2026-02-01,684.8020329758284,,31
NATIONALUM,closed,2026-01-01,309.3859994023626,3,2026-02-01,379.06177199504333,,31
M&MFIN,closed,2026-01-01,395.2571585741528,4,2026-02-01,367.28646765439345,,31
360ONE,closed,2026-01-01,1172.8914197768374,10,2026-02-01,1127.7534436321662,,31
SAIL,closed,2026-01-08,146.46,9,2026-02-01,151.13,,24
TORNTPOWER,closed,2026-01-08,1341.1102920497804,10,2026-02-01,1368.628845516125,,24
OBEROIRLTY,closed,2026-01-08,1715.6932239801101,14,2026-02-01,1487.4494163416596,,24
COFORGE,closed,2026-01-16,1728.1708062689947,2,2026-02-27,1185.8,50,42
