ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
NAVA,closed,2007-08-01,9.401400208763736,6,2007-10-01,11.88742766183603,44,61
IIFL,closed,2007-08-01,8.086466932399231,7,2007-10-01,10.577028343015352,67,61
MALUPAPER,closed,2007-08-01,42.95,10,2007-10-01,57.55,25,61
VINDHYATEL,closed,2007-08-01,131.9112430783484,12,2007-10-01,147.9909347528624,64,61
TIL,closed,2007-08-01,78.85392986278016,13,2007-10-01,84.30296311793244,79,61
POLYPLEX,closed,2007-08-01,25.934518336930076,16,2007-10-01,29.00195913874231,31,61
VOLTAMP,closed,2007-08-01,743.5318023414488,17,2007-10-01,1010.7068739032525,16,61
BLKASHYAP,closed,2007-08-01,8.894250000000003,18,2007-10-01,12.280500000000004,29,61
RATNAMANI,closed,2007-08-01,81.73871774625205,19,2007-11-29,102.72019098247384,143,120
EICHERMOT,closed,2007-08-01,33.898232099402854,20,2007-11-29,39.46085291724239,94,120
RIIL,closed,2007-10-01,1365.1122906947774,2,2007-11-29,1754.1404387214257,3,59
SANGHVIMOV,closed,2007-10-01,92.93119578727841,3,2007-11-29,113.71460778876525,115,59
INDIAGLYCO,closed,2007-10-01,122.07389799636773,7,2007-11-29,203.29222959295146,4,59
RUBYMILLS,closed,2007-10-01,216.413401047524,9,2007-11-29,156.46214291685638,66,59
DCW,closed,2007-10-01,19.95365655973047,10,2007-11-29,21.44273540747155,43,59
BAGFILMS,closed,2007-10-01,74.2,11,2007-11-29,75.5,25,59
GOLDTECH,closed,2007-10-01,157.1,12,2008-04-02,197.1,,184
NOIDATOLL,closed,2007-10-01,32.65573883636356,17,2008-04-02,33.62451229998868,152,184
NIPPOBATRY,closed,2007-10-01,212.58746355831718,18,2008-04-02,182.52673127613792,38,184
STCINDIA,closed,2007-10-01,166.3,5,2008-04-02,310.65,,184
GAEL,closed,2007-11-29,7.445758915546911,6,2008-04-02,5.042659472346024,181,125
PIONEEREMB,closed,2007-11-29,234.4516064257028,13,2008-04-02,99.04799196787148,210,125
MANALIPETC,closed,2007-11-29,17.080655009714125,15,2008-04-02,14.051817929503192,,125
HSCL,closed,2007-11-29,6.453068570844677,16,2008-04-02,4.44932594969677,102,125
IIFL,closed,2007-11-29,14.664264660992638,17,2008-04-02,9.327347352529525,200,125
NAUKRI,closed,2007-11-29,69.50763510674211,18,2008-04-02,39.95815090145362,100,125
EIMCOELECO,closed,2007-11-29,579.7937579024972,23,2008-06-05,345.5331932463974,55,189
KCP,closed,2007-11-29,50.735922215198656,24,2008-06-05,31.13330144156621,192,189
MUKTAARTS,closed,2007-11-29,157.41878901373283,12,2008-06-05,95.79681647940076,175,189
AARTIIND,closed,2008-01-30,9.198991986652068,6,2008-06-05,6.907092959260939,66,127
KOHINOOR,closed,2008-04-02,110.4,2,2008-06-05,83.1,151,64
ARE&M,closed,2008-04-02,18.582180001084602,4,2008-06-05,16.914698483355032,109,64
PAGEIND,closed,2008-04-02,379.26391928537356,6,2008-06-05,396.1892538128346,37,64
TATACONSUM,closed,2008-04-02,8.069184836758163,9,2008-06-05,7.879551661914907,23,64
SAGCEM,closed,2008-04-02,67.28683077665337,13,2008-06-05,71.83633808484755,16,64
INFOMEDIA,closed,2008-04-02,225.05,15,2008-06-05,189.8,96,64
JYOTHYLAB,closed,2008-04-02,16.549935168610972,16,2008-08-04,10.412233845073693,157,124
GRINDWELL,closed,2008-04-02,35.35168467568547,17,2008-08-04,25.02913848044924,152,124
EIDPARRY,closed,2008-04-02,73.00097790135302,3,2008-08-04,99.3035876465195,22,124
HIKAL,closed,2008-04-02,50.432955621996584,11,2008-08-04,55.69283442919868,,124
GENESYS,closed,2008-06-05,55.225,1,2008-10-06,40.925,,123
MASTEK,closed,2008-06-05,354.6879546783826,2,2008-10-06,240.84899748165742,146,123
SMSPHARMA,closed,2008-06-05,23.99337605978497,4,2008-10-06,14.320909150544558,,123
BASF,closed,2008-06-05,249.226025493248,9,2008-10-06,231.12028406201958,67,123
TAJGVK,closed,2008-06-05,138.68921948454295,12,2008-10-06,74.94571117249068,151,123
