ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
ANANDRATHI,closed,2026-02-06,736.4053395614231,1,2026-02-20,752.8730336764377,39,14
ECLERX,closed,2026-02-06,1046.475,2,2026-03-09,749.675,199,31
PVRINOX,closed,2026-02-06,1006.4,3,2026-03-09,1018.0,74,31
IRB,closed,2026-02-06,10.742381120117686,4,2026-03-09,10.091607308048104,56,31
TARIL,closed,2026-02-06,247.97,5,2026-03-09,277.5,254,31
JAMNAAUTO,closed,2026-02-20,143.93,11,2026-03-23,112.44,18,31
SJS,closed,2026-02-20,1833.421179960143,12,2026-03-23,1516.1366825786718,20,31
PRICOLLTD,closed,2026-02-20,603.3,13,2026-03-23,510.9,41,31
SHARDACROP,closed,2026-02-20,1202.9,15,2026-03-23,911.6,24,31
IMFA,closed,2026-02-20,1267.9,6,2026-03-23,1179.7,16,31
GRWRHITECH,closed,2026-02-20,4190.7,9,2026-04-09,3644.7,24,48
JAYNECOIND,closed,2026-03-09,71.52,14,2026-04-09,82.07,28,31
PGIL,closed,2026-03-09,1457.7729077657702,15,2026-04-09,1504.7208343804975,20,31
LUMAXIND,closed,2026-02-20,6133.5,5,2026-04-24,5173.6,65,63
LGBBROSLTD,closed,2026-02-20,1851.6,8,2026-04-24,1747.7,25,63
GAEL,closed,2026-02-20,147.11,10,2026-04-24,151.37,17,63
STYLAMIND,closed,2026-02-20,2219.4,14,2026-05-11,2552.2,36,80
SKYGOLD,closed,2026-03-23,323.9,15,2026-05-11,505.2,19,49
ARVIND,closed,2026-04-09,382.75,15,2026-05-11,440.85,22,32
BEML,closed,2026-02-20,1704.240515802199,3,2026-05-11,1908.1701456450405,152,80
DYNAMATECH,closed,2026-02-20,9952.0,7,2026-05-11,11322.0,20,80
VOLTAMP,closed,2026-03-23,8211.780309544281,14,2026-05-25,9113.97807394669,67,63
QPOWER,closed,2026-04-24,1396.4,14,2026-05-25,1052.9,,31
JAYNECOIND,closed,2026-04-24,95.78,15,2026-05-25,104.74,25,31
STLTECH,closed,2026-03-09,174.24,4,2026-05-25,405.15,,77
SHREEJISPG,closed,2026-03-09,370.35,7,2026-05-25,460.65,18,77
ECLERX,closed,2026-03-23,1403.7,9,2026-05-25,1588.1,20,63
KRN,closed,2026-04-24,1247.7,12,2026-06-09,1094.4,,46
CEIGALL,closed,2026-05-11,366.7,13,2026-06-09,366.4,17,29
ATLANTAELE,closed,2026-04-09,1277.6,12,2026-06-09,2050.1,,61
GAEL,closed,2026-05-11,167.1,11,2026-06-09,160.27,25,29
SUNFLAG,closed,2026-05-11,383.5,14,2026-06-23,350.85,36,43
SUVEN,closed,2026-05-25,271.04,14,2026-06-23,258.3,27,29
CAMS,closed,2026-02-20,716.5359352842594,1,2026-06-23,807.4646190537579,102,123
SGMART,closed,2026-03-23,444.25,12,2026-06-23,595.65,16,92
RAIN,closed,2026-05-25,178.98,11,2026-07-08,198.72,33,44
UTLSOLAR,closed,2026-06-09,314.25,14,2026-07-08,347.15,24,29
MTARTECH,closed,2026-02-20,3657.6,2,2026-07-08,7777.0,,138
PRECWIRE,closed,2026-02-20,286.14,4,2026-07-08,374.9,23,138
BBOX,closed,2026-05-25,976.15,5,2026-07-22,780.9,31,58
KIRLPNU,closed,2026-06-09,1637.4966460960559,15,2026-07-22,1598.7,32,43
IRB,open,2026-04-09,20.841688251618873,3,,20.25,,112
HFCL,open,2026-05-11,148.46,4,,184.69,,80
GRWRHITECH,open,2026-05-11,5187.5,12,,6897.0,,80
SPARC,open,2026-05-25,232.99,6,,208.43,,66
BALAMINES,open,2026-05-25,1911.430229014476,10,,2243.4,,66
AVALON,open,2026-05-25,1511.2,13,,1759.5,,66
ANANDRATHI,open,2026-06-09,1730.7,4,,2039.3,,51
ASTRAMICRO,open,2026-06-09,1457.7,13,,1726.0,,51
ATLANTAELE,open,2026-06-23,1883.1,5,,1521.0,,37
PARAS,open,2026-06-23,1333.0,7,,1212.4,,37
APOLLO,open,2026-06-23,406.95,14,,378.1,,37
SUVEN,open,2026-07-08,317.1,6,,299.25,,22
PARKHOSPS,open,2026-07-08,273.9,9,,279.3,,22
AEQUS,open,2026-07-08,256.14,11,,228.38,,22
SGMART,open,2026-07-08,669.0,14,,692.1,,22
SKYGOLD,open,2026-07-08,585.5,15,,638.25,,22
DIACABS,open,2026-07-22,269.14,5,,328.5,,8
WABAG,open,2026-07-22,2072.8,15,,1889.4,,8
