ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
HINDOILEXP,closed,2007-07-03,118.25992706645057,3,2007-10-01,112.57147487844408,32,90
ASHAPURMIN,closed,2007-07-03,182.53028733779317,4,2007-10-01,238.96416942048842,9,90
BLUEDART,closed,2007-07-03,719.5392819011419,6,2007-10-01,588.7273347416091,48,90
BASF,closed,2007-07-03,261.98908912509756,10,2007-10-01,261.2965197807336,29,90
SKFINDIA,closed,2007-07-03,201.439529541748,13,2007-10-01,180.57080843445323,38,90
PARACABLES,closed,2007-07-03,36.6,14,2007-10-01,32.05,41,90
TATAELXSI,closed,2007-07-03,162.64570351789163,22,2007-10-01,142.25571736258743,43,90
TIMKEN,closed,2007-07-03,121.71574724050124,23,2008-01-01,135.80141767017943,,182
CYIENT,closed,2007-07-03,85.85980778012072,28,2008-01-01,66.93772360006933,,182
REDINGTON,closed,2007-07-03,18.13054360795103,2,2008-01-01,31.779126746358887,,182
WALCHANNAG,closed,2007-07-03,216.0400188168816,5,2008-01-01,847.9126071012789,,182
SADBHAV,closed,2007-07-03,58.920000000000016,8,2008-01-01,136.62500000000003,3,182
KPIL,closed,2007-07-03,51.11760987945473,11,2008-01-01,62.55797192890712,,182
ALEMBICLTD,closed,2007-07-03,32.292214524043295,15,2008-01-01,42.32071686946675,,182
USHAMART,closed,2007-07-03,48.41120868977401,16,2008-01-01,134.41045834771796,,182
GNFC,closed,2007-07-03,88.17986937357493,21,2008-01-01,178.3746852155945,,182
CHAMBLFERT,closed,2007-07-03,23.48808852750603,25,2008-01-01,55.32105350031255,15,182
TRIVENI,closed,2007-10-01,105.63851291213692,2,2008-01-01,167.75450942240255,,92
DYNAMATECH,closed,2007-10-01,1679.3856220824498,10,2008-04-02,1066.3853891823835,,184
MOREPENLAB,closed,2007-10-01,19.516506922257722,14,2008-04-02,12.396964856230031,,184
JKCEMENT,closed,2007-10-01,175.14274088763906,16,2008-04-02,155.37974495603044,16,184
AUTOAXLES,closed,2007-10-01,465.5818680628207,22,2008-04-02,337.72777994194246,,184
AUTOIND,closed,2007-10-01,214.90337078651686,26,2008-04-02,179.58539325842696,,184
MASTEK,closed,2007-10-01,261.2043077088864,27,2008-04-02,281.1161471250647,,184
BATAINDIA,closed,2007-07-03,85.42119911222959,18,2008-04-02,72.63111919960993,39,274
CENTURYPLY,closed,2007-10-01,47.34390288742742,4,2008-04-02,59.88037513159826,10,184
SUNDARMFIN,closed,2007-10-01,105.85344278057347,23,2008-04-02,130.15231390747297,11,184
HEG,closed,2008-01-01,105.54272592406174,1,2008-04-02,48.31050765727834,46,92
APARINDS,closed,2008-01-01,372.8814433925938,2,2008-04-02,203.1054168460104,37,92
FINCABLES,closed,2008-01-01,123.32013501102276,4,2008-04-02,70.86014106982577,32,92
