ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
RCF,closed,2008-04-15,53.90224797377833,14,2008-04-30,63.15908431438611,9,15
JISLJALEQS,closed,2008-04-15,131.62,15,2008-04-30,123.98,16,15
CGPOWER,closed,2008-04-15,25.48388601676285,22,2008-05-15,24.465758468612716,26,30
TITAN,closed,2008-04-15,54.487844567101675,25,2008-05-15,62.05155382853312,22,30
J&KBANK,closed,2008-04-15,55.42308831696289,30,2008-05-15,63.91894359684505,25,30
GMDCLTD,closed,2008-04-15,144.51264047260787,3,2008-05-15,135.30929112562453,4,30
WALCHANNAG,closed,2008-04-15,383.9288943825746,4,2008-05-15,402.0087837705792,3,30
M&MFIN,closed,2008-04-30,53.5493660780343,25,2008-05-30,53.3394434027462,20,30
PHOENIXLTD,closed,2008-04-30,193.34632111570937,26,2008-06-13,123.63355602052093,40,44
BHARATFORG,closed,2008-04-30,131.00502871394346,35,2008-06-13,116.31308368850799,29,44
BFUTILITIE,closed,2008-05-15,1890.65,31,2008-06-13,1496.5,33,29
THOMASCOOK,closed,2008-04-15,96.1241606625182,7,2008-06-13,88.04401594255253,11,59
VOLTAS,closed,2008-04-15,164.3632813888684,8,2008-06-13,143.44612072960948,7,59
ALLCARGO,closed,2008-04-15,68.32553357394423,41,2008-06-27,70.58156534289522,24,73
UNITDSPR,closed,2008-04-30,62.38085789160386,10,2008-06-27,48.54975519013201,18,58
HCL-INSYS,closed,2008-04-30,178.4038311064167,18,2008-06-27,122.2371836037964,35,58
PETRONET,closed,2008-04-15,27.874329066105734,10,2008-06-27,21.31566340349262,16,73
THERMAX,closed,2008-04-15,495.2695853710946,21,2008-06-27,361.0846747473481,31,73
FEDERALBNK,closed,2008-04-15,22.65596386393495,31,2008-06-27,17.83234205499683,38,73
CONCOR,closed,2008-04-15,127.81024562264841,33,2008-06-27,109.50032120634275,37,73
NECLIFE,closed,2008-04-30,254.2,15,2008-07-11,284.7,2,72
JISLJALEQS,closed,2008-05-15,128.64000000000001,15,2008-07-11,96.98,17,57
WOCKPHARMA,closed,2008-06-13,229.91038181487946,43,2008-07-11,171.44584482025354,41,28
CHENNPETRO,closed,2008-04-15,259.79899593034565,13,2008-07-11,229.12526551887643,12,87
TANLA,closed,2008-06-27,214.91221850393947,12,2008-07-11,209.0762401566342,14,14
BHARATFORG,closed,2008-06-27,108.77818298711219,29,2008-07-11,105.35524874518019,27,14
BFUTILITIE,closed,2008-06-27,1296.4,32,2008-07-25,1807.3,39,28
MPHASIS,closed,2008-06-27,204.75038475025406,34,2008-07-25,180.57201882666334,34,28
NITCO,closed,2008-06-27,127.27659263504799,39,2008-07-25,103.12617566986674,43,28
SHREECEM,closed,2008-06-27,586.5995566127566,41,2008-07-25,570.4321280938193,44,28
CESC,closed,2008-04-15,29.050645211238184,29,2008-07-25,24.641080999702442,35,101
BIOCON,closed,2008-05-15,37.57487694992603,29,2008-07-25,29.45220218629936,27,71
J&KBANK,closed,2008-06-13,52.2441328476804,26,2008-07-25,41.32211940179645,36,42
BLUESTARCO,closed,2008-07-11,174.31711041897094,3,2008-08-08,188.75219956269575,7,28
EXIDEIND,closed,2008-04-15,63.62635893434413,12,2008-08-08,63.362895750350994,9,115
CUMMINSIND,closed,2008-04-15,198.22941186508274,28,2008-08-08,187.49851924201556,35,115
GSPL,closed,2008-06-13,55.18264412075413,19,2008-08-08,54.99931307716358,13,56
WALCHANNAG,closed,2008-06-27,253.16731599797873,6,2008-08-08,263.6731976693868,11,42
CHENNPETRO,closed,2008-07-25,236.8233059696313,13,2008-08-25,214.8345442718342,17,31
ITI,closed,2008-07-25,38.3,24,2008-08-25,36.2,,31
