ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
SYNGENE,closed,2016-12-09,309.96283324182434,2,2017-02-08,258.75,41,61
WELSPUNLIV,closed,2016-12-09,65.10630074759123,4,2017-02-08,87.75,,61
INOXWIND,closed,2016-12-09,49.65,6,2017-02-08,45.16,,61
GAIL,closed,2016-12-09,10.41766265793387,7,2017-02-08,91.0,,61
NH,closed,2016-12-09,332.1712552280078,8,2017-02-08,328.95,,61
VTL,closed,2016-12-09,211.0342983599834,10,2017-02-08,259.47,,61
ARVIND,closed,2016-12-09,334.1788155493133,12,2017-02-08,378.35,31,61
MOTILALOFS,closed,2016-12-09,120.0594609554052,13,2017-02-08,146.51,,61
KRBL,closed,2016-12-09,265.97014619656574,15,2017-02-08,386.55,,61
FINCABLES,closed,2016-12-09,412.6820232333154,19,2017-02-08,457.65,,61
IPCALAB,closed,2016-12-09,266.598558159744,23,2017-02-08,261.55,,61
HINDCOPPER,closed,2016-12-09,63.32141363338273,30,2017-02-08,67.9,,61
ASTRAL,closed,2016-12-09,173.1862211379168,41,2017-02-08,202.5,,61
RTNPOWER,closed,2016-12-09,7.15,48,2017-02-08,8.0,,61
IGL,closed,2016-12-09,8.024840929190514,50,2017-02-08,101.44,,61
BALKRISIND,closed,2016-12-09,542.5373405912287,1,2017-04-12,703.95,13,124
QUESS,closed,2016-12-09,583.9470243521135,3,2017-04-12,762.75,29,124
SJVN,closed,2016-12-09,20.329790833567014,5,2017-04-12,35.3,28,124
COROMANDEL,closed,2016-12-09,267.0936862942354,11,2017-04-12,344.55,40,124
ENGINERSIN,closed,2017-02-08,158.45,1,2017-04-12,154.85,44,63
NATCOPHARM,closed,2017-02-08,754.15,9,2017-04-12,880.55,5,63
TATACONSUM,closed,2017-02-08,144.36,13,2017-04-12,149.89,21,63
STAR,closed,2017-02-08,1198.05,17,2017-04-12,1101.1,48,63
ASHOKLEY,closed,2017-02-08,47.68,18,2017-06-13,47.63,31,125
SUPREMEIND,closed,2017-02-08,992.35,19,2017-06-13,1199.85,18,125
MPHASIS,closed,2017-02-08,565.0,20,2017-06-13,617.35,29,125
OBEROIRLTY,closed,2017-02-08,331.85,21,2017-06-13,382.7,22,125
NLCINDIA,closed,2016-12-09,53.15473735563902,16,2017-06-13,104.25,26,186
CROMPTON,closed,2017-02-08,193.0,12,2017-06-13,223.7,16,125
SANOFI,closed,2017-02-08,4149.55,16,2017-06-13,4101.85,40,125
CGPOWER,closed,2017-04-12,79.5,11,2017-06-13,82.75,14,62
ABREL,closed,2017-04-12,1083.75,12,2017-08-11,1176.95,20,121
THERMAX,closed,2017-04-12,1015.65,16,2017-08-11,865.1,44,121
RCOM,closed,2017-04-12,36.8,33,2017-08-11,20.75,50,121
CESC,closed,2017-02-08,80.61,2,2017-08-11,91.82,30,184
ADANIENT,closed,2017-02-08,89.29,5,2017-08-11,110.23,27,184
GODREJPROP,closed,2017-04-12,425.3,7,2017-08-11,498.55,23,121
QUESS,closed,2017-06-13,890.4,10,2017-10-13,830.85,45,122
ENGINERSIN,closed,2017-06-13,151.3,34,2017-10-13,152.05,35,122
POONAWALLA,closed,2017-04-12,120.95,22,2017-10-13,178.4,26,184
VBL,closed,2017-04-12,26.72,37,2017-10-13,29.51,40,184
PFIZER,closed,2017-04-12,1868.2,41,2017-10-13,1742.5,38,184
EMBDL,closed,2017-06-13,181.95,1,2017-10-13,214.95,19,122
APOLLOTYRE,closed,2017-06-13,257.3,5,2017-12-13,245.55,45,183
VOLTAS,closed,2017-08-11,517.2,4,2017-12-13,619.6,21,124
THOMASCOOK,closed,2017-08-11,219.75,21,2017-12-13,239.75,36,124
MGL,closed,2017-02-08,921.15,8,2017-12-13,1110.7,41,308
EDELWEISS,closed,2017-02-08,121.45,14,2017-12-13,281.1,27,308
ASHOKLEY,closed,2017-08-11,51.33,5,2017-12-13,57.03,39,124
JSWENERGY,closed,2017-08-11,63.75,31,2017-12-13,79.85,31,124
GODREJPROP,closed,2017-10-13,634.9,5,2017-12-13,704.4,26,61
CESC,closed,2017-10-13,104.42,8,2018-02-14,102.62,36,124
OBEROIRLTY,closed,2017-10-13,445.7,11,2018-02-14,471.85,28,124
ABREL,closed,2017-10-13,1289.7,15,2018-02-14,1275.2,39,124
ARVIND,closed,2017-10-13,389.4,25,2018-02-14,396.3,,124
ENDURANCE,closed,2017-04-12,832.85,2,2018-02-14,1169.95,,308
SYMPHONY,closed,2017-04-12,1496.35,15,2018-02-14,1754.9,,308
COROMANDEL,closed,2017-06-13,433.3,9,2018-02-14,534.3,20,246
APOLLOHOSP,closed,2017-06-13,1328.5,28,2018-02-14,1191.8,,246
SRF,closed,2017-06-13,330.59,30,2018-02-14,381.62,,246
LTTS,closed,2017-06-13,730.1,42,2018-02-14,1460.25,,246
SYNGENE,closed,2017-08-11,224.68,17,2018-02-14,305.45,,187
WHIRLPOOL,closed,2017-10-13,1354.85,13,2018-02-14,1474.85,,124
BALKRISIND,closed,2017-12-13,1220.65,1,2018-02-14,1181.8,,63
TATACONSUM,closed,2017-12-13,280.96,3,2018-02-14,278.49,,63
NATCOPHARM,closed,2017-12-13,961.85,6,2018-04-18,801.0,45,126
ENGINERSIN,closed,2017-12-13,185.9,12,2018-04-18,156.6,,126
SANOFI,closed,2017-12-13,4683.8,17,2018-04-18,5021.2,,126
NLCINDIA,closed,2017-12-13,106.75,24,2018-04-18,90.05,38,126
TORNTPOWER,closed,2017-04-12,214.8,24,2018-04-18,238.3,41,371
SPARC,closed,2017-04-12,344.5,31,2018-04-18,415.75,42,371
ADANIENT,closed,2018-02-14,212.75,1,2018-04-18,132.58,49,63
INDHOTEL,closed,2018-02-14,135.6,5,2018-04-18,152.55,6,63
APOLLOTYRE,closed,2018-02-14,274.0,9,2018-06-18,271.4,20,124
GRAPHITE,closed,2018-02-14,749.25,10,2018-06-18,800.0,17,124
CGPOWER,closed,2018-02-14,89.45,17,2018-06-18,54.95,48,124
IIFL,closed,2018-02-14,374.27,3,2018-06-18,341.6,36,124
ASHOKLEY,closed,2018-02-14,68.7,7,2018-06-18,69.45,33,124
DBL,closed,2018-02-14,986.25,12,2018-06-18,838.6,42,124
CRISIL,closed,2018-02-14,2004.95,14,2018-06-18,1769.8,37,124
SJVN,closed,2018-02-14,36.8,23,2018-06-18,30.0,41,124
ARE&M,closed,2018-04-18,848.85,11,2018-08-16,855.0,14,120
MPHASIS,closed,2017-08-11,571.45,19,2018-08-16,1187.35,10,370
THERMAX,closed,2017-12-13,1150.25,4,2018-08-16,1018.15,40,246
QUESS,closed,2017-12-13,1011.25,9,2018-08-16,1015.2,41,246
CHOLAHLDNG,closed,2018-02-14,666.9,6,2018-08-16,611.9,34,183
POONAWALLA,closed,2018-04-18,169.35,20,2018-08-16,136.5,49,120
PVRINOX,closed,2018-04-18,1324.15,26,2018-08-16,1291.7,24,120
CESC,closed,2018-04-18,103.86,27,2018-08-16,91.29,37,120
NATCOPHARM,closed,2018-06-18,830.05,14,2018-10-22,727.9,27,126
JMFINANCIL,closed,2018-06-18,130.3,22,2018-10-22,70.3,50,126
PRESTIGE,closed,2018-02-14,312.3,24,2018-10-22,194.45,42,250
DISHTV,closed,2018-04-18,76.70081112398609,10,2018-10-22,42.995944380069524,46,187
AIAENG,closed,2018-06-18,1513.0,6,2018-10-22,1497.0,21,126
SPARC,closed,2018-06-18,410.8,18,2018-10-22,301.0,34,126
TORNTPOWER,closed,2018-06-18,240.5,29,2018-10-22,226.7,11,126
CRISIL,closed,2018-08-16,1801.25,8,2018-12-21,1604.3,26,127
IIFL,closed,2018-08-16,349.98,11,2018-12-21,238.42,42,127
HUDCO,closed,2018-08-16,54.6,22,2018-12-21,44.1,40,127
HONAUT,closed,2017-02-08,10039.8,15,2018-12-21,22126.9,13,681
VBL,closed,2018-02-14,39.88,2,2018-12-21,43.65,25,310
WOCKPHARMA,closed,2018-02-14,824.85,13,2018-12-21,505.0,41,310
NATIONALUM,closed,2018-04-18,80.15,18,2018-12-21,62.2,28,247
KRBL,closed,2018-06-18,487.4,7,2019-02-20,315.3,,247
GRAPHITE,closed,2018-08-16,1106.75,2,2019-02-20,411.4,49,188
GLENMARK,closed,2018-08-16,583.25,4,2019-02-20,586.95,,188
SUZLON,closed,2018-08-16,6.29,44,2019-02-20,3.23,,188
ARE&M,closed,2018-10-22,742.05,20,2019-02-20,724.3,18,121
ITI,closed,2018-04-18,125.55,22,2019-02-20,96.05,,308
MAHABANK,closed,2018-06-18,13.4,39,2019-02-20,12.3,40,247
ADANIENT,closed,2018-08-16,196.71,1,2019-02-20,116.39,,188
CROMPTON,closed,2018-08-16,262.15,9,2019-02-20,200.65,22,188
RAIN,closed,2018-08-16,218.25,33,2019-02-20,94.8,,188
NLCINDIA,closed,2018-10-22,83.8,2,2019-02-20,65.65,,121
PVRINOX,closed,2018-10-22,1299.15,3,2019-02-20,1472.5,13,121
MUTHOOTFIN,closed,2018-10-22,399.4,14,2019-02-20,519.2,,121
ABREL,closed,2018-10-22,749.2,33,2019-02-20,741.05,,121
INDHOTEL,closed,2018-12-21,146.8,3,2019-02-20,138.8,,61
TORNTPOWER,closed,2018-12-21,256.5,9,2019-02-20,239.05,35,61
JSWENERGY,closed,2018-12-21,70.9,11,2019-02-20,65.4,28,61
PRESTIGE,closed,2018-12-21,207.7,30,2019-04-25,264.15,,125
CHOLAHLDNG,closed,2018-12-21,503.45,31,2019-04-25,510.15,,125
JMFINANCIL,closed,2018-12-21,91.0,32,2019-04-25,88.0,,125
CGPOWER,closed,2018-12-21,43.45,37,2019-04-25,39.25,,125
THERMAX,closed,2018-10-22,978.25,19,2019-04-25,972.7,41,185
COROMANDEL,closed,2018-10-22,373.45,23,2019-04-25,433.5,33,185
SUPREMEIND,closed,2018-12-21,1092.25,21,2019-06-27,1123.6,17,188
JUBLPHARMA,closed,2019-02-20,751.4,6,2019-06-27,494.05,48,127
PIIND,closed,2018-04-18,845.55,35,2019-06-27,1167.65,10,435
BATAINDIA,closed,2019-02-20,1269.2,1,2019-06-27,1447.3,13,127
EIHOTEL,closed,2019-02-20,185.25,2,2019-06-27,179.9,27,127
PHOENIXLTD,closed,2019-02-20,300.38,19,2019-06-27,320.65,26,127
SUNDRMFAST,closed,2019-02-20,509.2,25,2019-06-27,508.65,35,127
THOMASCOOK,closed,2019-02-20,208.8,32,2019-06-27,211.6,37,127
RAMCOCEM,closed,2019-04-25,793.2,3,2019-08-28,751.75,21,125
PFIZER,closed,2019-04-25,3123.75,11,2019-08-28,2900.1,28,125
QUESS,closed,2019-04-25,704.05,18,2019-08-28,464.0,42,125
IIFL,closed,2019-04-25,210.69,36,2019-08-28,118.51,44,125
SRF,closed,2019-02-20,441.72,11,2019-08-28,555.15,16,189
SYNGENE,closed,2019-02-20,295.43,12,2019-08-28,303.55,25,189
ATGL,closed,2019-02-20,95.75,21,2019-08-28,147.1,22,189
NBCC,closed,2019-02-20,34.23,38,2019-08-28,23.97,48,189
EMBDL,closed,2019-02-20,72.7,41,2019-08-28,72.0,47,189
MAHABANK,closed,2019-04-25,18.65,4,2019-11-01,12.4,46,190
AARTIIND,closed,2019-06-27,445.58,5,2019-11-01,438.7,20,127
VBL,closed,2019-06-27,55.68,8,2019-11-01,55.05,39,127
GRAPHITE,closed,2019-06-27,341.7,43,2019-11-01,288.55,43,127
IPCALAB,closed,2019-02-20,399.53,10,2019-11-01,511.8,19,254
THERMAX,closed,2019-06-27,1058.8,15,2019-11-01,1158.0,29,127
NATIONALUM,closed,2019-06-27,50.3,32,2019-11-01,46.0,34,127
TORNTPOWER,closed,2019-08-28,280.85,3,2019-11-01,280.9,40,65
SUPREMEIND,closed,2019-08-28,1113.85,6,2020-01-02,1142.8,45,127
SUNDARMFIN,closed,2019-08-28,1528.95,8,2020-01-02,1641.7,,127
MFSL,closed,2019-08-28,430.25,13,2020-01-02,553.15,,127
ARE&M,closed,2019-08-28,612.6,17,2020-01-02,726.9,32,127
ASTRAL,closed,2019-02-20,494.28,8,2020-01-02,651.63,,316
FORTIS,closed,2019-02-20,136.9,30,2020-01-02,134.15,,316
RPOWER,closed,2019-04-25,7.9,50,2020-01-02,3.55,,252
HDFCAMC,closed,2019-06-27,1018.33,2,2020-01-02,1585.9,,189
NATCOPHARM,closed,2019-06-27,532.15,33,2020-01-02,620.85,23,189
