ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
SYMPHONY,closed,2017-05-15,1491.3,2,2017-08-11,1221.7,37,88
NATCOPHARM,closed,2017-05-15,934.35,10,2017-08-11,699.1,21,88
WHIRLPOOL,closed,2017-05-15,1229.65,15,2017-08-11,1150.15,30,88
APOLLOTYRE,closed,2017-05-15,231.9,16,2017-08-11,257.05,18,88
OBEROIRLTY,closed,2017-05-15,402.25,18,2017-11-14,456.0,13,183
ARVIND,closed,2017-05-15,394.45,19,2017-11-14,420.4,36,183
STAR,closed,2017-05-15,1038.0,38,2017-11-14,783.1,49,183
BALKRISIND,closed,2017-05-15,751.7,4,2017-11-14,1038.03,6,183
NLCINDIA,closed,2017-05-15,107.25,6,2017-11-14,99.95,41,183
SJVN,closed,2017-05-15,32.9,7,2017-11-14,34.7,42,183
CROMPTON,closed,2017-05-15,240.45,12,2018-02-14,235.25,37,275
QUESS,closed,2017-05-15,841.65,13,2018-02-14,957.15,25,275
SANOFI,closed,2017-05-15,4204.2,32,2018-02-14,4866.7,,275
VOLTAS,closed,2017-08-11,517.2,12,2018-02-14,601.75,,187
ENGINERSIN,closed,2017-05-15,168.7,1,2018-02-14,175.45,,275
CESC,closed,2017-05-15,98.55,3,2018-02-14,102.62,33,275
MGL,closed,2017-05-15,994.85,5,2018-02-14,1043.7,,275
EDELWEISS,closed,2017-05-15,188.15,8,2018-02-14,272.75,,275
GODREJPROP,closed,2017-05-15,514.1,17,2018-02-14,827.85,,275
ENDURANCE,closed,2017-08-11,973.2,11,2018-02-14,1169.95,,187
PFIZER,closed,2017-08-11,1791.95,29,2018-02-14,2328.7,,187
LTTS,closed,2017-08-11,731.65,35,2018-02-14,1460.25,,187
EMBDL,closed,2017-11-14,222.55,1,2018-05-18,205.7,,185
THOMASCOOK,closed,2017-11-14,235.25,27,2018-05-18,276.85,,185
SYMPHONY,closed,2017-11-14,1585.75,31,2018-05-18,1673.65,,185
APOLLOHOSP,closed,2017-11-14,985.95,48,2018-05-18,1016.65,,185
COROMANDEL,closed,2017-05-15,402.75,9,2018-05-18,450.05,32,368
ADANIENT,closed,2017-05-15,118.18,11,2018-05-18,114.98,35,368
POONAWALLA,closed,2017-08-11,176.15,5,2018-08-16,136.5,41,370
APOLLOTYRE,closed,2018-02-14,274.0,21,2018-08-16,263.45,10,183
SJVN,closed,2018-02-14,36.8,28,2018-08-16,29.65,33,183
SPARC,closed,2017-08-11,337.55,34,2018-08-16,387.3,25,370
JSWENERGY,closed,2017-11-14,80.75,16,2018-08-16,68.45,35,275
ASHOKLEY,closed,2018-02-14,68.7,5,2018-11-21,55.15,27,280
JMFINANCIL,closed,2018-02-14,157.35,12,2018-11-21,85.35,43,280
HATSUN,closed,2018-02-14,561.29,17,2018-11-21,456.94,24,280
OBEROIRLTY,closed,2018-05-18,524.7,7,2018-11-21,425.4,16,187
DBL,closed,2018-02-14,986.25,3,2018-11-21,480.65,47,280
IIFL,closed,2018-02-14,374.27,6,2018-11-21,236.23,40,280
MPHASIS,closed,2018-02-14,890.8,7,2018-11-21,905.4,9,280
KRBL,closed,2018-02-14,638.45,8,2019-02-20,315.3,,371
QUESS,closed,2018-05-18,1159.05,11,2019-02-20,662.2,41,278
CESC,closed,2018-08-16,91.29,31,2019-02-20,67.28,,188
HONAUT,closed,2017-08-11,12597.8,14,2019-02-20,21373.5,,558
GRAPHITE,closed,2018-02-14,749.25,1,2019-02-20,411.4,45,371
