ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
DUCON,closed,2017-05-16,40.72,19,2017-07-14,32.49,217,59
HCL-INSYS,closed,2017-05-16,54.15,121,2017-07-14,46.75,202,59
SKIPPER,closed,2017-05-16,200.42,145,2017-07-14,209.12,92,59
ORIENTPPR,closed,2017-05-16,87.65,74,2017-07-14,84.55,161,59
DHANUKA,closed,2017-05-16,898.1,100,2017-07-14,798.55,125,59
JISLDVREQS,closed,2017-05-16,63.65,113,2017-07-14,68.35,139,59
CERA,closed,2017-05-16,3061.55,134,2017-07-14,3014.95,144,59
IGARASHI,closed,2017-05-16,760.66,138,2017-07-14,917.23,88,59
BASF,closed,2017-05-16,1368.9,143,2017-08-14,1422.5,121,90
VSTIND,closed,2017-06-14,291.02,47,2017-08-14,245.04,63,61
DPSCLTD,closed,2017-06-14,41.17997532894737,136,2017-08-14,33.11328125,192,61
ADANIPOWER,closed,2017-06-14,5.54,182,2017-08-14,5.72,144,61
ITI,closed,2017-05-16,98.8,18,2017-09-14,93.0,62,121
LUXIND,closed,2017-06-14,1044.6,49,2017-09-14,1189.8,81,92
NFL,closed,2017-07-14,80.35,21,2017-09-14,66.95,36,62
RELAXO,closed,2017-07-14,255.15,28,2017-09-14,261.08,27,62
ICIL,closed,2017-05-16,198.3,10,2017-09-14,122.4,216,121
SWARAJENG,closed,2017-06-14,2274.45,25,2017-10-16,2034.8,58,124
CHAMBLFERT,closed,2017-08-14,137.65,22,2017-10-16,144.6,36,63
GIPCL,closed,2017-08-14,117.7,75,2017-10-16,140.95,80,63
BLS,closed,2017-05-16,47.83,1,2017-10-16,65.96,78,153
KSB,closed,2017-05-16,135.22,4,2017-10-16,154.63,109,153
BALMLAWRIE,closed,2017-05-16,160.83,6,2017-10-16,148.97,198,153
ADVENZYMES,closed,2017-05-16,394.25,8,2017-10-16,265.6,241,153
MHRIL,closed,2017-05-16,211.0,12,2017-10-16,257.23,66,153
KITEX,closed,2017-05-16,96.0,16,2017-10-16,73.1,240,153
