ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
FILATEX,closed,2017-05-17,13.96,16,2017-05-31,13.68,16,14
KSL,closed,2017-05-17,416.7,90,2017-05-31,409.75,138,14
AGARIND,closed,2017-05-17,773.4,13,2017-05-31,703.6,17,14
PRAKASH,closed,2017-05-17,94.1,45,2017-05-31,89.35,69,14
BPL,closed,2017-05-17,82.75,48,2017-05-31,71.2,60,14
UNIENTER,closed,2017-05-17,80.0,80,2017-06-07,80.35,93,21
VOLTAMP,closed,2017-05-17,1304.0,77,2017-06-07,1269.15,73,21
AMRUTANJAN,closed,2017-05-17,360.4,87,2017-06-07,345.88,77,21
AMBIKCO,closed,2017-05-31,1289.3,78,2017-06-14,1290.4,75,14
MOLDTKPAC,closed,2017-05-31,282.55,97,2017-06-14,292.1,84,14
BBL,closed,2017-05-31,531.98,99,2017-06-14,597.0,80,14
NCLIND,closed,2017-05-17,226.15,51,2017-06-14,211.25,62,28
CENTENKA,closed,2017-05-17,401.35,52,2017-06-21,388.4,77,35
GUFICBIO,closed,2017-06-07,69.55,67,2017-06-21,75.05,60,14
VISAKAIND,closed,2017-05-17,74.22,25,2017-06-21,111.91,17,35
TVSELECT,closed,2017-05-17,195.45,53,2017-06-21,192.2,44,35
NITINSPIN,closed,2017-05-24,116.25,69,2017-06-29,125.85,71,36
PRAKASH,closed,2017-06-07,92.05,59,2017-06-29,99.65,57,22
AMRUTANJAN,closed,2017-06-14,347.28,73,2017-07-06,340.13,92,22
FILATEX,closed,2017-06-14,14.26,14,2017-07-06,14.46,16,22
AURIONPRO,closed,2017-06-21,63.0,48,2017-07-13,61.13,41,22
VISHNU,closed,2017-06-21,44.09,238,2017-07-13,63.0,209,22
SOTL,closed,2017-06-29,239.52,54,2017-07-13,241.96,69,14
SSWL,closed,2017-05-24,82.11,19,2017-07-13,88.18,28,50
VENKEYS,closed,2017-05-24,1144.9,23,2017-07-13,2304.65,14,50
BHARATWIRE,closed,2017-05-24,86.95,45,2017-07-20,100.65,39,57
PLASTIBLEN,closed,2017-06-21,282.48,27,2017-07-20,296.85,20,29
VISAKAIND,closed,2017-06-29,102.55,24,2017-07-20,98.77,27,21
NDTV,closed,2017-07-06,39.41,270,2017-07-20,37.78,272,14
JAYBARMARU,closed,2017-06-07,122.59,18,2017-07-27,125.16,53,50
CGCL,closed,2017-07-13,17.02,6,2017-07-27,17.09,5,14
FILATEX,closed,2017-07-13,15.32,16,2017-07-27,13.67,17,14
PRAKASH,closed,2017-07-13,111.05,46,2017-07-27,136.15,29,14
TI,closed,2017-06-21,11.6,254,2017-07-27,13.15,249,36
RSSOFTWARE,closed,2017-07-06,85.87474541751527,177,2017-07-27,76.89307535641548,170,21
GUFICBIO,closed,2017-07-20,77.45,70,2017-08-03,72.4,115,14
NCLIND,closed,2017-07-20,216.45,79,2017-08-03,205.7,67,14
DLINKINDIA,closed,2017-07-20,107.1,120,2017-08-03,98.2,128,14
JAYAGROGN,closed,2017-05-17,486.2,12,2017-08-03,517.25,12,78
TVSELECT,closed,2017-07-13,199.35,52,2017-08-03,186.2,50,21
NITINSPIN,closed,2017-07-13,133.65,56,2017-08-03,129.4,55,21
BBL,closed,2017-07-13,675.95,66,2017-08-03,642.45,68,21
PUNJABCHEM,closed,2017-07-27,355.9,59,2017-08-10,350.65,45,14
ESABINDIA,closed,2017-07-27,788.7,70,2017-08-10,675.15,89,14
DREDGECORP,closed,2017-07-27,654.3,74,2017-08-10,568.2,85,14
GREENPLY,closed,2017-07-20,263.0,217,2017-08-10,268.55,198,21
ORBTEXP,closed,2017-07-27,140.50857142857146,169,2017-08-18,138.78571428571428,180,22
VENKEYS,closed,2017-08-03,2052.4,14,2017-08-18,2063.8,14,15
NIPPOBATRY,closed,2017-08-03,449.5,247,2017-08-28,427.58,244,25
VISHNU,closed,2017-08-03,55.33,231,2017-08-28,50.91,206,25
DLINKINDIA,closed,2017-08-10,90.1,138,2017-08-28,92.6,166,18
SAKSOFT,closed,2017-06-14,17.28,177,2017-08-28,15.21,180,75
KCPSUGIND,closed,2017-08-10,28.45,206,2017-09-04,31.5,196,25
CGCL,closed,2017-08-18,15.39,7,2017-09-04,17.14,16,17
MENONBE,closed,2017-08-03,62.25247203567264,193,2017-09-04,65.15168160007654,181,32
ESTER,closed,2017-08-03,36.75,258,2017-09-04,35.55,228,32
BROOKS,closed,2017-08-10,105.3,258,2017-09-04,113.0,254,25
NCLIND,closed,2017-08-28,240.15,43,2017-09-11,233.55,54,14
UNIENTER,closed,2017-08-28,93.8,64,2017-09-11,97.0,94,14
BHARATWIRE,closed,2017-08-28,88.7,68,2017-09-11,106.45,45,14
ENERGYDEV,closed,2017-06-14,31.85,271,2017-09-18,21.0,270,96
RSSOFTWARE,closed,2017-08-18,60.62627291242362,247,2017-09-18,67.16293279022403,265,31
DLINKINDIA,closed,2017-09-04,90.2,167,2017-09-18,107.9,196,14
VISHNU,closed,2017-09-04,49.74,217,2017-09-18,53.53,217,14
FLEXITUFF,closed,2017-07-27,95.0,270,2017-09-18,81.7,269,53
NDTV,closed,2017-07-27,37.58,271,2017-09-18,41.47,266,53
TI,closed,2017-08-03,12.95,244,2017-09-18,14.0,246,46
MBLINFRA,closed,2017-08-03,25.3,275,2017-09-18,22.15,273,46
LINCOLN,closed,2017-08-10,157.5,246,2017-09-18,156.95,248,39
VISAKAIND,closed,2017-08-28,125.29,19,2017-09-25,117.62,18,28
KCPSUGIND,closed,2017-09-11,29.2,210,2017-09-25,27.9,211,14
FILATEX,closed,2017-09-04,17.97,13,2017-09-25,16.95,14,21
AURIONPRO,closed,2017-09-04,64.88,29,2017-09-25,75.97,47,21
JAYAGROGN,closed,2017-09-18,466.75,9,2017-09-25,448.0,12,7
HEG,closed,2017-09-18,180.26,12,2017-09-25,188.32,13,7
GRAVITA,closed,2017-09-18,129.95,20,2017-09-25,124.0,21,7
SSWL,closed,2017-09-18,88.97,22,2017-09-25,85.33,23,7
DECCANCE,closed,2017-09-18,593.4,31,2017-09-25,575.55,32,7
PRAKASH,closed,2017-09-18,113.4,39,2017-10-03,103.25,43,15
JAYBARMARU,closed,2017-09-18,129.55,46,2017-10-03,123.43,45,15
PLASTIBLEN,closed,2017-09-18,244.9,53,2017-10-03,230.0,61,15
BHARATWIRE,closed,2017-09-18,103.85,68,2017-10-10,93.3,152,22
GULPOLY,closed,2017-05-17,74.79,8,2017-10-10,76.33,158,146
ESTER,closed,2017-09-25,35.25,225,2017-10-10,37.6,237,15
