ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
IOC,closed,2017-06-13,139.92,2,2017-10-13,138.2,25,122
BPCL,closed,2017-06-13,233.0,5,2017-10-13,244.35,31,122
HINDZINC,closed,2017-06-13,244.4,7,2017-10-13,320.25,26,122
LT,closed,2017-06-13,1159.33,8,2017-10-13,1138.65,22,122
ONGC,closed,2017-06-13,169.1,11,2017-10-13,169.65,46,122
COALINDIA,closed,2017-06-13,259.05,12,2017-10-13,287.25,42,122
ITC,closed,2017-06-13,305.25,13,2017-10-13,265.95,36,122
POWERGRID,closed,2017-06-13,118.56,14,2017-12-13,113.06,31,183
NTPC,closed,2017-06-13,133.33,17,2017-12-13,146.71,22,183
HCLTECH,closed,2017-06-13,423.58,18,2017-12-13,433.18,36,183
HEROMOTOCO,closed,2017-08-11,3840.9,16,2017-12-13,3419.45,34,124
GRASIM,closed,2017-06-13,1117.46,4,2017-12-13,1114.22,23,183
RBLBANK,closed,2017-06-13,516.35,10,2018-02-14,483.65,45,246
YESBANK,closed,2017-10-13,369.7,8,2018-02-14,320.35,24,124
SHREECEM,closed,2017-10-13,18572.3,17,2018-02-14,16813.2,,124
ASIANPAINT,closed,2017-10-13,1174.25,18,2018-02-14,1139.15,32,124
GAIL,closed,2017-06-13,95.43,3,2018-02-14,116.73,21,246
GODREJCP,closed,2017-06-13,625.38,6,2018-02-14,685.0,,246
KOTAKBANK,closed,2017-10-13,216.47,5,2018-02-14,208.49,27,124
EICHERMOT,closed,2017-10-13,3139.92,12,2018-02-14,2802.76,33,124
AMBUJACEM,closed,2017-10-13,277.55,16,2018-04-18,244.9,,187
INDUSTOWER,closed,2017-10-13,449.95,19,2018-04-18,336.05,43,187
BPCL,closed,2017-12-13,253.15,15,2018-04-18,202.6,38,126
PNB,closed,2017-12-13,167.8,17,2018-04-18,97.15,47,126
ADANIPORTS,closed,2017-06-13,359.4,19,2018-04-18,384.95,28,309
WIPRO,closed,2017-08-11,108.64,19,2018-04-18,109.74,21,250
BHARTIARTL,closed,2017-10-13,395.64,13,2018-04-18,352.81,33,187
ICICIBANK,closed,2017-12-13,302.95,11,2018-06-18,293.0,24,187
TATASTEEL,closed,2018-02-14,70.8,3,2018-06-18,55.85,43,124
MOTHERSON,closed,2018-02-14,105.85,7,2018-06-18,89.57,35,124
SAMMAANCAP,closed,2017-06-13,1028.25,9,2018-06-18,1069.6,29,370
HINDZINC,closed,2018-02-14,309.1,12,2018-08-16,276.05,34,183
ONGC,closed,2018-04-18,182.1,19,2018-08-16,164.45,30,120
LT,closed,2017-12-13,1189.25,16,2018-08-16,1231.65,25,246
COALINDIA,closed,2018-04-18,285.1,20,2018-10-22,275.5,22,187
