ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
NATIONALUM,closed,2017-08-18,69.95,5,2017-09-04,73.75,5,17
MRPL,closed,2017-08-18,124.55,9,2017-09-04,135.4,8,17
TATACHEM,closed,2017-08-18,592.7,25,2017-09-04,580.55,34,17
GMRAIRPORT,closed,2017-08-18,18.25,18,2017-09-04,17.2,19,17
KANSAINER,closed,2017-08-18,307.1,20,2017-09-04,320.7,17,17
HAVELLS,closed,2017-08-18,478.25,26,2017-09-11,496.55,28,24
VAKRANGEE,closed,2017-08-28,237.9,3,2017-09-11,229.68,4,14
MFSL,closed,2017-08-28,605.5,25,2017-09-11,599.8,36,14
RAMCOCEM,closed,2017-08-18,684.3,22,2017-09-11,739.2,19,24
ALKEM,closed,2017-08-18,1799.85,27,2017-09-18,1808.05,28,31
SUNTV,closed,2017-09-04,807.4,6,2017-09-18,849.7,6,14
3MINDIA,closed,2017-09-04,14634.8,28,2017-09-25,14457.7,29,21
PAGEIND,closed,2017-08-18,17110.2,19,2017-09-25,18502.3,17,38
NATIONALUM,closed,2017-09-11,82.9,5,2017-10-03,79.75,5,22
TATACOMM,closed,2017-09-11,676.5,17,2017-10-10,689.75,21,29
SAIL,closed,2017-08-28,61.5,15,2017-10-10,56.95,14,43
RAMCOCEM,closed,2017-09-18,749.45,20,2017-10-10,694.7,30,22
AIAENG,closed,2017-09-25,1357.45,24,2017-10-17,1397.25,30,22
MRPL,closed,2017-09-11,136.15,8,2017-10-17,128.65,13,36
HAVELLS,closed,2017-10-10,533.25,23,2017-11-01,491.75,25,22
GMRAIRPORT,closed,2017-09-18,18.15,23,2017-11-08,17.4,19,51
ABB,closed,2017-09-25,1434.4,21,2017-11-08,1324.5,25,44
TVSMOTOR,closed,2017-08-18,584.6,7,2017-11-15,697.95,8,89
SUNDARMFIN,closed,2017-09-04,1643.5,27,2017-11-22,1891.25,16,79
GODREJIND,closed,2017-09-11,631.4,14,2017-11-22,555.75,21,72
MRPL,closed,2017-11-01,139.95,12,2017-11-22,124.85,15,21
ALKEM,closed,2017-11-08,1916.45,24,2017-11-29,1950.05,33,21
FEDERALBNK,closed,2017-08-18,108.55,11,2017-11-29,112.4,17,103
3MINDIA,closed,2017-11-08,15628.5,23,2017-11-29,15593.8,23,21
PIDILITIND,closed,2017-11-15,407.13,26,2017-11-29,425.53,24,14
PNBHOUSING,closed,2017-11-22,1141.29,22,2017-12-06,1084.26,32,14
ABB,closed,2017-11-22,1408.7,26,2017-12-06,1346.7,29,14
BERGEPAINT,closed,2017-11-22,208.17,28,2017-12-13,208.21,37,21
GMRAIRPORT,closed,2017-11-29,18.45,13,2017-12-13,17.05,22,14
GODREJIND,closed,2017-11-29,582.05,19,2017-12-20,607.6,26,21
ALKEM,closed,2017-12-06,2093.15,27,2017-12-28,2198.45,27,22
PAGEIND,closed,2017-10-03,18342.8,16,2017-12-28,25159.7,11,86
MRPL,closed,2017-12-13,124.1,21,2017-12-28,129.2,20,15
TATACHEM,closed,2017-10-03,639.55,21,2017-12-28,730.65,22,86
SUNDARMFIN,closed,2017-11-29,1870.75,15,2018-01-04,1855.4,21,36
CHOLAFIN,closed,2017-12-20,259.97,18,2018-01-04,261.9,33,15
BHARATFORG,closed,2017-08-18,584.98,14,2018-01-04,726.95,,139
SUNTV,closed,2017-10-17,815.8,7,2018-01-04,1028.2,,79
SAIL,closed,2017-10-17,59.2,14,2018-01-04,97.9,,79
TVSMOTOR,closed,2017-11-29,736.55,9,2018-01-11,755.35,,43
NATIONALUM,closed,2017-12-28,86.35,8,2018-01-11,84.4,,14
PIDILITIND,closed,2017-12-28,450.75,21,2018-01-11,449.78,26,14
CONCOR,closed,2017-08-18,401.33,4,2018-01-11,456.35,22,146
NBCC,closed,2017-08-28,68.97,17,2018-01-11,82.85,25,136
BAJAJHLDNG,closed,2017-09-04,2844.45,11,2018-01-11,2837.2,23,129
3MINDIA,closed,2017-12-13,16109.6,16,2018-01-18,18105.3,22,36
NHPC,closed,2018-01-04,33.75,15,2018-01-18,29.45,46,14
FEDERALBNK,closed,2017-12-06,107.95,14,2018-01-18,102.15,24,43
GODREJPROP,closed,2018-01-04,714.75,11,2018-01-25,819.0,7,21
PAGEIND,closed,2018-01-11,22997.2,17,2018-01-25,21955.8,18,14
KANSAINER,closed,2017-10-10,319.87,17,2018-01-25,325.9,23,107
GMRAIRPORT,closed,2017-12-28,20.25,17,2018-01-25,22.75,13,28
ENDURANCE,closed,2018-01-18,1279.5,9,2018-02-02,1180.05,9,15
SUNDARMFIN,closed,2018-01-18,1989.4,14,2018-02-02,1659.15,30,15
PCJEWELLER,closed,2017-09-04,35.64,1,2018-02-02,36.42,10,151
PNBHOUSING,closed,2018-01-18,1066.1,17,2018-02-09,999.33,26,22
CONCOR,closed,2018-01-25,460.93,19,2018-02-09,421.65,23,15
EDELWEISS,closed,2018-01-04,285.35,7,2018-02-09,250.0,5,36
