ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
AGARIND,closed,2017-08-11,542.4,15,2017-10-13,505.25,67,63
HINDCOMPOS,closed,2017-08-11,534.9,18,2017-10-13,477.9,45,63
SSWL,closed,2017-08-11,80.56,22,2017-10-13,87.65,43,63
VISAKAIND,closed,2017-08-11,88.06,23,2017-11-14,132.38,23,95
GENESYS,closed,2017-08-11,220.55,19,2017-12-13,324.7,30,124
JAYBARMARU,closed,2017-08-11,103.44,21,2017-12-13,103.09,118,124
JINDWORLD,closed,2017-09-13,19.23,1,2017-12-13,24.98,1,91
CGCL,closed,2017-08-11,13.9,4,2018-01-12,28.45,,154
THYROCARE,closed,2017-08-11,232.27,13,2018-01-12,236.63,246,154
TVSELECT,closed,2017-10-13,446.4,19,2018-01-12,430.75,75,91
PCBL,closed,2017-08-11,61.17,2,2018-01-12,145.65,,154
GPTINFRA,closed,2017-08-11,34.15,3,2018-01-12,54.44,,154
NDL,closed,2017-08-11,4.48,5,2018-01-12,5.45,184,154
TPLPLASTEH,closed,2017-08-11,44.49,7,2018-01-12,70.85,,154
SHARDAMOTR,closed,2017-08-11,260.48,8,2018-01-12,253.3,53,154
GULPOLY,closed,2017-08-11,72.17,9,2018-01-12,79.83,,154
COFORGE,closed,2017-08-11,95.92,10,2018-01-12,140.26,140,154
SURYAROSNI,closed,2017-08-11,62.63,11,2018-01-12,112.34,51,154
JAYAGROGN,closed,2017-08-11,493.3,12,2018-01-12,439.85,138,154
BEPL,closed,2017-08-11,50.57,14,2018-01-12,132.77,,154
VENKEYS,closed,2017-08-11,1719.4,17,2018-01-12,2700.05,,154
DWARKESH,closed,2017-09-13,64.1,6,2018-01-12,50.25,197,121
HEG,closed,2017-09-13,135.45,20,2018-01-12,589.73,,121
TARIL,closed,2017-10-13,15.15,7,2018-01-12,20.68,,91
BOMDYEING,closed,2017-11-14,195.5,20,2018-02-14,261.25,,92
GAEL,closed,2017-12-13,44.79,18,2018-02-14,65.03,33,63
HGS,closed,2017-12-13,449.68,20,2018-02-14,467.75,117,63
PANAMAPET,closed,2017-12-13,213.9,21,2018-02-14,199.65,22,63
FILATEX,closed,2017-09-13,17.2,14,2018-02-14,21.64,13,154
FMNL,closed,2018-01-12,142.1,8,2018-04-18,140.4,46,96
IGPL,closed,2018-01-12,820.35,17,2018-04-18,747.0,31,96
BLKASHYAP,closed,2018-01-12,64.9,19,2018-04-18,48.05,44,96
RAMKY,closed,2018-01-12,230.4,12,2018-05-18,172.95,50,126
EVERESTIND,closed,2018-02-14,571.4237641578097,11,2018-05-18,478.5297860943412,44,93
AUTOAXLES,closed,2018-02-14,1732.8,21,2018-05-18,1464.05,22,93
VISAKAIND,closed,2018-01-12,155.51,6,2018-06-18,126.23,81,157
ARVSMART,closed,2018-02-14,192.0,19,2018-06-18,166.6,84,124
PPAP,closed,2018-01-12,638.9916861731043,7,2018-07-17,507.26992563139294,43,186
SHAKTIPUMP,closed,2018-01-12,84.25,11,2018-08-16,73.88,158,216
MANINDS,closed,2018-01-12,156.2,16,2018-08-16,109.85,80,216
NATHBIOGEN,closed,2018-01-12,524.15,20,2018-08-16,489.4,62,216
PRECWIRE,closed,2018-04-18,41.83,17,2018-08-16,32.17,30,120
GUFICBIO,closed,2018-05-18,143.1,18,2018-08-16,118.9,38,90
BUTTERFLY,closed,2018-02-14,551.9,14,2018-08-16,290.0,29,183
TVSELECT,closed,2018-04-18,487.2,14,2018-08-16,344.75,22,120
GNA,closed,2018-04-18,268.27,15,2018-08-16,193.28,61,120
AURIONPRO,closed,2018-06-18,110.55,15,2018-09-18,91.78,66,92
GRAVITA,closed,2017-08-11,93.3,20,2018-09-18,107.2,166,403
JINDWORLD,closed,2018-01-12,23.35,4,2018-09-18,15.11,183,249
SAREGAMA,closed,2018-01-12,84.0,9,2018-09-18,62.08,71,249
THANGAMAYL,closed,2018-01-12,306.93,18,2018-09-18,187.2,106,249
WINDMACHIN,closed,2018-05-18,137.95,11,2018-10-22,67.4,41,157
SDBL,closed,2018-07-17,46.05,17,2018-10-22,33.21,64,97
OLECTRA,closed,2018-01-12,229.4,2,2018-10-22,198.9,98,283
CIGNITITEC,closed,2018-08-16,385.7044895729234,10,2018-10-22,374.02551069782527,28,67
GOACARBON,closed,2018-01-12,1184.7,1,2018-10-22,586.95,93,283
INDIAGLYCO,closed,2018-01-12,283.88,10,2018-10-22,198.88,33,283
MASTEK,closed,2018-02-14,507.05,18,2018-11-21,431.85,33,280
GMBREW,closed,2018-05-18,657.41,15,2018-11-21,505.84,56,187
MMFL,closed,2018-06-18,360.03,8,2018-11-21,300.13,22,156
