ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
JISLJALEQS,closed,2017-02-14,94.5,17,2017-03-16,94.85,27,30
IRB,closed,2017-02-14,11.53,19,2017-03-16,12.34,21,30
ATUL,closed,2017-02-14,2287.45,20,2017-03-30,2405.65,30,44
PATELENG,closed,2017-02-14,69.66,6,2017-04-17,78.78,45,62
HCC,closed,2017-02-14,30.28,13,2017-04-17,31.19,40,62
MCX,closed,2017-03-16,224.42,17,2017-04-17,236.43,39,32
KAJARIACER,closed,2017-02-14,574.35,2,2017-05-02,659.9,26,77
GTLINFRA,closed,2017-02-14,4.1,3,2017-05-02,5.75,28,77
MANAPPURAM,closed,2017-02-14,98.85,9,2017-05-16,94.2,37,91
SOLARINDS,closed,2017-03-16,732.25,20,2017-05-16,815.05,30,61
FINCABLES,closed,2017-03-30,514.85,19,2017-05-16,536.8,24,47
SUNDRMFAST,closed,2017-02-14,335.7,4,2017-05-16,389.55,26,91
VTL,closed,2017-02-14,260.0,16,2017-05-30,259.72,27,105
CYIENT,closed,2017-05-02,557.1,17,2017-05-30,501.15,33,28
IFCI,closed,2017-05-02,32.2,18,2017-05-30,24.75,35,28
MMTC,closed,2017-02-14,44.2,5,2017-06-13,40.63,29,119
AARTIIND,closed,2017-02-14,196.46,12,2017-06-28,222.83,21,134
HATHWAY,closed,2017-03-16,38.15,10,2017-06-28,37.05,35,104
NCC,closed,2017-04-17,94.0,16,2017-06-28,89.45,22,72
BATAINDIA,closed,2017-04-17,580.2,20,2017-07-12,561.85,27,86
IRB,closed,2017-05-02,13.35,15,2017-07-12,10.89,41,71
JYOTHYLAB,closed,2017-02-14,175.25,1,2017-07-12,183.88,32,148
KRBL,closed,2017-02-14,387.65,7,2017-07-12,385.85,23,148
GPPL,closed,2017-02-14,165.85,14,2017-07-12,145.85,34,148
DBCORP,closed,2017-02-14,378.45,15,2017-07-12,380.6,40,148
GESHIP,closed,2017-02-14,353.15,18,2017-07-26,399.15,40,162
WELSPUNLIV,closed,2017-03-01,89.9,4,2017-07-26,86.75,32,147
LAURUSLABS,closed,2017-06-28,122.06,20,2017-08-09,110.54,35,42
KAJARIACER,closed,2017-05-16,697.65,13,2017-08-09,621.15,29,85
FINPIPE,closed,2017-03-01,108.19,20,2017-08-09,116.5,22,161
J&KBANK,closed,2017-05-16,88.95,14,2017-08-09,79.2,23,85
SUNDRMFAST,closed,2017-05-30,385.25,10,2017-08-24,392.55,23,86
MANAPPURAM,closed,2017-05-30,87.15,15,2017-08-24,95.75,36,86
JKCEMENT,closed,2017-05-30,1106.1,6,2017-09-08,1023.1,21,101
AARTIIND,closed,2017-07-12,242.28,14,2017-09-22,222.89,22,72
