ticker,buy_date,buy_price,sell_date,sell_price,days_held,pnl,status
SAMMAANCAP,2016-11-02,574.911993270595,2016-11-09,497.4500853921474,7,-5344.871643612882,closed
BAJAJ-AUTO,2016-11-02,2406.5206991365553,2016-11-17,2176.8647930532106,15,-3674.494497333515,closed
HEROMOTOCO,2016-11-02,2669.458894404174,2016-11-17,2307.221611083736,15,-5071.321966486127,closed
SHREECEM,2016-11-02,15837.93901578241,2016-11-17,12986.719474215464,15,-5702.43908313389,closed
ULTRACEMCO,2016-11-02,3871.559383127438,2016-11-17,3314.8382660110533,15,-5567.211171163849,closed
INDUSINDBK,2016-11-02,1194.9189142622417,2016-11-24,1015.0663419053116,22,-5935.134887778696,closed
TMPV,2016-11-02,301.09537294533857,2016-11-24,265.7002853867188,22,-4672.151557737809,closed
ITC,2016-11-09,175.91271006003603,2016-12-01,165.5273737619118,22,-2326.3153307798275,closed
HDFCBANK,2016-11-09,285.29399808309745,2016-12-08,273.4946259346058,29,-1628.3133564918505,closed
IOB,2016-11-17,25.75,2016-12-08,24.3,21,-2135.849999999999,closed
KOTAKBANK,2016-11-02,160.13346503221877,2016-12-08,149.1093514880231,36,-2745.0042725047224,closed
DABUR,2016-11-09,284.5937013265058,2016-12-15,258.75188760243714,36,-3566.170293921479,closed
GODREJCP,2016-11-24,439.4461719804021,2016-12-22,441.00807558141963,28,131.199902485474,closed
PNB,2016-11-02,127.58943992314056,2016-12-22,111.44242228839053,50,-5054.016519676759,closed
GRASIM,2016-12-08,880.6549734565492,2016-12-29,830.6300683334443,21,-2151.0709202935095,closed
EICHERMOT,2016-11-02,2400.491795440028,2016-12-29,2081.924527033182,57,-5097.076294509534,closed
UNIONBANK,2016-11-02,130.63696023537716,2017-01-05,120.16157651279927,64,-3205.467419108834,closed
BANKBARODA,2016-11-17,163.6356250078678,2017-01-05,141.34934246030124,49,-5148.131268487871,closed
IOB,2016-12-22,24.9,2017-01-12,25.05,21,219.60000000000312,closed
SBIN,2016-11-02,225.48455195047768,2017-01-12,225.6641851326728,71,31.79507324853597,closed
INFY,2016-12-08,418.96921476407124,2017-01-12,425.5219247700294,35,589.7439005362332,closed
DRREDDY,2016-11-02,648.0499637624075,2017-01-19,584.3439971640146,78,-3886.063962501969,closed
TCS,2016-12-15,977.8745109240468,2017-01-19,991.5949650453641,35,521.377256610057,closed
DABUR,2016-12-29,261.6602836119725,2017-01-19,264.0442147673294,21,333.75036174996467,closed
ICICIBANK,2016-11-02,261.80847565342833,2017-01-19,259.6901282961737,78,-321.98879830270016,closed
RELIANCE,2016-11-09,241.55986088122143,2017-01-27,246.48916323844324,79,803.4762842271558,closed
GODREJCP,2017-01-12,483.27134949130567,2017-01-27,474.5583774424922,15,-688.324791856264,closed
LUPIN,2016-11-24,1419.929997902967,2017-02-03,1452.5440911012868,71,847.9664231563142,closed
COALINDIA,2017-01-19,141.87369313937475,2017-02-03,150.55183021769014,15,2369.131422380101,closed
HCLTECH,2016-11-02,297.6649081152989,2017-02-03,325.955643029313,93,3790.9584784778945,closed
WIPRO,2016-12-01,79.79591614752431,2017-02-03,78.34185492910123,64,-687.7709563141159,closed
HINDUNILVR,2017-01-19,790.8464722814844,2017-02-10,782.205350766378,22,-423.414954240209,closed
HDFCBANK,2017-01-27,294.5624904084345,2017-02-10,297.2301745463543,14,357.469674481256,closed
TMPV,2017-01-27,317.89763490917886,2017-02-10,298.89830297656454,14,-2355.9171596441765,closed
ONGC,2016-11-02,111.31594834161116,2017-02-10,119.90567191306712,100,3083.7107621526907,closed
POWERGRID,2016-11-09,71.22919295226923,2017-02-10,79.01618019510887,93,4313.990932533163,closed
SBIN,2017-01-19,232.0860713961498,2017-02-17,241.92098812133509,29,1642.4310931059417,closed
UNIONBANK,2017-02-03,157.17773065356778,2017-02-17,133.0796506101487,14,-6169.108491115287,closed
PNB,2017-02-03,140.14304611894337,2017-02-17,130.9028452759361,14,-2651.9376419430873,closed
BPCL,2016-11-02,147.9653673691309,2017-02-27,158.62317728869792,117,2877.608678283098,closed
NTPC,2016-11-17,90.0790882611712,2017-02-27,99.67206106944319,102,4038.6415522825096,closed
BANKBARODA,2017-01-12,148.6064302646559,2017-02-27,153.94390129495545,46,1382.4049968475845,closed
HEROMOTOCO,2017-02-10,2622.6797746398997,2017-03-06,2663.761951859983,24,616.2326583012509,closed
ULTRACEMCO,2017-02-17,3695.0780437256176,2017-03-06,3800.0128941807543,17,1049.3485045513671,closed
BOSCHLTD,2017-01-27,21687.245546022932,2017-03-14,21888.760177687895,46,201.5146316649625,closed
EICHERMOT,2017-02-10,2326.2191712382555,2017-03-14,2325.076068374579,32,-19.432748682502734,closed
ICICIBANK,2017-02-27,268.50052753202834,2017-03-14,276.58876289609157,15,1197.058833881357,closed
ADANIPORTS,2016-11-02,286.7275940063363,2017-03-14,295.66691712724077,132,1242.5659138057222,closed
IDBI,2016-11-09,66.79286811611199,2017-03-21,74.39061697309232,132,4482.671825618396,closed
BHARTIARTL,2016-12-08,321.6737924760058,2017-03-21,338.5581590836349,103,1975.4708930926035,closed
HINDZINC,2017-01-05,117.94923289402712,2017-03-21,138.3505320543915,75,6569.218329637329,closed
TCS,2017-02-10,1040.8456434923921,2017-03-28,1054.7354496150203,46,527.8126326598722,closed
M&M,2017-02-27,635.0994865090022,2017-03-28,626.8284919210078,29,-512.8016644556551,closed
AXISBANK,2017-03-06,516.4904394074496,2017-03-28,500.7064358123314,22,-1215.3682768240997,closed
LT,2017-03-14,957.2610667336512,2017-03-28,948.7519429455368,14,-357.38319910080395,closed
MARUTI,2016-11-02,5327.4208624309,2017-04-05,5831.055478873734,154,3525.4423150998327,closed
GODREJCP,2017-02-17,495.2987995250982,2017-04-05,520.2897459141295,47,1999.2757111225046,closed
BOSCHLTD,2017-03-21,22190.522762973076,2017-04-12,22635.68192113418,22,445.1591581611028,closed
ITC,2016-12-29,167.2996154510115,2017-04-20,198.13662084134626,112,6784.141185873646,closed
HINDZINC,2017-03-28,146.81729638584514,2017-04-27,131.07808873309122,30,-4391.238935118344,closed
BPCL,2017-04-20,168.37619474949236,2017-05-12,171.14239176568742,22,697.0816480811563,closed
INDUSINDBK,2017-01-12,1185.6371414116138,2017-05-12,1372.098724803546,120,5966.770668541831,closed
YESBANK,2016-12-22,225.23000000000002,2017-05-12,296.62,141,11493.789999999997,closed
BANKBARODA,2017-04-20,168.22397729707268,2017-05-19,176.74520297702458,29,2155.87009702783,closed
GRASIM,2017-02-10,995.6728655506172,2017-05-19,1103.354428054781,98,4307.262500166553,closed
PNB,2017-03-28,138.88301873126056,2017-05-26,140.60972292919627,59,509.37773839103244,closed
IOC,2016-11-02,56.59217914209153,2017-05-26,79.92520859190446,205,16473.11879156793,closed
BAJAJFINSV,2017-02-03,340.82779646696423,2017-06-02,429.11046244168915,119,10417.354585017541,closed
SBIN,2017-04-05,267.0696336286578,2017-06-02,260.1501009693933,58,-1086.3666275045293,closed
RELIANCE,2017-02-27,297.898180017664,2017-06-09,321.1741052946919,102,3118.97398712174,closed
CENTRALBK,2017-03-21,95.37102122665175,2017-06-16,96.23846861527211,87,373.00237710675606,closed
UNIONBANK,2017-03-28,146.32654841179425,2017-06-16,142.4276387751397,80,-1091.6946982632703,closed
ULTRACEMCO,2017-03-14,3973.7615551853055,2017-06-16,4099.315706274382,94,1255.5415108907664,closed
WIPRO,2017-05-12,86.77932832725458,2017-06-23,87.9174459357276,42,581.5780979297153,closed
BPCL,2017-06-02,169.19321496524617,2017-06-23,147.23871459620452,21,-5752.0790966889135,closed
RBLBANK,2017-01-05,345.2133119281833,2017-06-23,493.3639040510568,169,16296.565133516084,closed
SHREECEM,2017-03-21,15778.759263598518,2017-07-03,17067.712107647836,104,2577.9056880986354,closed
IOC,2017-06-09,78.79963353838627,2017-07-03,72.58083136769824,24,-3494.966819926676,closed
BOSCHLTD,2017-06-16,23706.263294102104,2017-07-10,23146.91977030973,24,-559.3435237923732,closed
ASIANPAINT,2017-03-14,999.8167009942549,2017-07-10,1052.4017962910873,118,2103.403811873295,closed
SBIN,2017-06-23,261.8720490336393,2017-07-17,265.5425172758482,24,601.9567917222546,closed
LT,2017-04-05,1042.2601480394728,2017-07-24,1085.604457299507,110,1733.772370401366,closed
RBLBANK,2017-07-03,504.92140580652784,2017-07-24,511.3097295616616,21,549.3958429415017,closed
POWERGRID,2017-06-16,83.40274164492992,2017-07-24,86.10404501804506,38,1412.7816641392174,closed
DABUR,2017-07-03,281.3038763321133,2017-07-24,291.6024589232551,21,1585.9817190358342,closed
ITC,2017-05-26,219.11996244028668,2017-07-31,205.26735039283562,66,-2742.81718539531,closed
GRASIM,2017-06-02,1143.1380140188248,2017-07-31,1053.9203682677758,59,-3390.270538539865,closed
ULTRACEMCO,2017-07-17,4320.364546082575,2017-07-31,4031.3465417750326,14,-2890.18004307542,closed
BOSCHLTD,2017-07-17,23837.354890792052,2017-07-31,23426.058639536444,14,-411.2962512556078,closed
M&M,2017-06-23,675.5218250443937,2017-08-07,687.5724432720059,45,759.1889483395671,closed
HCLTECH,2017-07-24,356.0302744324991,2017-08-07,348.421810486144,14,-951.0579932943841,closed
ASIANPAINT,2017-07-24,1078.5310361901343,2017-08-07,1072.8385946406993,14,-233.39010352683454,closed
GODREJCP,2017-05-12,585.3029804504015,2017-08-07,597.1338161135068,87,887.3126747328968,closed
ICICIBANK,2017-05-26,309.61572396601656,2017-08-07,289.009981490903,73,-2884.8039465159,closed
TCS,2017-07-24,1101.5619047583066,2017-08-22,1087.1323883625514,29,-577.1806558302069,closed
SBIN,2017-07-31,283.2151421457425,2017-08-22,248.23240778790034,22,-5597.237497254746,closed
INFY,2017-07-31,430.266257014603,2017-09-06,381.0783819049431,37,-5164.72688651429,closed
KOTAKBANK,2017-03-06,163.11107112952183,2017-09-06,198.40416814906058,184,8611.515672767455,closed
HEROMOTOCO,2017-05-19,2912.9489273990703,2017-09-13,3175.4825630379937,117,3938.0045345838516,closed
IOC,2017-08-30,84.95277716428573,2017-09-20,77.65529890064276,21,-3867.663479730775,closed
RBLBANK,2017-08-30,524.2814403926965,2017-09-20,517.7468191469873,21,-555.4428058852835,closed
POWERGRID,2017-08-07,89.75874958167142,2017-09-27,84.00832848277048,51,-2932.7147604394813,closed
NTPC,2017-08-07,105.12570165395624,2017-09-27,99.4310161817299,51,-2482.882865890684,closed
ADANIPORTS,2017-03-21,311.4421932229545,2017-09-27,356.18661269443345,190,5861.518950763746,closed
BHARTIARTL,2017-06-23,354.32980239047475,2017-10-05,365.45703539836785,104,1346.3951939550648,closed
GRASIM,2017-09-06,1168.1504665803775,2017-10-05,1142.9410655734584,29,-957.957238262924,closed
LT,2017-09-13,1127.3974642082783,2017-10-05,1043.2585109388003,22,-3365.558130779118,closed
ASIANPAINT,2017-09-06,1125.470349294494,2017-10-05,1076.1980683420052,29,-1970.891238099557,closed
SHREECEM,2017-09-27,17403.329012477137,2017-10-12,17963.236965402317,15,1119.8159058503588,closed
ONGC,2017-09-27,105.3857235197729,2017-10-12,105.07612973739988,15,-128.7910134671738,closed
SAMMAANCAP,2017-02-10,567.5392910308757,2017-10-19,964.8670536394973,251,27812.94338260351,closed
MARUTI,2017-05-19,6243.074196213742,2017-10-19,7178.890480348147,153,6550.713988940839,closed
DABUR,2017-08-07,304.61872303150375,2017-10-27,307.9562266490034,81,500.6255426249453,closed
HCLTECH,2017-10-05,351.23356663171506,2017-10-27,336.2113170148181,22,-1907.8257013459117,closed
HDFCBANK,2017-02-17,313.977302745518,2017-10-27,411.08579896408895,252,12235.670523539942,closed
INDUSINDBK,2017-05-26,1436.1964127091908,2017-10-27,1581.6432511486103,154,4363.405153182584,closed
WIPRO,2017-07-10,91.81956345049223,2017-10-27,101.6433154394172,109,4705.57720269506,closed
BAJAJFINSV,2017-07-24,493.30561883116707,2017-10-27,501.6769502550841,95,753.4198281525312,closed
YESBANK,2017-07-31,361.90000000000003,2017-11-03,325.95,95,-4493.7500000000055,closed
TCS,2017-09-27,1086.022425562878,2017-11-03,1143.5805579969267,37,2302.325297361949,closed
KOTAKBANK,2017-10-05,205.7037844344223,2017-11-10,197.85644796393794,36,-1695.0246776246197,closed
EICHERMOT,2017-03-28,2411.9228240767948,2017-11-10,2959.6337800887954,227,9311.086252204012,closed
BPCL,2017-08-07,184.7749576514081,2017-11-10,179.31259392322548,95,-1354.6662045892906,closed
