ticker,buy_date,buy_price,sell_date,sell_price,days_held,pnl,status
COROMANDEL,2017-08-18,416.8061534606453,2017-09-18,395.2975251711788,31,-2731.5957927622476,closed
QUESS,2017-08-18,893.95,2017-10-03,827.75,46,-3905.800000000003,closed
FEDERALBNK,2017-08-18,107.89683848969563,2017-10-03,111.82307075164218,46,1939.5587374015968,closed
MRPL,2017-08-18,115.95239188203279,2017-10-17,119.76937146225225,60,1751.9936273207354,closed
SUNTV,2017-09-04,638.1482756603419,2017-10-17,644.7874204653294,43,564.3273084239371,closed
BALKRISIND,2017-08-18,695.3276713487253,2017-11-01,812.0640707667894,75,8871.966355772875,closed
POONAWALLA,2017-08-18,178.23854262646444,2017-11-15,171.70312939682742,89,-1954.0885556614676,closed
FEDERALBNK,2017-10-17,125.19214009928297,2017-11-15,109.93450333450333,29,-7079.54345885775,closed
NATCOPHARM,2017-10-17,918.0495368493331,2017-11-29,853.4315776579008,43,-4070.931429060235,closed
SAKUMA,2017-08-18,104.7,2017-11-29,248.05,103,72965.15000000001,closed
NATIONALUM,2017-09-04,48.079697750440566,2017-12-13,49.12278271858571,100,1184.9445238128847,closed
COROMANDEL,2017-10-03,413.2762910499013,2018-01-11,538.233420390237,100,16869.21246094532,closed
TVSMOTOR,2017-08-18,557.1396507982273,2018-01-11,721.9078863538142,146,15652.982377780756,closed
IGL,2017-08-18,118.03954274082766,2018-01-11,148.87766202830417,146,13907.991798651909,closed
PCJEWELLER,2017-08-18,372.65,2018-01-11,540.1,146,23945.350000000006,closed
VAKRANGEE,2017-08-18,224.8,2018-01-11,447.3,146,52732.5,closed
HATSUN,2017-08-18,626.85,2018-01-11,860.5,146,19860.249999999996,closed
HONAUT,2017-10-03,15526.493487839554,2018-01-11,18095.847587618504,100,7708.062299336849,closed
ENDURANCE,2017-11-01,1165.8122002965945,2018-01-11,1323.6094002777252,71,8205.454399018796,closed
BALKRISIND,2017-11-15,1006.0253697398722,2018-01-11,1082.7789029800012,57,4681.9655276478725,closed
VOLTAS,2017-11-29,637.8246999131358,2018-02-09,588.5553688816113,72,-4926.933103152442,closed
GREENLAM,2017-12-28,1285.113351340922,2018-02-09,1186.7653868415973,43,-5114.094153964884,closed
SUNTV,2017-12-28,792.4010887764666,2018-02-09,771.7507802904452,43,-1755.276221311824,closed
MOTILALOFS,2018-01-11,357.22731789234234,2018-03-13,265.8967127693727,61,-17992.12920922502,closed
JMFINANCIL,2018-01-11,145.24039500683332,2018-03-13,121.28115620016926,61,-11596.271582425405,closed
BALKRISIND,2018-02-09,1064.5899755170649,2018-03-27,1025.5355971497158,46,-2382.317080408292,closed
ADANIENT,2017-09-04,129.46768256082353,2018-03-27,158.2712724883462,204,12155.114949414565,closed
PRESTIGE,2018-02-26,327.4359669606721,2018-04-12,296.60163226873,45,-6105.198269004537,closed
SUNDRMFAST,2018-03-13,611.0,2018-04-12,593.85,30,-1800.7499999999977,closed
EDELWEISS,2017-08-18,252.25,2018-04-26,281.6,251,6192.850000000005,closed
GODREJPROP,2017-09-18,616.7,2018-05-11,834.3,235,20236.799999999992,closed
IIFL,2017-08-18,534.8150957644431,2018-05-25,622.3835301108093,280,8669.275000290252,closed
ITI,2018-01-11,138.5,2018-05-25,94.6,134,-22301.200000000004,closed
BALKRISIND,2018-04-12,1203.3643967650478,2018-06-08,1053.0199324246498,57,-7968.256610041092,closed
AVANTIFEED,2018-01-11,857.3,2018-06-22,515.4333333333333,162,-28033.066666666666,closed
ENDURANCE,2018-02-26,1282.8701044868944,2018-06-22,1281.838107850456,116,-51.59983182192036,closed
PIDILITIND,2018-05-25,557.7580320995245,2018-07-06,517.157769923529,42,-4425.428577183505,closed
RAIN,2018-01-11,448.5,2018-07-06,201.35,176,-38555.4,closed
ASHOKLEY,2018-04-12,65.3106826610929,2018-07-20,49.269055213880335,99,-15752.878153162736,closed
MOTHERSON,2017-08-18,27.24766637294063,2018-08-03,25.76718346341959,350,-2897.3050539326687,closed
JINDALSTEL,2018-01-11,263.62427440922056,2018-08-03,200.22034381444635,204,-16928.849468804714,closed
TATACONSUM,2017-11-15,242.24171850338067,2018-08-03,226.5529945021731,261,-4000.624620307928,closed
CHOLAFIN,2018-06-08,306.92294303373706,2018-08-20,287.82477510152484,73,-3724.142746781383,closed
BAJAJHLDNG,2018-06-22,2891.1822606582327,2018-08-20,2743.7763103302213,59,-2948.1190065602277,closed
EDELWEISS,2018-05-11,288.5,2018-09-04,263.75,116,-5469.75,closed
GODREJPROP,2018-08-03,734.25,2018-09-04,694.6,32,-3290.949999999998,closed
DBL,2018-01-11,991.35,2018-09-19,737.35,251,-18034.0,closed
WHIRLPOOL,2018-08-03,1751.4880412473885,2018-09-19,1485.9228653575867,47,-9029.215980253262,closed
SUNDRMFAST,2018-06-08,620.05,2018-10-05,514.8,119,-10104.0,closed
ENDURANCE,2018-07-20,1232.498840089305,2018-10-22,1080.8444772298317,94,-6976.100691535776,closed
JINDALSTEL,2018-08-20,202.43898835314374,2018-11-05,180.351149390112,77,-6780.9665616507455,closed
GLAXO,2018-09-04,1542.1248982923,2018-11-05,1217.9819995252928,62,-12641.57305191328,closed
BALKRISIND,2018-07-06,1125.3126303198771,2018-11-20,895.9709104941076,137,-11696.42771111425,closed
