ticker,buy_date,buy_price,sell_date,sell_price,days_held,pnl,status
STARPAPER,2017-08-07,190.35,2017-09-07,188.05,31,-482.9999999999964,closed
PRAKASH,2017-08-07,139.3,2017-09-07,111.95,31,-7849.450000000003,closed
APTECHT,2017-08-07,215.5,2017-10-09,328.25,63,20858.75,closed
UTTAMSUGAR,2017-08-07,206.35,2017-10-09,173.1,63,-6417.25,closed
SUBROS,2017-08-07,243.45,2017-10-09,243.85,63,65.60000000000093,closed
NOCIL,2017-08-07,141.6,2017-10-09,165.7,63,6796.199999999998,closed
TIRUMALCHM,2017-08-07,124.04000000000003,2017-11-08,211.17500000000004,93,28057.47,closed
VHL,2017-08-07,3291.5,2017-11-08,3289.9,93,-19.19999999999891,closed
SARDAEN,2017-09-07,42.80947196951795,2017-12-07,42.462022175660266,91,-346.40744447611155,closed
BHARATWIRE,2017-09-07,106.65,2017-12-07,116.8,91,4059.9999999999964,closed
JAYAGROGN,2017-08-07,532.45,2017-12-07,390.25,122,-10665.000000000004,closed
PGEL,2017-10-09,41.727992588334565,2017-12-07,40.15919593211604,59,-1824.510511182143,closed
IGPL,2017-08-07,447.95,2017-12-07,706.5,122,23010.95,closed
DWARKESH,2017-09-07,66.0,2017-12-07,60.05,91,-3843.7000000000016,closed
ZUARI,2017-09-07,483.75,2017-12-07,491.65,91,695.199999999998,closed
TVSELECT,2017-10-09,413.4,2017-12-07,461.65,59,5645.25,closed
MASTEK,2017-10-09,316.85,2018-01-08,392.5,91,11574.449999999997,closed
ANDHRSUGAR,2017-11-08,119.52000000000001,2018-01-08,116.96,61,-1095.680000000007,closed
GPTINFRA,2017-08-07,156.15,2018-01-08,209.0,154,13529.599999999999,closed
VENKEYS,2017-08-07,2187.5,2018-01-08,2659.4,154,8494.2,closed
GENESYS,2017-08-07,261.0,2018-01-08,320.2,154,9057.599999999999,closed
BEPL,2017-08-07,52.96666666666667,2018-01-08,134.63333333333333,154,61658.33333333333,closed
NATHBIOGEN,2017-08-07,404.35,2018-01-08,488.55,154,8251.599999999999,closed
HEG,2017-08-07,93.4275616006266,2018-01-08,497.35706836955933,154,172881.8288971032,closed
BOMDYEING,2017-09-07,153.7,2018-01-08,295.5,123,39278.600000000006,closed
KEI,2017-10-09,349.71730108649564,2018-02-07,383.2134307686199,121,4622.465896133148,closed
KOLTEPATIL,2017-12-07,369.85,2018-02-07,324.55,62,-6613.800000000002,closed
PURVA,2017-12-07,151.95,2018-02-07,142.2,62,-3461.25,closed
UTTAMSUGAR,2017-12-07,162.05,2018-02-07,112.65,62,-16450.2,closed
PRAKASH,2017-12-07,141.9,2018-02-07,197.55,62,21147.000000000004,closed
FMNL,2018-01-08,140.15,2018-03-12,80.35,63,-26132.600000000006,closed
MADRASFERT,2018-01-08,50.0,2018-03-12,34.15,63,-19447.95,closed
PGEL,2018-01-08,44.166122423476715,2018-03-12,26.34479225554216,63,-24753.827603261096,closed
VHL,2018-01-08,5774.65,2018-04-12,3950.65,94,-18239.999999999996,closed
PANAMAPET,2017-08-07,128.26666666666665,2018-04-12,221.35,248,28948.916666666668,closed
FILATEX,2017-09-07,17.17328267173283,2018-04-12,16.158384161583843,217,-2522.022797720236,closed
PARACABLES,2018-01-08,18.95,2018-04-12,15.95,94,-9714.0,closed
VISAKAIND,2017-08-07,96.10172700524498,2018-04-12,141.671275425355,248,18956.932142765763,closed
RAMKY,2017-12-07,239.95,2018-05-14,178.45,158,-13837.5,closed
THANGAMAYL,2017-12-07,302.0,2018-05-14,269.625,158,-5762.75,closed
PPAP,2018-01-08,691.95,2018-05-14,540.45,126,-13332.0,closed
EVERESTIND,2018-02-07,543.25,2018-05-14,467.85,96,-7238.399999999998,closed
VMART,2018-01-08,395.875,2018-05-14,530.6375,126,20888.187500000007,closed
MASTEK,2018-02-07,474.25,2018-05-14,567.95,96,10307.000000000005,closed
BIGBLOC,2018-03-12,164.15,2018-06-12,115.85,92,-15021.300000000003,closed
TVSELECT,2018-04-12,482.35,2018-06-12,525.4,61,4950.7499999999945,closed
AUTOAXLES,2018-04-12,1645.35,2018-06-12,1239.4,61,-13396.349999999995,closed
SHAKTIPUMP,2017-08-07,82.87500000000001,2018-06-12,91.25833333333334,309,4040.766666666663,closed
NATHBIOGEN,2018-02-07,483.25,2018-06-12,466.05,125,-1857.5999999999988,closed
GUFICBIO,2018-05-14,146.2,2018-07-11,120.45,58,-9578.999999999995,closed
SREEL,2018-05-14,277.45,2018-07-11,226.15,58,-10054.799999999997,closed
VISAKAIND,2018-05-14,141.72050786746834,2018-07-11,106.22391710374825,58,-13630.690853268516,closed
BUTTERFLY,2018-02-07,578.15,2018-07-11,323.45,154,-22923.0,closed
MANINDS,2018-03-12,127.05,2018-07-11,113.6,121,-5406.9000000000015,closed
PRECWIRE,2018-03-12,38.86,2018-07-11,32.973333333333336,121,-7740.966666666662,closed
SUNFLAG,2018-04-12,88.55,2018-08-09,67.6,119,-13177.550000000001,closed
GMBREW,2018-05-14,1012.45,2018-08-09,695.25,87,-16811.600000000002,closed
PARACABLES,2018-06-12,15.3,2018-08-09,14.3,58,-3182.0,closed
GRAVITA,2017-08-07,99.04762936243318,2018-08-09,138.4501321078498,367,15879.2086064029,closed
SAREGAMA,2017-11-08,59.96220018985401,2018-08-09,59.206651912142824,274,-645.2382291653519,closed
MAANALU,2018-01-08,154.9,2018-08-09,135.2,213,-7801.200000000007,closed
GOACARBON,2018-01-08,1063.25,2018-08-09,725.7,213,-19240.35,closed
GNA,2018-04-12,256.6603605740719,2018-08-09,199.07312299845808,119,-12496.430553908198,closed
WINDMACHIN,2018-05-14,141.2,2018-09-11,88.15,120,-20424.249999999993,closed
THANGAMAYL,2018-06-12,243.825,2018-09-11,191.825,91,-10348.0,closed
PSPPROJECT,2018-07-11,491.1,2018-09-11,480.7,62,-967.2000000000032,closed
GPIL,2018-01-08,20.221418321726087,2018-09-11,26.17813336409868,246,18078.63015360082,closed
