run_id,ticker,market_cap_tier_at_buy,buy_date,buy_price,entry_reason,entry_indicator_values,sell_date,sell_price,exit_reason,exit_indicator_values,days_held,pnl_inr,pnl_pct
orch_technical_20260727_022250_b7f71633,BLUECHIP,,2016-07-01,0.5,buy,"{""template_name"": ""F6"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__rsi_14"": 48.805976, ""feature__macd_hist"": 0.001345, ""feature__sma_200_ratio"": 1.440922, ""feature__volume_ratio_21d"": 3.672879}",2016-07-04,0.5,exit_model_urgent,,3,-120.66074895400016,-0.004022092000000005
orch_technical_20260727_022250_b7f71633,FCL,,2016-07-01,2.755,buy,"{""template_name"": ""F6"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__rsi_14"": 44.921047, ""feature__macd_hist"": 0.006854, ""feature__sma_200_ratio"": 1.007046, ""feature__volume_ratio_21d"": 1.102914}",2016-07-07,2.74,exit_model_urgent,,6,-283.9945222159404,-0.009466738098003642
orch_technical_20260727_022250_b7f71633,ARE&M,,2016-07-01,805.8123352148,buy,"{""template_name"": ""F6"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__rsi_14"": 46.757598, ""feature__macd_hist"": 3.359803, ""feature__sma_200_ratio"": 0.961591, ""feature__volume_ratio_21d"": 2.045041}",2016-07-08,791.1671569009,exit_model_urgent,,7,-661.790497452148,-0.022196520057118575
orch_technical_20260727_022250_b7f71633,ASTRAZEN,,2016-07-01,1061.3,buy,"{""template_name"": ""F6"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__rsi_14"": 45.491097, ""feature__macd_hist"": 2.93229, ""feature__sma_200_ratio"": 0.921953, ""feature__volume_ratio_21d"": 1.051191}",2016-07-12,1059.35,exit_model_urgent,,11,-174.12209470880043,-0.005859461264110069
orch_technical_20260727_022250_b7f71633,FCSSOFT,,2016-07-01,0.3,buy,"{""template_name"": ""F6"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__rsi_14"": 47.586831, ""feature__macd_hist"": 0.001711, ""feature__sma_200_ratio"": 0.804829, ""feature__volume_ratio_21d"": 1.356518}",2016-07-13,0.3,exit_model_urgent,,12,-120.66275999999925,-0.004022091999999975
orch_technical_20260727_022250_b7f71633,FLEXITUFF,,2016-07-01,196.4,buy,"{""template_name"": ""F6"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__rsi_14"": 49.871255, ""feature__macd_hist"": 0.386306, ""feature__sma_200_ratio"": 0.963757, ""feature__volume_ratio_21d"": 1.384708}",2016-07-15,196.35,exit_model_urgent,,14,-127.67070805759795,-0.004276674484724983
orch_technical_20260727_022250_b7f71633,GLAXO,,2016-07-01,1494.9599718178,buy,"{""template_name"": ""F6"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__rsi_14"": 45.556984, ""feature__macd_hist"": 0.13514, ""feature__sma_200_ratio"": 1.028734, ""feature__volume_ratio_21d"": 2.517149}",2016-07-19,1498.8050597435,exit_model_urgent,,18,-43.35557234537191,-0.0014500579668582567
orch_technical_20260727_022250_b7f71633,BALPHARMA,,2016-07-01,87.65,buy,"{""template_name"": ""F6"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__rsi_14"": 45.87443, ""feature__macd_hist"": 0.280887, ""feature__sma_200_ratio"": 0.902417, ""feature__volume_ratio_21d"": 0.986386}",2016-07-28,98.25,exit_model_urgent,,27,3504.632563580395,0.11691344707586976
orch_technical_20260727_022250_b7f71633,CEATLTD,,2016-07-01,822.4439786298,buy,"{""template_name"": ""F6"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__rsi_14"": 47.853756, ""feature__macd_hist"": 7.252382, ""feature__sma_200_ratio"": 0.838733, ""feature__volume_ratio_21d"": 1.828311}",2016-08-02,817.5844938462,signal,"{""template_name"": ""F6"", ""matched"": false}",32,-294.02748469782455,-0.009930682627286235
orch_technical_20260727_022250_b7f71633,GSS,,2016-07-01,22.9,buy,"{""template_name"": ""F6"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__rsi_14"": 49.870273, ""feature__macd_hist"": 0.096454, ""feature__sma_200_ratio"": 0.801919, ""feature__volume_ratio_21d"": 1.578569}",2016-08-02,24.3,signal,"{""template_name"": ""F6"", ""matched"": false}",32,1713.3412620920026,0.0571132791790394
orch_technical_20260727_022250_b7f71633,BHARATFORG,,2016-08-02,342.7894130785,buy,"{""template_name"": ""F6"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__rsi_14"": 43.527997, ""feature__macd_hist"": 0.235895, ""feature__sma_200_ratio"": 0.907432, ""feature__volume_ratio_21d"": 1.245287}",2016-08-03,341.3066988303,exit_model_urgent,,1,-248.94569796781434,-0.008347529693317774
