run_id,ticker,market_cap_tier_at_buy,buy_date,buy_price,entry_reason,entry_indicator_values,sell_date,sell_price,exit_reason,exit_indicator_values,days_held,pnl_inr,pnl_pct
orch_technical_20260727_030306_ec1a28aa,ARCHIDPLY,,2016-07-01,51.25,buy,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.057132, ""feature__rsi_14"": 60.579876, ""feature__volume_ratio_21d"": 5.98183}",2016-07-11,50.95,signal,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.045369, ""feature__rsi_14"": 56.937074, ""feature__volume_ratio_21d"": 1.017877}",10,-197.39156385000024,-0.009875750536585378
orch_technical_20260727_030306_ec1a28aa,ASTRAL,,2016-07-01,215.5360413046,buy,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.154351, ""feature__rsi_14"": 74.404978, ""feature__volume_ratio_21d"": 5.739059}",2016-07-11,205.7723097874,signal,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.099231, ""feature__rsi_14"": 52.829843, ""feature__volume_ratio_21d"": 0.417682}",10,-978.0186320271496,-0.04932185466661464
orch_technical_20260727_030306_ec1a28aa,BALAMINES,,2016-07-01,267.22608569,buy,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.645615, ""feature__rsi_14"": 65.233081, ""feature__volume_ratio_21d"": 4.464874}",2016-07-11,276.4304844709,signal,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.662174, ""feature__rsi_14"": 68.798887, ""feature__volume_ratio_21d"": 0.508057}",10,601.5897250796661,0.03042214557184291
orch_technical_20260727_030306_ec1a28aa,BANCOINDIA,,2016-07-01,157.65,buy,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.250139, ""feature__rsi_14"": 77.332716, ""feature__volume_ratio_21d"": 4.765328}",2016-07-11,155.0,signal,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.219654, ""feature__rsi_14"": 65.492266, ""feature__volume_ratio_21d"": 0.339964}",10,-413.7944332788029,-0.020831479884554537
orch_technical_20260727_030306_ec1a28aa,BANG,,2016-07-01,26.0,buy,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 2.160994, ""feature__rsi_14"": 86.950989, ""feature__volume_ratio_21d"": 10.606144}",2016-07-11,25.15,signal,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 2.025531, ""feature__rsi_14"": 73.303004, ""feature__volume_ratio_21d"": 1.709797}",10,-734.0677074480009,-0.036714399692307734
orch_technical_20260727_030306_ec1a28aa,BASML,,2016-07-01,261.15,buy,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.222834, ""feature__rsi_14"": 76.247134, ""feature__volume_ratio_21d"": 4.218}",2016-07-11,259.4,signal,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.203999, ""feature__rsi_14"": 66.824237, ""feature__volume_ratio_21d"": 1.415646}",10,-212.8280687607985,-0.010723221618992841
orch_technical_20260727_030306_ec1a28aa,BSOFT,,2016-07-01,144.6123430718,buy,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 0.333333, ""feature__sma_200_ratio"": 1.059946, ""feature__rsi_14"": 35.137633, ""feature__volume_ratio_21d"": 5.13732}",2016-07-11,137.0205401425,signal,"{""template_name"": ""S001"", ""matched"": false}",10,-1127.9356966909072,-0.05651970574470415
orch_technical_20260727_030306_ec1a28aa,CCHHL,,2016-07-01,13.3,buy,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.14244, ""feature__rsi_14"": 63.765984, ""feature__volume_ratio_21d"": 6.972865}",2016-07-11,14.05,signal,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.195287, ""feature__rsi_14"": 70.631843, ""feature__volume_ratio_21d"": 1.455557}",10,1046.8487831292005,0.05236888544360904
orch_technical_20260727_030306_ec1a28aa,CYBERTECH,,2016-07-01,61.75,buy,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.28275, ""feature__rsi_14"": 67.960157, ""feature__volume_ratio_21d"": 5.072}",2016-07-11,59.65,signal,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.222129, ""feature__rsi_14"": 56.720518, ""feature__volume_ratio_21d"": 0.825068}",10,-758.5216304629976,-0.03803018916599178
orch_technical_20260727_030306_ec1a28aa,DTIL,,2016-07-01,221.6333333333,buy,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.244943, ""feature__rsi_14"": 72.064451, ""feature__volume_ratio_21d"": 4.174177}",2016-07-11,223.3666666667,signal,"{""template_name"": ""S001"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 2, ""total_conditions"": 2, ""feature__ema_ribbon_alignment"": 1.0, ""feature__sma_200_ratio"": 1.240279, ""feature__rsi_14"": 64.411755, ""feature__volume_ratio_21d"": 0.338776}",10,75.77133088201299,0.003798632921342778
