ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
DIAMONDYD,59,2021-10-07,672.2,2021-10-27,696.65,,1283.0346356983937,0.032351011243082255,exit_model_urgent
EXCELINDUS,26,2022-04-12,1485.55,2022-04-25,1471.0,,-533.6504880355933,-0.013816444260105512,exit_model_urgent
AARTIIND,42,2022-04-12,945.9518784931,2022-04-27,866.8628822207,,-3481.535473721422,-0.08762993513720962,exit_model_urgent
AUTOIND,644,2022-07-13,61.9,2022-08-08,85.5,,15038.064933348804,0.3772380049305332,exit_model_urgent
BALAJITELE,1017,2023-04-21,39.8,2023-07-21,44.1,,4040.2976709528084,0.09981810900502534,signal
FORCEMOT,15,2023-07-21,2564.2408187399,2023-08-17,3475.2453401237,,13510.36363351009,0.3512505152863464,exit_model_urgent
BALMLAWRIE,159,2024-01-23,258.5,2024-02-12,237.4,,-3520.214014338002,-0.08564685022050295,exit_model_urgent
ADANIPOWER,346,2024-04-26,118.32,2024-06-03,174.9,,19412.02070179776,0.47417263416632854,exit_model_urgent
ASHAPURMIN,171,2024-10-28,243.2,2024-10-29,216.85,,-4673.117544422399,-0.1123691314736842,exit_model_urgent
BALMLAWRIE,184,2024-10-28,226.9,2024-11-13,216.51,,-2079.6807321632004,-0.04981318939973558,exit_model_urgent
CHENNPETRO,40,2026-05-13,1027.4,2026-06-18,1119.4,1,3514.7081071680004,0.08552433587619233,exit_model_urgent
