ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
DIAMONDYD,59,2021-10-07,672.2,2022-01-10,850.8,,10377.884635698392,0.2616726417102051,signal
AARTIIND,42,2022-04-12,945.9518784931,2022-04-27,866.8628822207,,-3481.535473721422,-0.08762993513720962,exit_model_urgent
EXCELINDUS,27,2022-04-12,1485.55,2022-05-09,1312.05,,-4845.825506806199,-0.12081385262737704,exit_model_urgent
AUTOIND,647,2022-07-13,61.9,2022-08-08,85.5,,15108.118030864403,0.3772380049305332,exit_model_urgent
BALAJITELE,1022,2023-04-21,39.8,2023-07-21,44.1,,4060.161474644803,0.0998181090050252,signal
FORCEMOT,15,2023-07-21,2564.2408187399,2023-08-17,3475.2453401237,,13510.36363351009,0.3512505152863464,exit_model_urgent
BALMLAWRIE,160,2024-01-23,258.5,2024-02-12,237.4,,-3542.353725120003,-0.08564685022050297,exit_model_urgent
ADANIPOWER,348,2024-04-26,118.32,2024-06-03,174.9,,19524.228913946885,0.4741726341663287,exit_model_urgent
ASHAPURMIN,172,2024-10-28,243.2,2024-10-29,216.85,,-4700.445717196802,-0.11236913147368427,exit_model_urgent
BALMLAWRIE,185,2024-10-28,226.9,2025-01-10,207.08,,-3835.533344837997,-0.09137334805993823,exit_model_urgent
