ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BHAGERIA,47,2016-10-04,637.6,2016-11-04,371.7,,-12617.830835382403,-0.4210547143337517,signal
APTECHT,184,2016-10-04,162.9,2016-12-06,156.55,,-1288.956576771201,-0.04300306192019647,signal
BPL,323,2016-10-04,92.75,2016-12-06,72.05,,-6806.594837659002,-0.22720268499191382,signal
DONEAR,436,2016-10-04,68.75,2016-12-06,60.65,,-3652.162207700003,-0.12184027381818191,signal
ELECTHERM,188,2016-10-04,159.4,2016-12-06,187.25,,5115.269164617599,0.17069559934253448,signal
ENERGYDEV,127,2016-10-04,234.85,2016-12-06,60.8,,-22224.3127148874,-0.7451334396687247,signal
AGARIND,96,2016-11-04,328.35,2017-01-04,344.0,,1375.617224812795,0.04364046320024348,signal
AKSHOPTFBR,1224,2016-12-06,24.85,2017-01-04,25.4,,550.8624408911965,0.018110704780683988,signal
CENTEXT,4958,2016-10-04,6.05,2017-01-04,6.95,,4341.553730577198,0.14473823857851234,signal
CGCL,1786,2016-10-04,16.7966280919146,2017-01-04,14.791513976331071,,-3701.791654519362,-0.12339808250304217,signal
EKC,896,2016-12-06,33.95,2017-01-04,35.2,,997.6511790336008,0.032796759251840966,signal
ASTEC,48,2017-01-04,621.2,2017-02-03,571.2,,-2519.929130419201,-0.0845114674024469,signal
BANG,866,2017-01-04,34.8,2017-02-03,31.4,,-3065.612982185601,-0.1017232414252874,signal
BEARDSELL,126,2016-10-04,237.0,2017-02-03,340.3,,12895.692288696002,0.43184288690295364,signal
BLBLIMITED,4822,2017-01-04,6.25,2017-02-03,6.3,,119.88420235000012,0.003977908000000004,signal
CORDSCABLE,378,2017-01-04,79.65,2017-02-03,78.1,,-706.9959393084027,-0.02348223010420599,signal
CREST,324,2017-01-04,93.0,2017-02-03,101.05,,2487.0063238559997,0.08253704778494622,signal
DUCON,821,2016-10-04,36.5,2017-02-03,68.1,,25823.071980082,0.8617313326575343,signal
ADANIENT,318,2017-02-03,93.58692191227725,2017-03-07,96.85330839890354,,919.0108659900579,0.03088007616499216,signal
ADANIPOWER,4067,2017-02-03,7.33,2017-03-07,8.090000000000002,,2971.0169729578847,0.09966140049658952,signal
ARIES,174,2017-01-04,173.15,2017-03-07,149.4,,-4253.677989985201,-0.1411864004031187,signal
BALRAMCHIN,214,2017-02-03,138.70683967605564,2017-03-07,137.6693576231941,,-341.40997673652964,-0.011501766796747933,signal
DALMIASUG,154,2017-02-03,192.88414270817816,2017-03-07,184.47190525845377,,-1414.9574234238207,-0.04763499522580625,signal
DATAMATICS,220,2017-01-04,136.6,2017-03-07,137.4,,55.12809121600003,0.001834423373352856,signal
DWARKESH,667,2017-02-03,44.665000000000006,2017-03-07,43.77000000000001,,-716.789375033055,-0.024060153121683473,signal
BHARATWIRE,405,2017-01-04,74.3,2017-04-07,97.75,,9376.219218582002,0.31159029023418583,signal
DHAMPURSUG,153,2017-02-03,194.1,2017-04-07,216.95,,3376.6047272483956,0.11370073128696534,signal
DLINKINDIA,248,2017-02-03,120.1,2017-04-07,147.0,,6551.402794198399,0.2199579246527893,signal
ELGIRUBCO,519,2017-02-03,57.45,2017-04-07,57.9,,113.62509277739446,0.0038108061723235733,signal
GENESYS,189,2017-03-07,160.2,2017-04-07,183.05,,4196.869902842405,0.138612115240949,signal
GOKULAGRO,1879,2017-03-07,16.175,2017-04-07,12.625,,-6792.692738289901,-0.22349658968160746,signal
AVANTIFEED,114,2017-04-07,270.46666666666664,2017-05-10,299.0333333333333,,3132.5860329455973,0.1015978241942321,signal
BEPL,1247,2017-04-07,24.766666666666666,2017-05-10,26.366666666666664,,1870.981576602262,0.060580868969044264,signal
EDELWEISS,170,2017-04-07,181.4,2017-05-10,181.35,,-132.5332730959999,-0.004297725958103635,signal
FMNL,475,2017-03-07,63.9,2017-05-10,80.65,,7834.16945257,0.25810623350860723,signal
GPIL,6339,2017-03-07,4.796316008144165,2017-05-10,4.507974429941951,,-1950.0843347181471,-0.06413939405278583,signal
GRAPHITE,297,2017-04-07,103.85035907428586,2017-05-10,101.28192480204466,,-886.8806012892928,-0.028754161249793964,signal
DBL,66,2017-05-10,468.8,2017-06-08,442.8,,-1840.4467441535999,-0.05948284285324232,signal
ESCORTS,50,2017-05-10,615.7214936151216,2017-06-08,727.5252151159988,,5466.361650358984,0.17755955272128035,signal
FILATEX,2318,2017-04-07,13.32366763323668,2017-06-08,13.193680631936807,,-425.5292104151631,-0.013778189560975755,signal
GANECOS,94,2017-05-10,331.35,2017-06-08,314.8,,-1680.9756973147996,-0.05396927775524368,signal
GINNIFILA,877,2017-03-07,34.65,2017-06-08,44.65,,8647.776467199397,0.2845781966002885,signal
ADFFOODS,605,2017-05-10,51.74,2017-07-10,52.17000000000001,,134.2476607516037,0.004288692692694358,signal
AGRITECH,511,2017-05-10,61.3,2017-07-10,58.55,,-1531.2392164355988,-0.04888342968352362,signal
ARVSMART,241,2017-05-10,129.55,2017-07-10,140.0,,2392.8740535174,0.07664174435661907,signal
CHAMBLFERT,299,2017-06-08,106.1844363625005,2017-07-10,109.08225723789039,,738.750453708155,0.02326835634307993,signal
GICHSGFIN,70,2017-04-07,438.82981530343005,2017-07-10,546.00742983929,,7378.88204524566,0.24021294125942363,signal
BALAJITELE,195,2017-07-10,167.4,2017-08-08,159.6,,-1652.2931491560012,-0.05061707407885308,signal
BIRLAMONEY,590,2017-04-07,52.3,2017-08-08,94.2,,24596.890307155998,0.7971251355334608,signal
BLKASHYAP,674,2017-07-10,48.45,2017-08-08,41.8,,-4613.442620887607,-0.1412769939607845,signal
GANECOS,84,2017-07-10,388.5,2017-08-08,337.2,,-4440.456950328,-0.13606842404633204,signal
AVANTIFEED,67,2017-06-08,468.26666666666665,2017-09-08,631.1666666666666,,10788.11142187093,0.34385660959453296,signal
BEPL,940,2017-06-08,33.83333333333333,2017-09-08,54.6,,19392.750734093337,0.6097710114482761,signal
CAPLIPOINT,49,2017-07-10,662.4495138602255,2017-09-08,626.8886487213061,,-1873.0396034219993,-0.05770296034527062,signal
CONTROLPR,81,2017-08-08,411.75,2017-09-08,384.0,,-2381.8938068610005,-0.07141735611657561,signal
DHUNINV,84,2017-07-10,387.75,2017-09-08,364.05,,-2121.8035585319994,-0.0651439488665377,signal
