ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BIRLAMONEY,543,2017-07-10,92.0,2017-07-19,129.3,,20052.97237204801,0.4014126906086959,exit_model_urgent
ADFFOODS,958,2017-07-10,52.17,2017-07-26,46.65,,-5489.179572975125,-0.10983002759516973,exit_model_urgent
ESCORTS,76,2017-07-10,654.3648988755,2017-08-10,571.0097144131,,-6535.019621830841,-0.1314054290427456,exit_model_urgent
GENESYS,201,2017-07-10,248.7,2017-08-11,220.55,,-5859.209150360395,-0.11721067261921986,exit_model_urgent
DHUNINV,128,2017-07-10,387.75,2017-08-11,332.05,,-7329.2244701439995,-0.14767135054287556,exit_model_urgent
AGRITECH,853,2017-07-10,58.55,2017-08-17,80.35,,18394.52405593019,0.36830924873441484,exit_model_urgent
GRAVITA,635,2017-07-10,78.7108537519,2017-08-22,109.1218654288,,19109.962657386684,0.38234154436401174,exit_model_urgent
GOACARBON,159,2017-07-10,312.95,2017-09-20,433.8,,19015.014523067402,0.3821418319495128,exit_model_urgent
AVANTIFEED,96,2017-07-10,515.6833333333,2017-09-20,700.6,,17552.883922288027,0.35456360335576503,exit_model_urgent
BEPL,1065,2017-07-10,46.9333333333,2017-10-04,65.8666666667,,19962.95975354313,0.39938699891079765,exit_model_urgent
GPIL,2640,2018-07-12,20.6152507212,2018-07-18,18.5710730286,,-5615.528496873849,-0.10318060916990457,exit_model_urgent
BHARATRAS,31,2018-07-12,1731.85,2018-07-20,1549.7875,,-5859.872960936198,-0.10914811330669512,exit_model_urgent
FSL,904,2018-07-12,60.1920986511,2018-08-07,53.8062154951,,-5991.695108260807,-0.11011381000131767,exit_model_urgent
EXCELINDUS,42,2018-07-12,1267.9,2018-08-08,1757.5,,20349.016361234404,0.3821282353128796,exit_model_urgent
AUSOMENT,714,2018-07-12,76.2,2018-08-09,67.3,,-6573.429155025609,-0.12081999226246735,exit_model_urgent
GPTINFRA,358,2018-07-12,152.0,2018-09-03,136.85,,-5642.566158272006,-0.10369314463157905,exit_model_urgent
GENUSPAPER,4594,2018-07-12,11.85,2018-09-24,10.4,,-6880.258264178803,-0.1263849611983123,exit_model_urgent
GRAPHITE,63,2018-07-12,861.150472398,2018-09-25,760.7200861573,,-6545.322797991277,-0.12064559678777168,exit_model_urgent
BSOFT,197,2018-07-12,275.7434845783,2018-09-25,246.250480471,,-6028.607744822875,-0.11098020980432174,exit_model_urgent
FILATEX,1263,2018-07-12,43.1,2018-11-27,62.65,,24472.706215352388,0.449574195703016,exit_model_urgent
DHAMPURSUG,299,2019-07-23,181.3,2019-07-30,154.4,,-8261.132378600407,-0.15239495465857705,exit_model_urgent
GMMPFAUDLR,124,2019-07-23,435.1,2019-07-30,390.75,,-5716.401516420803,-0.10595268266881182,exit_model_urgent
DALMIASUG,556,2019-07-23,97.3629375838,2019-07-31,87.1089676747,,-5918.938366407485,-0.10933906541480115,exit_model_urgent
BALRAMCHIN,379,2019-07-23,143.0417745912,2019-08-02,128.1991420068,,-5843.406749665002,-0.10778641278544095,exit_model_urgent
ESABINDIA,49,2019-07-23,1086.9,2019-08-21,977.6,,-5569.908977945204,-0.10458332118391764,exit_model_urgent
ADANIPOWER,4296,2019-07-23,12.62,2019-08-22,11.38,,-5545.099809267835,-0.1022788273407289,exit_model_urgent
ADANIGREEN,1111,2019-07-23,48.8,2019-08-22,43.5,,-6106.364957545593,-0.11262864937704906,exit_model_urgent
GOLDIAM,2809,2019-07-23,19.3,2019-09-26,26.68,,20512.36751093959,0.378361327689119,exit_model_urgent
CGCL,1383,2019-07-23,39.190658345,2019-09-27,54.1690912006,,20497.172515896833,0.37817186666594205,exit_model_urgent
FINEORG,38,2019-07-23,1416.8,2019-10-18,1941.0,,19703.057002067195,0.3659666149452286,exit_model_urgent
AARTIDRUGS,126,2020-07-31,435.0625,2020-08-07,589.1125,,19189.81746350549,0.35006496445740537,exit_model_urgent
DEEPAKNTR,86,2020-07-31,640.4993653149,2020-08-11,574.7713732278,,-5874.155993589084,-0.10664200959318142,exit_model_urgent
ALKYLAMINE,61,2020-07-31,894.6298737019,2020-08-21,1272.8945944429,,22854.652662064378,0.4187949096006438,exit_model_urgent
GRANULES,203,2020-07-31,270.1912009087,2020-09-07,371.6241215572,,20370.275916513514,0.3713895435653458,exit_model_urgent
DIXON,36,2020-07-31,1526.060882958,2020-11-13,2118.8170986934,,21118.2573047955,0.38440029819091204,exit_model_urgent
ASTEC,58,2020-07-31,939.0,2020-12-30,1286.45,,19933.048825496007,0.3659992072545262,exit_model_urgent
BHARATRAS,23,2020-07-31,2342.575,2021-04-28,3209.975,,19733.492800161308,0.366254206517657,exit_model_urgent
ESCORTS,49,2020-07-31,1106.0467316384,2021-08-04,1203.7280192694,,4568.400630082506,0.08429360464900475,signal
CGPOWER,710,2021-08-04,86.1399332579,2021-08-10,76.9529908348,,-6768.71766327136,-0.11067346814623642,exit_model_urgent
DSSL,419,2021-08-04,145.9,2021-08-10,130.5,,-6698.478930353209,-0.10957383977244702,exit_model_urgent
DVL,203,2021-08-04,300.75,2021-08-10,266.05,,-7289.657766306998,-0.11940031311388194,exit_model_urgent
GOODLUCK,201,2021-08-04,304.15,2021-08-20,271.5,,-6808.537175641795,-0.1113704398546769,exit_model_urgent
