ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
AWHCL,96,2023-01-02,310.0,2023-01-25,286.3,
DBCORP,227,2023-01-02,131.75,2023-01-30,120.45,
3MINDIA,1,2023-01-02,21038.107828404256,2023-02-01,22153.076576104806,
ANUP,67,2023-01-02,441.3,2023-02-01,543.125,
APTECHT,87,2023-01-02,343.15,2023-02-01,343.65,
ASHOKLEY,436,2023-01-02,68.69508589635421,2023-02-01,68.25606583848985,
DHANUKA,41,2023-01-02,721.05,2023-02-01,683.45,
GNA,86,2023-01-02,347.03757264855886,2023-02-01,396.0611908433163,
BDL,67,2023-02-01,445.2320925433439,2023-02-10,407.5868501941596,
GESHIP,53,2023-02-01,562.2124330832193,2023-02-13,514.1565766544718,
CMSINFO,98,2023-02-01,307.1,2023-02-24,280.1,
ABB,10,2023-02-01,2748.39209923767,2023-03-02,3274.893801802185,
APOLLOTYRE,95,2023-02-01,317.0167438266586,2023-03-02,302.10170503681735,
ARE&M,52,2023-02-01,578.3600017674578,2023-03-02,558.8767610139641,
BAJAJHLDNG,5,2023-02-01,5843.275989482108,2023-03-02,5988.248260504576,
BLUESTARCO,48,2023-02-01,623.098219126575,2023-03-02,702.2795706237758,
EXIDEIND,166,2023-02-01,180.6330058770365,2023-03-02,177.9598948007526,
GANESHBE,218,2023-02-01,137.85,2023-03-02,163.75,
CHOICEIN,234,2023-03-02,129.2,2023-04-05,139.0,
ANDHRAPAP,351,2023-04-05,86.34,2023-05-09,94.09,
ASTERDM,166,2023-04-05,181.80793217708833,2023-05-09,184.88170435541102,
COHANCE,64,2023-04-05,468.35,2023-05-09,474.9,
DEEPINDS,211,2023-04-05,143.05,2023-05-09,163.95,
DICIND,76,2023-03-02,397.1,2023-05-09,430.05,
FEDERALBNK,237,2023-04-05,127.7764955122098,2023-05-09,127.7764955122098,
GRASIM,18,2023-04-05,1653.2358276849468,2023-05-09,1758.5028852078726,
3MINDIA,1,2023-05-09,23407.202423485465,2023-06-07,26375.919825237484,
ABBOTINDIA,1,2023-05-09,21147.285034564582,2023-06-07,21086.0494912643,
AXISBPSETF,2808,2023-05-09,10.92,2023-06-07,11.04,
BBL,21,2023-05-09,1445.925,2023-06-07,1573.325,
BLUESTARCO,44,2023-05-09,691.7794348817557,2023-06-07,721.7552322342674,
BANARBEADS,359,2023-06-07,85.75,2023-07-07,83.65,
BBTC,32,2023-06-07,947.6392477936045,2023-07-07,1092.5428672392607,
BPCL,199,2023-06-07,155.01173149227017,2023-07-07,164.92894495774954,
BRITANNIA,6,2023-06-07,4829.854682649189,2023-07-07,4989.117540531218,
CARBORUNIV,26,2023-06-07,1183.7294769228065,2023-07-07,1188.4445419252243,
COALINDIA,163,2023-06-07,188.42985106943365,2023-07-07,191.12520654636964,
DALMIASUG,84,2023-06-07,366.4549828690601,2023-07-07,376.65917622523466,
DHAMPURSUG,115,2023-06-07,267.25,2023-07-07,269.55,
FMGOETZE,92,2023-06-07,335.25,2023-07-07,385.55,
GNA,77,2023-06-07,397.5753380381924,2023-07-07,436.6701221681888,
ANANDRATHI,139,2023-07-07,224.92260455573106,2023-08-01,309.34557580233115,
BOSCHLTD,1,2023-07-07,19336.0353858336,2023-08-03,17865.759134125557,
APOLLOTYRE,77,2023-07-07,402.36925612723417,2023-08-07,422.4189292011706,
ASHOKA,381,2023-07-07,82.05,2023-08-07,104.2,
AXISBPSETF,2836,2023-07-07,11.04,2023-08-07,11.1,
BHARATGEAR,239,2023-07-07,130.85,2023-08-07,128.1,
CONTROLPR,47,2023-07-07,652.4,2023-08-07,697.9,
ELGIRUBCO,759,2023-07-07,41.25,2023-08-07,55.45,
AKSHARCHEM,124,2023-08-07,258.45,2023-08-11,238.85,
BFUTILITIE,80,2023-08-07,399.0,2023-08-17,572.1,
AHLEAST,256,2023-08-07,126.0,2023-09-06,149.95,
BLUESTARCO,44,2023-08-07,729.2764206152275,2023-09-06,744.58944140689,
CAMS,70,2023-08-07,455.1714978247767,2023-09-06,476.1748379675997,
CSBBANK,104,2023-08-07,307.4,2023-09-06,330.85,
DECCANCE,64,2023-08-07,500.65,2023-09-06,543.05,
DELHIVERY,77,2023-08-07,413.7,2023-09-06,434.7,
DIVISLAB,8,2023-08-07,3838.087779128741,2023-09-06,3668.626213944412,
