ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
BAJAJHLDNG,3,2023-01-02,5386.887140249351,2023-01-09,5609.4373495426225,
BANARISUG,7,2023-01-02,2810.45,2023-01-09,2800.35,
BRITANNIA,4,2023-01-02,4165.213355034916,2023-01-09,4235.229580834521,
CIPLA,19,2023-01-02,1034.6494875682731,2023-01-09,1050.5902098661177,
ELGIEQUIP,48,2023-01-02,416.3564797202295,2023-01-09,406.63107511706363,
GOODLUCK,52,2023-01-02,378.05,2023-01-09,375.75,
GSS,75,2023-01-02,263.85,2023-01-09,267.05,
COCHINSHIP,82,2023-01-09,242.11235679752457,2023-01-11,230.61418931520487,
FIEMIND,23,2023-01-09,837.175,2023-01-11,778.65,
ADROITINFO,1240,2023-01-09,16.123341800733844,2023-01-16,16.652554332486595,
AKZOINDIA,9,2023-01-09,2169.65,2023-01-16,2231.15,
APOLLOHOSP,4,2023-01-02,4426.505172443276,2023-01-16,4267.80348172764,
ASTERDM,116,2023-01-09,171.1445990646354,2023-01-16,169.24720883110288,
BAJAJHIND,1253,2023-01-09,15.95,2023-01-16,15.8,
DABUR,36,2023-01-02,547.3798945668207,2023-01-16,539.0943828513582,
GESHIP,34,2023-01-09,577.3011898231056,2023-01-16,558.6411297128319,
AXISBANK,21,2023-01-16,910.7320123409762,2023-01-23,930.2302446590687,
BALAXI,35,2023-01-16,563.75,2023-01-23,578.0,
BHARTIARTL,26,2023-01-16,745.2606159941325,2023-01-23,758.5627056295413,
CCL,39,2023-01-16,504.1822818878189,2023-01-23,531.6423403866911,
COALINDIA,116,2023-01-16,170.41359072106857,2023-01-23,183.44873555517134,
CONCOR,36,2023-01-16,540.9201554597518,2023-01-23,534.9290115862293,
CUB,164,2023-01-16,120.81447234282547,2023-01-23,115.73639201151228,
GRANULES,63,2023-01-16,312.1081297023845,2023-01-23,309.7267610446648,
GRASIM,11,2023-01-09,1667.533814201312,2023-01-24,1597.388988364928,
AMBUJACEM,40,2023-01-23,492.4481248638615,2023-01-25,452.25429467641,
ARVINDFASN,60,2023-01-23,329.0,2023-01-25,311.75,
DISHTV,1177,2023-01-23,16.95,2023-01-25,16.2,
DLF,55,2023-01-23,361.8083525655316,2023-01-25,344.6749574365997,
APARINDS,12,2023-01-23,1557.8764454702825,2023-01-27,1488.7357991921522,
CUBEXTUB,593,2023-01-23,33.65,2023-01-27,31.55,
