ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
BIRLACABLE,248,2023-01-02,161.1,2023-01-04,152.35,
GICHSGFIN,171,2023-01-02,232.5992624130487,2023-01-04,218.34459102902375,
DBCORP,303,2023-01-02,131.75,2023-01-05,123.9,
ATULAUTO,137,2023-01-02,291.5,2023-01-06,274.8,
AIAENG,15,2023-01-02,2551.664980242318,2023-01-18,2383.3539064348183,
CORDSCABLE,523,2023-01-02,76.45,2023-01-23,71.85,
GPIL,513,2023-01-02,77.94435272255245,2023-02-07,73.64743306319134,
GRPLTD,72,2023-01-02,550.475,2023-02-07,804.9375,
FORCEMOT,27,2023-01-02,1461.2205934936042,2023-02-10,1337.440641314763,
3MINDIA,1,2023-01-02,21038.107828404256,2023-04-05,22174.793887970525,
DGCONTENT,2434,2023-04-05,16.4,2023-04-11,14.95,
COFORGE,50,2023-04-05,786.4402550681564,2023-04-20,735.2055772430037,
FOCUS,70,2023-04-05,562.85,2023-04-28,771.4,
ELGIEQUIP,86,2023-04-05,462.8498680527113,2023-05-12,426.62769784704244,
APTECHT,104,2023-04-05,381.1,2023-05-26,558.6,
FOODSIN,312,2023-04-05,127.7,2023-06-01,171.75,
APOLLO,1358,2023-04-05,29.390000000000004,2023-06-15,40.25,
COHANCE,85,2023-04-05,468.35,2023-07-07,482.8,
GANECOS,43,2023-04-05,924.55,2023-07-07,1017.85,
GENUSPAPER,2409,2023-07-07,17.5,2023-07-10,16.6,
BHARATGEAR,322,2023-07-07,130.85,2023-08-10,123.95,
DEEPINDS,214,2023-07-07,196.8,2023-08-11,262.7,
CEATLTD,17,2023-07-07,2390.398362877348,2023-08-14,2235.5591560484754,
GIPCL,383,2023-07-07,109.95,2023-10-05,145.55,
AXISBPSETF,3820,2023-07-07,11.04,2023-10-09,11.21,
BBOX,241,2023-07-07,174.95,2023-10-09,208.7,
COASTCORP,869,2023-07-07,48.52,2023-10-09,50.580000000000005,
ERIS,59,2023-07-07,713.9437045917992,2023-10-09,870.8065868363921,
ARROWGREEN,105,2023-10-09,415.4,2023-10-10,387.0,
DBSTOCKBRO,1251,2023-10-09,34.95,2023-10-11,32.55,
AHLADA,344,2023-10-09,127.05,2023-10-12,119.6,
EIMCOELECO,40,2023-10-09,1091.2,2023-10-17,1528.35,
GRWRHITECH,29,2023-10-09,1505.95,2023-10-19,1422.2,
ADVANIHOTR,428,2023-10-09,102.05,2023-10-23,94.7,
GODREJIND,64,2023-10-09,678.25,2023-10-23,617.75,
CARERATING,46,2023-10-09,934.1429848078641,2023-10-26,883.9650282990765,
DHARMAJ,187,2023-10-09,232.8,2024-01-09,264.85,
BANARBEADS,409,2024-01-09,106.9,2024-01-12,101.3,
DCW,698,2024-01-09,62.7,2024-01-23,59.5,
AYMSYNTEX,530,2024-01-09,82.5,2024-02-07,77.85,
GATEWAY,397,2024-01-09,110.25,2024-02-28,103.2,
GOLDTECH,434,2023-07-07,97.1,2024-03-04,148.4,
CGCL,205,2024-01-09,212.86078681352484,2024-03-05,288.73900034380466,
BALPHARMA,388,2024-01-09,112.85,2024-03-06,106.6,
BORORENEW,86,2024-01-09,508.6,2024-04-10,533.5,
EMKAY,253,2024-04-10,176.9,2024-04-12,163.4,
DATAPATTNS,14,2024-04-10,2998.0048468325194,2024-04-15,2828.363834298913,
GMDCLTD,114,2024-04-10,392.0646250028309,2024-04-15,372.03107892036917,
BHARATWIRE,129,2024-01-09,338.3,2024-04-22,304.45,
AARTISURF,66,2024-04-10,675.25,2024-04-23,635.95,
AARTIIND,61,2024-04-10,733.275242554886,2024-05-09,662.4625162450016,
GROBTEA,47,2024-04-10,946.95,2024-05-13,893.4,
DNAMEDIA,9507,2023-10-09,4.6,2024-05-27,4.3,
ELDEHSG,45,2024-04-10,988.0,2024-06-04,900.55,
BHARATRAS,19,2024-04-10,2355.1625,2024-06-13,3125.225,
GPIL,280,2024-04-10,159.83858868662728,2024-06-14,213.60319757781224,
BSOFT,62,2024-07-12,717.8571829693947,2024-07-31,662.279245815896,
AEGISLOG,53,2024-07-12,836.9658448393006,2024-08-01,760.5272191800987,
3PLAND,1438,2024-01-09,30.45,2024-08-08,46.84,
EIDPARRY,71,2024-04-10,627.7,2024-08-30,829.4,
AEROFLEX,223,2024-10-14,206.2,2024-10-21,190.3,
APTUS,121,2024-10-14,378.0950159961536,2024-10-21,352.2353158131753,
ASHOKA,178,2024-10-14,258.12,2024-10-21,238.94,
CDSL,29,2024-10-14,1566.5274521221531,2024-10-22,1449.035413431677,
CREATIVEYE,6183,2024-10-14,7.44,2024-10-22,9.96,
DHUNINV,19,2024-10-14,2395.55,2024-10-22,2250.6,
FINPIPE,145,2024-10-14,316.05,2024-10-22,297.4,
GANECOS,20,2024-10-14,2277.15,2024-10-23,2130.25,
DODLA,35,2024-10-14,1312.890291850697,2024-10-29,1186.5895687191478,
DBSTOCKBRO,941,2024-10-14,48.88,2024-11-06,45.26,
DEVYANI,234,2025-01-15,193.29,2025-01-20,183.58,
EIFFL,241,2025-01-15,188.01,2025-01-23,175.57,
360ONE,38,2025-01-15,1173.3584458432656,2025-01-24,1108.4203878199319,
ERIS,35,2025-01-15,1286.0580440267597,2025-01-24,1189.428134850866,
ECLERX,28,2025-01-15,1607.0229929973739,2025-01-27,1497.5253845191946,
GLENMARK,30,2025-01-15,1473.635364184343,2025-01-27,1396.9734059934026,
APOLLOHOSP,6,2025-01-15,6665.007661344691,2025-02-11,6292.009855181434,
GARFIBRES,58,2025-01-15,781.55,2025-02-13,735.8,
CUBEXTUB,383,2025-01-15,118.14,2025-03-25,84.98,
AAVAS,20,2025-04-21,2166.3,2025-04-25,2038.1,
AIIL,121,2025-04-21,364.555113139026,2025-04-25,344.8397038830431,
BALAJITELE,515,2025-04-21,85.61,2025-04-25,77.05,
DCM,404,2025-04-21,109.05,2025-04-29,102.7,
E2E,244,2025-04-21,180.80000000000004,2025-04-29,242.26000000000005,
CHOLAHLDNG,22,2025-04-21,1957.1512422524765,2025-05-02,1811.3517190231496,
FEDERALBNK,219,2025-04-21,200.82429524143808,2025-05-02,188.53866720152436,
AXISBANK,36,2025-04-21,1221.9556826914866,2025-05-06,1160.4082828110324,
GAIL,234,2025-04-21,188.39569025064904,2025-05-08,177.73742495641562,
FORCEMOT,4,2025-04-21,9279.014263685427,2025-05-29,12318.803172155523,
GLFL,7423,2024-01-09,5.9,2025-06-10,4.43,
BHAGYANGR,409,2025-07-18,106.41,2025-07-21,100.95,
BOROSCI,242,2025-07-18,179.59,2025-07-25,170.39,
20MICRONS,164,2025-07-18,264.99,2025-07-28,239.47,
GMDCLTD,102,2025-07-18,427.27274055139674,2025-07-29,403.5190067555231,
ATUL,6,2025-07-18,6941.5,2025-08-01,6491.5,
BALMLAWRIE,198,2025-07-18,219.91,2025-08-01,208.15,
ELGIEQUIP,79,2025-07-18,548.95,2025-08-08,512.25,
DYNPRO,122,2025-07-18,355.4,2025-09-25,335.85,
EVEREADY,111,2025-07-18,390.0,2025-10-07,368.95,
CEATLTD,10,2025-10-20,4203.9,2025-11-06,3970.6,
GHCL,65,2025-10-20,649.0,2025-11-06,611.0,
CHENNPETRO,55,2025-10-20,769.7520484354277,2025-11-11,1024.4344623471043,
GFLLIMITED,603,2025-10-20,70.61,2025-11-13,60.45,
BHAGERIA,225,2025-10-20,188.58,2025-12-01,174.97,
ACUTAAS,24,2025-10-20,1763.6,2025-12-08,1651.0,
ABDL,73,2025-10-20,575.9133375725299,2026-01-06,546.6170058024004,
AUBANK,49,2025-10-20,865.2,2026-01-22,1000.55,
CANFINHOME,51,2025-10-20,824.4529159067096,2026-01-22,904.228045325779,
AVANTIFEED,55,2026-01-22,778.1,2026-02-09,1103.8,
ABCAPITAL,121,2026-01-22,354.5,2026-02-13,336.2,
BBTCL,220,2026-01-22,195.94,2026-02-17,183.33,
AXISCADES,39,2026-01-22,1101.2,2026-02-18,1473.3,
FEDERALBNK,187,2025-10-20,227.08,2026-02-27,299.85,
DALBHARAT,20,2026-01-22,2137.435900882473,2026-02-27,1987.176260884811,
360ONE,39,2026-01-22,1099.9150442477876,2026-03-09,1029.1259715275105,
BANKINDIA,267,2026-01-22,161.155693877551,2026-03-09,146.50429591836732,
GRASIM,15,2026-01-22,2787.6,2026-03-13,2568.6,
APLAPOLLO,21,2026-01-22,1976.0,2026-04-28,1976.0,
CUB,211,2026-04-28,206.73749999999998,2026-05-08,195.26250000000002,
ATGL,67,2026-04-28,653.6217482371012,2026-05-11,620.2833903511835,
EMIL,357,2026-04-28,122.75,2026-05-12,113.53,
BBOX,68,2026-04-28,639.85,2026-05-14,853.1,
ADVENZYMES,128,2026-04-28,342.0,2026-06-29,321.1,
GAYAHWS,19740,2026-04-28,2.22,2026-06-29,2.03,
