ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
BIRLACABLE,248,2023-01-02,161.1,2023-01-05,148.85,
GICHSGFIN,171,2023-01-02,232.5992624130487,2023-01-06,206.61975893499638,
CORDSCABLE,523,2023-01-02,76.45,2023-01-24,69.2,
DBCORP,303,2023-01-02,131.75,2023-01-30,120.45,
GRPLTD,72,2023-01-02,550.475,2023-02-07,804.9375,
FORCEMOT,27,2023-01-02,1461.2205934936042,2023-02-10,1337.440641314763,
GPIL,513,2023-01-02,77.94435272255245,2023-02-13,71.15974273408756,
3MINDIA,1,2023-01-02,21038.107828404256,2023-04-05,22174.793887970525,
AIAENG,15,2023-01-02,2551.664980242318,2023-04-05,2927.625522527281,
ATULAUTO,137,2023-01-02,291.5,2023-04-05,401.4,
DGCONTENT,2481,2023-04-05,16.4,2023-04-11,14.95,
FOCUS,72,2023-04-05,562.85,2023-04-28,771.4,
ELGIEQUIP,87,2023-04-05,462.8498680527113,2023-05-12,426.62769784704244,
APTECHT,106,2023-04-05,381.1,2023-05-26,558.6,
FOODSIN,318,2023-04-05,127.7,2023-06-02,173.35,
APOLLO,1384,2023-04-05,29.390000000000004,2023-06-15,40.25,
COFORGE,51,2023-04-05,786.4402550681564,2023-07-07,908.7016694346612,
COHANCE,86,2023-04-05,468.35,2023-07-07,482.8,
GANECOS,44,2023-04-05,924.55,2023-07-07,1017.85,
GENUSPAPER,2477,2023-07-07,17.5,2023-07-14,16.15,
BHARATGEAR,331,2023-07-07,130.85,2023-08-11,120.6,
DEEPINDS,220,2023-07-07,196.8,2023-08-18,268.55,
CEATLTD,18,2023-07-07,2390.398362877348,2023-09-07,2198.558232343687,
GIPCL,394,2023-07-07,109.95,2023-10-06,153.5,
AXISBPSETF,3927,2023-07-07,11.04,2023-10-09,11.21,
BBOX,247,2023-07-07,174.95,2023-10-09,208.7,
COASTCORP,893,2023-07-07,48.52,2023-10-09,50.580000000000005,
ERIS,60,2023-07-07,713.9437045917992,2023-10-09,870.8065868363921,
ARROWGREEN,108,2023-10-09,415.4,2023-10-11,372.75,
AHLADA,354,2023-10-09,127.05,2023-10-16,113.2,
EIMCOELECO,41,2023-10-09,1091.2,2023-10-17,1528.35,
GODREJIND,66,2023-10-09,678.25,2023-10-23,617.75,
GRWRHITECH,29,2023-10-09,1505.95,2023-10-23,1334.7,
CARERATING,48,2023-10-09,934.1429848078641,2023-11-01,844.7449061662198,
ADVANIHOTR,441,2023-10-09,102.05,2024-01-09,109.4,
DHARMAJ,193,2023-10-09,232.8,2024-01-09,264.85,
BANARBEADS,422,2024-01-09,106.9,2024-01-16,98.5,
AYMSYNTEX,547,2024-01-09,82.5,2024-02-09,76.25,
DCW,719,2024-01-09,62.7,2024-02-14,57.15,
DBSTOCKBRO,1287,2023-10-09,34.95,2024-02-15,48.3,
GOLDTECH,446,2023-07-07,97.1,2024-03-04,148.4,
CGCL,212,2024-01-09,212.86078681352484,2024-03-05,288.73900034380466,
BALPHARMA,399,2024-01-09,112.85,2024-03-12,100.3,
GATEWAY,409,2024-01-09,110.25,2024-03-12,101.8,
BORORENEW,88,2024-01-09,508.6,2024-04-10,533.5,
EMKAY,263,2024-04-10,176.9,2024-04-12,163.4,
DATAPATTNS,15,2024-04-10,2998.0048468325194,2024-04-18,2729.161479041236,
BHARATWIRE,133,2024-01-09,338.3,2024-04-22,304.45,
AARTIIND,63,2024-04-10,733.275242554886,2024-05-09,662.4625162450016,
DNAMEDIA,9785,2023-10-09,4.6,2024-05-28,4.15,
ELDEHSG,47,2024-04-10,988.0,2024-06-04,900.55,
GMDCLTD,118,2024-04-10,392.0646250028309,2024-06-04,332.92024193837943,
GROBTEA,49,2024-04-10,946.95,2024-06-04,818.55,
GPIL,291,2024-04-10,159.83858868662728,2024-06-19,219.9191284326412,
BSOFT,63,2024-07-12,717.8571829693947,2024-07-31,662.279245815896,
AEGISLOG,54,2024-07-12,836.9658448393006,2024-08-01,760.5272191800987,
AARTISURF,69,2024-04-10,675.25,2024-08-05,617.95,
3PLAND,1482,2024-01-09,30.45,2024-08-08,46.84,
BHARATRAS,19,2024-04-10,2355.1625,2024-08-09,3203.7875,
EIDPARRY,74,2024-04-10,627.7,2024-09-30,857.75,
AEROFLEX,230,2024-10-14,206.2,2024-10-21,190.3,
APTUS,125,2024-10-14,378.0950159961536,2024-10-22,341.0763457529783,
ASHOKA,184,2024-10-14,258.12,2024-10-22,229.73,
CDSL,30,2024-10-14,1566.5274521221531,2024-10-22,1449.035413431677,
CREATIVEYE,6387,2024-10-14,7.44,2024-10-23,10.45,
DHUNINV,19,2024-10-14,2395.55,2024-10-23,2207.1,
GANECOS,20,2024-10-14,2277.15,2024-10-24,2085.0,
FINPIPE,150,2024-10-14,316.05,2024-10-25,284.0,
DODLA,36,2024-10-14,1312.890291850697,2024-10-29,1186.5895687191478,
DBSTOCKBRO,972,2024-10-14,48.88,2024-11-08,45.0,
DEVYANI,241,2025-01-15,193.29,2025-01-23,178.28,
ERIS,36,2025-01-15,1286.0580440267597,2025-01-24,1189.428134850866,
360ONE,39,2025-01-15,1173.3584458432656,2025-01-27,1058.4264400457225,
GLENMARK,31,2025-01-15,1473.635364184343,2025-02-14,1319.8126712364833,
GARFIBRES,59,2025-01-15,781.55,2025-02-18,706.7,
ECLERX,29,2025-01-15,1607.0229929973739,2025-02-27,1475.1059928723269,
APOLLOHOSP,7,2025-01-15,6665.007661344691,2025-02-28,6036.848174078645,
CUBEXTUB,395,2025-01-15,118.14,2025-03-25,84.98,
EIFFL,248,2025-01-15,188.01,2025-04-21,184.65,
BALAJITELE,527,2025-04-21,85.61,2025-04-25,77.05,
AAVAS,20,2025-04-21,2166.3,2025-04-28,1991.5,
DCM,414,2025-04-21,109.05,2025-04-30,99.32,
E2E,249,2025-04-21,180.80000000000004,2025-05-02,252.14000000000007,
FEDERALBNK,224,2025-04-21,200.82429524143808,2025-05-08,185.6064177907035,
CHOLAHLDNG,23,2025-04-21,1957.1512422524765,2025-05-09,1716.816867086931,
FORCEMOT,4,2025-04-21,9279.014263685427,2025-05-30,12621.63459632118,
AIIL,123,2025-04-21,364.555113139026,2025-06-03,494.72,
GLFL,7650,2024-01-09,5.9,2025-06-10,4.43,
GAIL,239,2025-04-21,188.39569025064904,2025-06-19,174.01426622014947,
AXISBANK,36,2025-04-21,1221.9556826914866,2025-07-18,1099.3,
20MICRONS,170,2025-07-18,264.99,2025-07-28,239.47,
BOROSCI,251,2025-07-18,179.59,2025-07-28,162.19,
GMDCLTD,105,2025-07-18,427.27274055139674,2025-07-31,386.53803176921673,
ELGIEQUIP,82,2025-07-18,548.95,2025-08-13,500.3,
ATUL,6,2025-07-18,6941.5,2025-08-14,6349.0,
DYNPRO,126,2025-07-18,355.4,2025-10-08,320.8,
BALMLAWRIE,205,2025-07-18,219.91,2025-10-13,200.72,
EVEREADY,115,2025-07-18,390.0,2025-10-14,355.2,
GFLLIMITED,619,2025-10-20,70.61,2025-11-13,60.45,
BHAGYANGR,424,2025-07-18,106.41,2025-11-14,153.67,
CHENNPETRO,56,2025-10-20,769.7520484354277,2025-11-17,1067.3445301370537,
