ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
BIRLACABLE,248,2023-01-02,161.1,2023-01-05,148.85,
GICHSGFIN,171,2023-01-02,232.5992624130487,2023-01-06,206.61975893499638,
AVROIND,2581,2023-01-02,15.495000000000001,2023-01-10,13.615000000000004,
DUCON,3112,2023-01-02,12.85,2023-01-10,11.2,
CORDSCABLE,523,2023-01-02,76.45,2023-01-24,69.2,
BANG,802,2023-01-02,49.85,2023-01-27,45.1,
CSLFINANCE,155,2023-01-02,257.7,2023-01-30,237.4,
DBCORP,303,2023-01-02,131.75,2023-01-30,120.45,
DYCL,380,2023-01-02,105.225,2023-02-08,89.9,
GNA,115,2023-01-02,347.03757264855886,2023-04-05,398.3696447633733,
AJOONI,6905,2023-04-05,5.6,2023-04-06,5.1,
DGCONTENT,2358,2023-04-05,16.4,2023-04-11,14.95,
3IINFOLTD,1084,2023-04-05,35.65,2023-04-17,31.4,
ASAL,113,2023-04-05,341.25,2023-04-17,311.05,
ATULAUTO,96,2023-04-05,401.4,2023-04-25,370.85,
AXITA,631,2023-04-05,61.2,2023-05-02,52.0,
CAPACITE,294,2023-04-05,131.5,2023-06-05,183.1,
AARVI,297,2023-04-05,129.9,2023-07-07,134.45,
GANECOS,41,2023-04-05,924.55,2023-07-07,1017.85,
GENUSPAPER,2199,2023-07-07,17.5,2023-07-14,16.15,
AVALON,61,2023-07-07,627.15,2023-08-02,576.85,
BHARATGEAR,294,2023-07-07,130.85,2023-08-11,120.6,
DEEPINDS,195,2023-07-07,196.8,2023-08-18,268.55,
AUTOIND,531,2023-07-07,72.45,2023-08-22,100.25,
GIPCL,350,2023-07-07,109.95,2023-10-06,153.5,
BBOX,219,2023-07-07,174.95,2023-10-09,208.7,
COASTCORP,793,2023-07-07,48.52,2023-10-09,50.580000000000005,
ERIS,53,2023-07-07,713.9437045917992,2023-10-09,870.8065868363921,
GRANULES,124,2023-07-07,309.47870180948564,2023-10-09,354.7155745199634,
ARROWGREEN,98,2023-10-09,415.4,2023-10-11,372.75,
ARCHIDPLY,616,2023-04-05,62.7,2023-10-17,90.45,
EIMCOELECO,37,2023-10-09,1091.2,2023-10-17,1528.35,
BBTCL,153,2023-10-09,267.3,2023-10-23,246.2,
BHAGCHEM,260,2023-10-09,157.17000000000004,2023-10-25,141.99500000000003,
CARERATING,43,2023-10-09,934.1429848078641,2023-11-01,844.7449061662198,
ADVANIHOTR,401,2023-10-09,102.05,2024-01-09,109.4,
CRISIL,10,2023-10-09,3777.5389714560706,2024-01-09,3973.5786920415944,
DHARMAJ,175,2023-10-09,232.8,2024-01-09,264.85,
BANARBEADS,391,2024-01-09,106.9,2024-01-16,98.5,
AYMSYNTEX,506,2024-01-09,82.5,2024-02-09,76.25,
BASML,784,2024-01-09,53.3,2024-02-12,47.25,
DCW,667,2024-01-09,62.7,2024-02-14,57.15,
DBSTOCKBRO,1171,2023-10-09,34.95,2024-02-15,48.3,
BIGBLOC,243,2024-01-09,172.05,2024-02-21,253.55,
FILATEX,795,2024-01-09,52.55,2024-02-26,71.2,
APOLSINHOT,20,2024-01-09,1996.65,2024-03-12,1772.9,
ASHOKA,258,2024-01-09,161.85,2024-03-13,146.0,
BORORENEW,82,2024-01-09,508.6,2024-04-10,533.5,
EMKAY,242,2024-04-10,176.9,2024-04-12,163.4,
GANGESSECU,284,2024-04-10,150.8,2024-04-15,134.65,
DATAPATTNS,14,2024-04-10,2998.0048468325194,2024-04-18,2729.161479041236,
ACUTAAS,135,2024-04-10,317.1067494721198,2024-05-07,288.56375944151455,
FOODSIN,263,2024-04-10,162.7,2024-05-07,149.95,
DNAMEDIA,8899,2023-10-09,4.6,2024-05-28,4.15,
ELDEHSG,43,2024-04-10,988.0,2024-06-04,900.55,
GMDCLTD,109,2024-04-10,392.0646250028309,2024-06-04,332.92024193837943,
GPIL,268,2024-04-10,159.83858868662728,2024-06-19,219.9191284326412,
BSOFT,58,2024-07-12,717.8571829693947,2024-07-31,662.279245815896,
3PLAND,1373,2024-01-09,30.45,2024-08-08,46.84,
BHARATRAS,18,2024-04-10,2355.1625,2024-08-09,3203.7875,
EIDPARRY,68,2024-04-10,627.7,2024-09-30,857.75,
DELTAMAGNT,411,2024-10-14,107.26,2024-10-16,98.78,
63MOONS,89,2024-10-14,494.1,2024-10-22,443.4,
APTUS,116,2024-10-14,378.0950159961536,2024-10-22,341.0763457529783,
ASHOKA,171,2024-10-14,258.12,2024-10-22,229.73,
CREATIVEYE,5934,2024-10-14,7.44,2024-10-23,10.45,
GANECOS,19,2024-10-14,2277.15,2024-10-24,2085.0,
FINPIPE,139,2024-10-14,316.05,2024-10-25,284.0,
ESABINDIA,6,2024-10-14,6463.0,2024-11-12,5972.2,
AKSHOPTFBR,4411,2024-10-14,10.01,2024-12-12,13.85,
ASHOKAMET,1377,2024-10-14,32.05,2025-01-20,22.44,
ADANIPOWER,403,2025-01-15,109.89000000000001,2025-01-27,99.38,
BSE,23,2025-01-15,1922.60292073907,2025-01-28,1713.5123766887657,
AARTIIND,103,2025-01-15,428.60735176814677,2025-02-27,394.7974873703802,
CUBEXTUB,375,2025-01-15,118.14,2025-03-25,84.98,
BSHSL,274,2025-04-21,156.13,2025-04-23,141.15,
GNA,115,2025-04-21,371.48732653303284,2025-04-23,341.20438263551176,
AMBICAAGAR,1389,2025-04-21,30.79,2025-04-25,28.38,
DENTA,130,2025-04-21,328.2,2025-04-25,294.45,
ARKADE,249,2025-04-21,171.77,2025-04-30,158.51,
CSLFINANCE,124,2025-04-21,342.95,2025-05-02,312.15,
ARMANFIN,25,2025-04-21,1649.7,2025-05-06,1458.3,
DBCORP,170,2025-04-21,250.53,2025-05-08,223.33,
FUSION,258,2025-04-21,165.47,2025-05-09,152.73,
APTUS,131,2025-04-21,326.34737355006206,2025-07-18,345.1427772228545,
BOROSCI,230,2025-07-18,179.59,2025-07-28,162.19,
CHEMPLASTS,90,2025-07-18,455.8,2025-07-31,416.85,
GMDCLTD,96,2025-07-18,427.27274055139674,2025-07-31,386.53803176921673,
CEWATER,67,2025-07-18,617.1,2025-08-06,567.95,
EMSLIMITED,65,2025-07-18,634.0,2025-08-08,580.75,
CAPITALSFB,133,2025-07-18,309.1,2025-09-02,281.9,
CUPID,282,2025-07-18,146.77,2025-09-10,202.68,
GARUDA,245,2025-07-18,168.68,2025-10-20,196.52,
GSLSU,380,2025-10-20,108.92,2025-10-28,100.06,
AARTECH,699,2025-10-20,59.16,2025-11-04,54.51,
GFLLIMITED,586,2025-10-20,70.61,2025-11-13,60.45,
BHAGYANGR,389,2025-07-18,106.41,2025-11-14,153.67,
CEATLTD,9,2025-10-20,4203.9,2025-11-18,3885.6,
BHARATRAS,16,2025-10-20,2531.125,2025-12-17,2314.0,
AUBANK,47,2025-10-20,865.2,2026-01-22,1000.55,
CANFINHOME,50,2025-10-20,824.4529159067096,2026-01-22,904.228045325779,
CENTRALBK,1097,2025-10-20,37.72657790771125,2026-01-22,36.403866809881855,
DCBBANK,285,2025-10-20,144.78,2026-01-22,188.79,
CREDITACC,29,2026-01-22,1449.8,2026-01-28,1292.3,
