ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
GICHSGFIN,171,2023-01-02,232.5992624130487,2023-01-04,218.34459102902375,
AVROIND,2581,2023-01-02,15.495000000000001,2023-01-05,14.695000000000002,
DBCORP,303,2023-01-02,131.75,2023-01-05,123.9,
DUCON,3112,2023-01-02,12.85,2023-01-05,12.2,
CSLFINANCE,155,2023-01-02,257.7,2023-01-06,240.15,
CORDSCABLE,523,2023-01-02,76.45,2023-01-23,71.85,
DYCL,380,2023-01-02,105.225,2023-01-30,98.975,
GPIL,513,2023-01-02,77.94435272255245,2023-02-03,75.515659002044,
GRPLTD,72,2023-01-02,550.475,2023-02-07,804.9375,
APOLLO,1308,2023-01-02,30.565000000000005,2023-03-01,30.710000000000008,
AJOONI,7137,2023-04-05,5.6,2023-04-06,5.1,
ASAL,117,2023-04-05,341.25,2023-04-10,319.15,
3IINFOLTD,1121,2023-04-05,35.65,2023-04-11,33.85,
DGCONTENT,2437,2023-04-05,16.4,2023-04-11,14.95,
ATULAUTO,99,2023-04-05,401.4,2023-04-25,370.85,
AXITA,653,2023-04-05,61.2,2023-04-27,81.25,
GMBREW,68,2023-04-05,585.65,2023-05-24,555.8,
AARVI,307,2023-04-05,129.9,2023-07-07,134.45,
BBTC,46,2023-04-05,860.0002825616565,2023-07-07,1092.5428672392607,
GANECOS,43,2023-04-05,924.55,2023-07-07,1017.85,
GENUSPAPER,2308,2023-07-07,17.5,2023-07-10,16.6,
AUTOIND,557,2023-07-07,72.45,2023-07-11,68.55,
AVALON,64,2023-07-07,627.15,2023-07-26,588.05,
BHARATGEAR,308,2023-07-07,130.85,2023-08-10,123.95,
DEEPINDS,205,2023-07-07,196.8,2023-08-11,262.7,
GIPCL,367,2023-07-07,109.95,2023-10-05,145.55,
BBOX,230,2023-07-07,174.95,2023-10-09,208.7,
COASTCORP,832,2023-07-07,48.52,2023-10-09,50.580000000000005,
ERIS,56,2023-07-07,713.9437045917992,2023-10-09,870.8065868363921,
ARROWGREEN,100,2023-10-09,415.4,2023-10-10,387.0,
DBSTOCKBRO,1195,2023-10-09,34.95,2023-10-11,32.55,
ANANDRATHI,89,2023-10-09,465.6876052916938,2023-10-17,439.91599346506496,
EIMCOELECO,38,2023-10-09,1091.2,2023-10-17,1528.35,
ADVANIHOTR,409,2023-10-09,102.05,2023-10-23,94.7,
BHAGCHEM,265,2023-10-09,157.17000000000004,2023-10-23,146.55000000000004,
CARERATING,44,2023-10-09,934.1429848078641,2023-10-26,883.9650282990765,
CONSOFINVT,261,2023-10-09,159.95,2023-11-24,214.8,
DHARMAJ,179,2023-10-09,232.8,2024-01-09,264.85,
BANARBEADS,398,2024-01-09,106.9,2024-01-12,101.3,
BALAJITELE,451,2024-01-09,94.2,2024-01-18,88.7,
DCW,678,2024-01-09,62.7,2024-01-23,59.5,
GATEWAY,385,2024-01-09,110.25,2024-02-05,109.7,
AYMSYNTEX,515,2024-01-09,82.5,2024-02-07,77.85,
GOLDTECH,416,2023-07-07,97.1,2024-03-04,148.4,
FINOPB,142,2024-01-09,297.55,2024-03-04,307.05,
BORORENEW,83,2024-01-09,508.6,2024-03-05,559.65,
EMKAY,244,2024-04-10,176.9,2024-04-12,163.4,
DATAPATTNS,14,2024-04-10,2998.0048468325194,2024-04-15,2828.363834298913,
GMDCLTD,110,2024-04-10,392.0646250028309,2024-04-15,372.03107892036917,
BHARATWIRE,125,2024-01-09,338.3,2024-04-22,304.45,
AARTISURF,63,2024-04-10,675.25,2024-04-22,670.8,
EIDPARRY,68,2024-04-10,627.7,2024-05-02,623.15,
FOODSIN,265,2024-04-10,162.7,2024-05-02,154.5,
AARTIIND,58,2024-04-10,733.275242554886,2024-05-09,662.4625162450016,
3PLAND,1397,2024-01-09,30.45,2024-05-22,30.75,
DNAMEDIA,9083,2023-10-09,4.6,2024-05-27,4.3,
ELDEHSG,43,2024-04-10,988.0,2024-06-04,900.55,
BHARATRAS,18,2024-04-10,2355.1625,2024-06-13,3125.225,
GPIL,270,2024-04-10,159.83858868662728,2024-06-14,213.60319757781224,
BSOFT,60,2024-07-12,717.8571829693947,2024-07-31,662.279245815896,
BANKA,316,2024-10-14,136.11,2024-10-15,129.3,
ASHOKAMET,1344,2024-10-14,32.05,2024-10-16,30.12,
AEROFLEX,209,2024-10-14,206.2,2024-10-21,190.3,
APTUS,113,2024-10-14,378.0950159961536,2024-10-21,352.2353158131753,
BOMDYEING,181,2024-10-14,237.96,2024-10-22,224.08,
CDSL,27,2024-10-14,1566.5274521221531,2024-10-22,1449.035413431677,
CREATIVEYE,5792,2024-10-14,7.44,2024-10-22,9.96,
FINPIPE,136,2024-10-14,316.05,2024-10-22,297.4,
GANECOS,18,2024-10-14,2277.15,2024-10-23,2130.25,
DODLA,32,2024-10-14,1312.890291850697,2024-10-29,1186.5895687191478,
CUBEXTUB,360,2025-01-15,118.14,2025-03-25,84.98,
GNA,113,2025-04-21,371.48732653303284,2025-04-22,345.3248487723876,
AAVAS,19,2025-04-21,2166.3,2025-04-25,2038.1,
GPPL,279,2025-04-21,151.13,2025-04-25,141.34,
CHOLAHLDNG,21,2025-04-21,1957.1512422524765,2025-05-02,1811.3517190231496,
