ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
GICHSGFIN,171,2023-01-02,232.5992624130487,2023-01-06,206.61975893499638,
AVROIND,2581,2023-01-02,15.495000000000001,2023-01-10,13.615000000000004,
DUCON,3112,2023-01-02,12.85,2023-01-10,11.2,
CORDSCABLE,523,2023-01-02,76.45,2023-01-24,69.2,
CSLFINANCE,155,2023-01-02,257.7,2023-01-30,237.4,
DBCORP,303,2023-01-02,131.75,2023-01-30,120.45,
GRPLTD,72,2023-01-02,550.475,2023-02-07,804.9375,
DYCL,380,2023-01-02,105.225,2023-02-08,89.9,
GPIL,513,2023-01-02,77.94435272255245,2023-02-13,71.15974273408756,
APOLLO,1308,2023-01-02,30.565000000000005,2023-03-20,27.310000000000006,
AJOONI,6988,2023-04-05,5.6,2023-04-06,5.1,
DGCONTENT,2386,2023-04-05,16.4,2023-04-11,14.95,
3IINFOLTD,1097,2023-04-05,35.65,2023-04-17,31.4,
ASAL,114,2023-04-05,341.25,2023-04-17,311.05,
ATULAUTO,97,2023-04-05,401.4,2023-04-25,370.85,
AXITA,639,2023-04-05,61.2,2023-05-02,52.0,
AARVI,301,2023-04-05,129.9,2023-07-07,134.45,
BBTC,45,2023-04-05,860.0002825616565,2023-07-07,1092.5428672392607,
GANECOS,42,2023-04-05,924.55,2023-07-07,1017.85,
GMBREW,66,2023-04-05,585.65,2023-07-07,586.8,
GENUSPAPER,2214,2023-07-07,17.5,2023-07-14,16.15,
AVALON,61,2023-07-07,627.15,2023-08-02,576.85,
BHARATGEAR,296,2023-07-07,130.85,2023-08-11,120.6,
DEEPINDS,196,2023-07-07,196.8,2023-08-18,268.55,
AUTOIND,534,2023-07-07,72.45,2023-08-22,100.25,
GIPCL,352,2023-07-07,109.95,2023-10-06,153.5,
BBOX,221,2023-07-07,174.95,2023-10-09,208.7,
COASTCORP,798,2023-07-07,48.52,2023-10-09,50.580000000000005,
ERIS,54,2023-07-07,713.9437045917992,2023-10-09,870.8065868363921,
ARROWGREEN,98,2023-10-09,415.4,2023-10-11,372.75,
EIMCOELECO,37,2023-10-09,1091.2,2023-10-17,1528.35,
BHAGCHEM,259,2023-10-09,157.17000000000004,2023-10-25,141.99500000000003,
CARERATING,43,2023-10-09,934.1429848078641,2023-11-01,844.7449061662198,
CONSOFINVT,255,2023-10-09,159.95,2023-11-28,227.1,
ANANDRATHI,87,2023-10-09,465.6876052916938,2023-11-30,641.1800182137719,
ADVANIHOTR,399,2023-10-09,102.05,2024-01-09,109.4,
DHARMAJ,175,2023-10-09,232.8,2024-01-09,264.85,
BANARBEADS,398,2024-01-09,106.9,2024-01-16,98.5,
BALAJITELE,451,2024-01-09,94.2,2024-01-23,82.3,
AYMSYNTEX,515,2024-01-09,82.5,2024-02-09,76.25,
DCW,678,2024-01-09,62.7,2024-02-14,57.15,
DBSTOCKBRO,1167,2023-10-09,34.95,2024-02-15,48.3,
GOLDTECH,399,2023-07-07,97.1,2024-03-04,148.4,
GATEWAY,385,2024-01-09,110.25,2024-03-12,101.8,
BORORENEW,83,2024-01-09,508.6,2024-04-10,533.5,
FINOPB,143,2024-01-09,297.55,2024-04-10,290.95,
EMKAY,244,2024-04-10,176.9,2024-04-12,163.4,
DATAPATTNS,14,2024-04-10,2998.0048468325194,2024-04-18,2729.161479041236,
BHARATWIRE,125,2024-01-09,338.3,2024-04-22,304.45,
FOODSIN,265,2024-04-10,162.7,2024-05-07,149.95,
AARTIIND,58,2024-04-10,733.275242554886,2024-05-09,662.4625162450016,
DNAMEDIA,8869,2023-10-09,4.6,2024-05-28,4.15,
ELDEHSG,43,2024-04-10,988.0,2024-06-04,900.55,
GMDCLTD,110,2024-04-10,392.0646250028309,2024-06-04,332.92024193837943,
GPIL,270,2024-04-10,159.83858868662728,2024-06-19,219.9191284326412,
BSOFT,59,2024-07-12,717.8571829693947,2024-07-31,662.279245815896,
AARTISURF,64,2024-04-10,675.25,2024-08-05,617.95,
3PLAND,1397,2024-01-09,30.45,2024-08-08,46.84,
BHARATRAS,18,2024-04-10,2355.1625,2024-08-09,3203.7875,
EIDPARRY,68,2024-04-10,627.7,2024-09-30,857.75,
BANKA,325,2024-10-14,136.11,2024-10-17,125.17,
AEROFLEX,214,2024-10-14,206.2,2024-10-21,190.3,
APTUS,117,2024-10-14,378.0950159961536,2024-10-22,341.0763457529783,
CDSL,28,2024-10-14,1566.5274521221531,2024-10-22,1449.035413431677,
CREATIVEYE,5958,2024-10-14,7.44,2024-10-23,10.45,
GANECOS,19,2024-10-14,2277.15,2024-10-24,2085.0,
BOMDYEING,186,2024-10-14,237.96,2024-10-25,215.57,
FINPIPE,140,2024-10-14,316.05,2024-10-25,284.0,
DODLA,33,2024-10-14,1312.890291850697,2024-10-29,1186.5895687191478,
ASHOKAMET,1383,2024-10-14,32.05,2025-01-20,22.44,
CUBEXTUB,370,2025-01-15,118.14,2025-03-25,84.98,
GNA,115,2025-04-21,371.48732653303284,2025-04-23,341.20438263551176,
AAVAS,19,2025-04-21,2166.3,2025-04-28,1991.5,
GPPL,283,2025-04-21,151.13,2025-04-28,138.0,
EQUITASBNK,629,2025-04-21,68.18,2025-05-06,61.76,
