ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
AJOONI,4000,2023-01-02,7.5,2023-01-03,6.75,
AVROIND,1936,2023-01-02,15.495000000000001,2023-01-04,14.865000000000004,
BANG,601,2023-01-02,49.85,2023-01-04,47.55,
BIRLACABLE,186,2023-01-02,161.1,2023-01-04,152.35,
DBCORP,227,2023-01-02,131.75,2023-01-04,125.9,
BFUTILITIE,71,2023-01-02,419.1,2023-01-05,395.4,
DUCON,2334,2023-01-02,12.85,2023-01-05,12.2,
CSLFINANCE,116,2023-01-02,257.7,2023-01-06,240.15,
CORDSCABLE,392,2023-01-02,76.45,2023-01-23,71.85,
BROOKS,272,2023-02-01,108.8,2023-02-03,102.65,
EIHOTEL,170,2023-02-01,174.26717847252073,2023-02-03,165.82448245076853,
BORORENEW,58,2023-02-01,509.6,2023-02-06,483.15,
CMSINFO,96,2023-02-01,307.1,2023-02-13,292.15,
GNA,86,2023-01-02,347.03757264855886,2023-02-20,457.6696062151583,
DATAPATTNS,21,2023-02-01,1357.626604566625,2023-02-21,1262.6116854102768,
ARMANFIN,19,2023-02-01,1482.25,2023-02-22,1406.5,
APARINDS,15,2023-02-01,1934.6954529717254,2023-03-02,2312.6576918638198,
CHOLAFIN,39,2023-02-01,745.7768033611762,2023-03-02,747.1958717038086,
CHOLAHLDNG,49,2023-02-01,596.5888647560523,2023-03-02,583.0981617841818,
AHLADA,309,2023-03-02,95.7,2023-03-09,90.5,
AGRITECH,285,2023-03-02,103.7,2023-03-10,99.25,
BIGBLOC,208,2023-03-02,141.95,2023-03-14,133.95,
DENORA,31,2023-03-02,943.5,2023-03-14,899.3,
EASEMYTRIP,589,2023-03-02,50.2,2023-03-14,46.9,
AMBER,15,2023-03-02,1951.05,2023-03-21,1868.85,
BHEL,398,2023-03-02,74.28173190601925,2023-03-24,71.30251805952115,
BHARATWIRE,279,2023-03-02,106.1,2023-03-27,141.9,
ANURAS,42,2023-03-02,704.1616469436061,2023-04-05,885.2844594712037,
