ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
ATULAUTO,102,2023-01-02,291.5,2023-01-12,282.15,
CORDSCABLE,392,2023-01-02,76.45,2023-01-24,69.2,
BIRLACABLE,186,2023-01-02,161.1,2023-01-25,141.85,
FORCEMOT,20,2023-01-02,1461.2205934936042,2023-01-25,1440.764799225207,
DBCORP,227,2023-01-02,131.75,2023-01-27,122.5,
GICHSGFIN,128,2023-01-02,232.5992624130487,2023-01-27,187.93786879347564,
APOLLO,981,2023-01-02,30.565000000000005,2023-02-01,30.550000000000004,
BANKA,374,2023-01-02,80.05,2023-02-01,82.35,
GPIL,384,2023-01-02,77.94435272255245,2023-02-01,76.93157760833232,
GRPLTD,54,2023-01-02,550.475,2023-02-01,673.325,
GENUSPOWER,315,2023-02-01,94.15,2023-02-07,86.7,
ECLERX,40,2023-02-01,732.3145606594367,2023-02-15,702.5572545609929,
ANDHRAPAP,339,2023-02-01,87.61000000000001,2023-02-16,87.66000000000001,
BAJAJHLDNG,5,2023-02-01,5843.275989482108,2023-02-16,5761.42285832827,
DATAPATTNS,21,2023-02-01,1357.626604566625,2023-02-21,1262.6116854102768,
ARE&M,51,2023-02-01,578.3600017674578,2023-02-22,551.3270052219854,
ANUP,54,2023-02-01,543.125,2023-03-02,544.175,
APARINDS,15,2023-02-01,1934.6954529717254,2023-03-02,2312.6576918638198,
CIGNITITEC,48,2023-02-01,612.0,2023-03-02,707.6,
GNA,75,2023-02-01,396.0611908433163,2023-03-02,456.72636697900606,
ANANTRAJ,265,2023-03-02,112.51456768774705,2023-03-09,118.5572941370224,
COALINDIA,164,2023-03-02,182.01817213187383,2023-03-14,180.5479782353633,
ESSARSHPNG,3035,2023-03-02,9.85,2023-03-14,8.85,
BHARATWIRE,281,2023-03-02,106.1,2023-03-15,108.8,
DONEAR,340,2023-03-02,87.75,2023-03-15,84.05,
AGRITECH,288,2023-03-02,103.7,2023-03-16,96.15,
BHEL,402,2023-03-02,74.28173190601925,2023-03-16,75.07618893175207,
DENORA,31,2023-03-02,943.5,2023-03-24,867.25,
ANMOL,868,2023-03-02,34.44,2023-04-05,39.52,
ANURAS,42,2023-03-02,704.1616469436061,2023-04-05,885.2844594712037,
DGCONTENT,1831,2023-04-05,16.4,2023-04-11,14.95,
