ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
CSLFINANCE,155,2023-01-02,257.7,2023-01-16,249.5,
GPIL,513,2023-01-02,77.94435272255245,2023-02-03,75.515659002044,
CORDSCABLE,523,2023-01-02,76.45,2023-02-08,67.85,
APOLLO,1308,2023-01-02,30.565000000000005,2023-03-01,30.710000000000008,
AVROIND,2581,2023-01-02,15.495000000000001,2023-03-20,12.445000000000002,
DBCORP,303,2023-01-02,131.75,2023-04-05,106.3,
DUCON,3112,2023-01-02,12.85,2023-04-05,6.05,
DYCL,380,2023-01-02,105.225,2023-04-05,85.4,
GICHSGFIN,171,2023-01-02,232.5992624130487,2023-04-05,157.09328975773565,
3IINFOLTD,1048,2023-04-05,35.65,2023-04-28,32.85,
ATULAUTO,93,2023-04-05,401.4,2023-05-09,359.0,
AJOONI,6675,2023-04-05,5.6,2023-05-25,4.9,
FOCUS,66,2023-04-05,562.85,2023-06-06,559.7,
AARVI,287,2023-04-05,129.9,2023-07-07,134.45,
APTECHT,98,2023-04-05,381.1,2023-07-07,497.25,
ASAL,109,2023-04-05,341.25,2023-07-07,377.1,
AXITA,610,2023-04-05,61.2,2023-07-07,26.0,
GANECOS,40,2023-04-05,924.55,2023-07-07,1017.85,
GMBREW,63,2023-04-05,585.65,2023-07-07,586.8,
AVALON,58,2023-07-07,627.15,2023-09-01,502.0,
BHARATGEAR,281,2023-07-07,130.85,2023-09-22,122.95,
ACE,62,2023-07-07,593.2844614729672,2023-10-09,691.574797786292,
COASTCORP,758,2023-07-07,48.52,2023-10-09,50.580000000000005,
DEEPINDS,187,2023-07-07,196.8,2023-10-09,288.3,
ERIS,51,2023-07-07,713.9437045917992,2023-10-09,870.8065868363921,
GALLANTT,537,2023-07-07,68.46163585701719,2023-10-09,85.5522038793785,
GIPCL,334,2023-07-07,109.95,2023-10-09,145.9,
ARROWGREEN,92,2023-10-09,415.4,2023-12-01,450.8,
ADVANIHOTR,377,2023-10-09,102.05,2023-12-06,109.7,
BHAGCHEM,245,2023-10-09,157.17000000000004,2023-12-08,155.76500000000004,
ANANDRATHI,82,2023-10-09,465.6876052916938,2024-01-09,687.3879636604627,
CARERATING,41,2023-10-09,934.1429848078641,2024-01-09,955.9099046767948,
CONSOFINVT,240,2023-10-09,159.95,2024-01-09,320.95,
DHARMAJ,165,2023-10-09,232.8,2024-01-09,264.85,
AUTOIND,508,2023-07-07,72.45,2024-02-09,132.35,
DCW,708,2024-01-09,62.7,2024-02-27,59.05,
FINOPB,149,2024-01-09,297.55,2024-03-04,307.05,
BORORENEW,87,2024-01-09,508.6,2024-03-05,559.65,
AYMSYNTEX,538,2024-01-09,82.5,2024-04-10,95.0,
BAJAJ-AUTO,6,2024-01-09,6767.539292798275,2024-04-10,8591.242261416075,
BALAJITELE,471,2024-01-09,94.2,2024-04-10,81.6,
BANARBEADS,415,2024-01-09,106.9,2024-04-10,97.45,
AARTISURF,69,2024-04-10,675.25,2024-04-22,670.8,
EIDPARRY,74,2024-04-10,627.7,2024-05-02,623.15,
DATAPATTNS,15,2024-04-10,2998.0048468325194,2024-05-09,2840.128535726457,
GMDCLTD,97,2024-01-09,457.95060710696515,2024-05-14,391.68212292965745,
GOLDTECH,379,2023-07-07,97.1,2024-05-16,125.4,
3PLAND,1458,2024-01-09,30.45,2024-05-22,30.75,
FOODSIN,289,2024-04-10,162.7,2024-05-22,147.85,
EMKAY,266,2024-04-10,176.9,2024-06-04,142.85,
DNAMEDIA,8378,2023-10-09,4.6,2024-06-12,4.58,
DBSTOCKBRO,1102,2023-10-09,34.95,2024-06-26,47.09,
ELDEHSG,47,2024-04-10,988.0,2024-06-26,1041.6,
BSOFT,59,2024-07-12,717.8571829693947,2024-09-10,628.3639614153484,
GPIL,294,2024-04-10,159.83858868662728,2024-09-17,187.4379773850898,
CDSL,34,2024-10-14,1566.5274521221531,2024-11-04,1509.492481884058,
BOMDYEING,226,2024-10-14,237.96,2024-11-05,231.35,
APTUS,142,2024-10-14,378.0950159961536,2024-11-11,322.7368210453502,
BHARATRAS,19,2024-04-10,2355.1625,2024-11-21,2812.325,
EIMCOELECO,35,2023-10-09,1091.2,2024-11-27,2460.2,
BANKA,396,2024-10-14,136.11,2024-12-03,106.44,
GRPLTD,72,2023-01-02,550.475,2024-12-05,3124.25,
GANECOS,23,2024-10-14,2277.15,2024-12-18,2187.9,
DODLA,41,2024-10-14,1312.890291850697,2025-01-15,1127.546345371092,
ASHOKAMET,1682,2024-10-14,32.05,2025-01-31,21.93,
CREATIVEYE,7245,2024-10-14,7.44,2025-03-21,6.25,
AARTIIND,64,2024-04-10,733.275242554886,2025-04-01,390.10998404679606,
CUBEXTUB,427,2025-01-15,118.14,2025-04-21,83.44,
CHOLAHLDNG,25,2025-04-21,1957.1512422524765,2025-05-06,1884.7011707368754,
GPPL,324,2025-04-21,151.13,2025-05-06,130.85,
GNA,131,2025-04-21,371.48732653303284,2025-05-07,312.7582730399715,
DCM,449,2025-04-21,109.05,2025-05-12,102.76,
FUSION,296,2025-04-21,165.47,2025-05-12,164.93,
DEVYANI,284,2025-04-21,172.12,2025-05-15,178.56,
EQUITASBNK,719,2025-04-21,68.18,2025-05-15,63.4,
AAVAS,22,2025-04-21,2166.3,2025-05-29,1811.4,
DCXINDIA,179,2025-04-21,273.84,2025-06-12,290.95,
FACT,63,2025-04-21,774.4444714090703,2025-07-18,953.5238222357045,
BALMLAWRIE,219,2025-07-18,219.91,2025-08-13,212.88,
EIEL,168,2025-07-18,285.37,2025-08-20,255.55,
BOROSCI,268,2025-07-18,179.59,2025-08-21,141.07,
DYNPRO,135,2025-07-18,355.4,2025-09-23,362.35,
GARUDA,285,2025-07-18,168.68,2025-10-14,189.31,
CUPID,328,2025-07-18,146.77,2025-10-20,251.99,
DENTA,139,2025-07-18,344.65,2025-10-20,420.55,
EVEREADY,123,2025-07-18,390.0,2025-10-20,375.45,
GMDCLTD,112,2025-07-18,427.27274055139674,2025-10-20,578.2,
CENTRALBK,1334,2025-10-20,37.72657790771125,2025-11-21,37.22588960881467,
GHCL,77,2025-10-20,649.0,2025-11-21,595.5,
CEATLTD,11,2025-10-20,4203.9,2025-12-01,3840.6,
AARTECH,851,2025-10-20,59.16,2025-12-02,49.41,
ABDL,87,2025-10-20,575.9133375725299,2025-12-16,618.0980724902631,
ACUTAAS,28,2025-10-20,1763.6,2025-12-18,1631.4,
AUBANK,58,2025-10-20,865.2,2026-01-22,1000.55,
CANFINHOME,61,2025-10-20,824.4529159067096,2026-01-22,904.228045325779,
FEDERALBNK,221,2025-10-20,227.08,2026-01-22,282.2,
GLFL,7529,2024-01-09,5.9,2026-02-24,6.48,
APLAPOLLO,25,2026-01-22,1976.0,2026-04-24,2004.5,
BANKINDIA,312,2026-01-22,161.155693877551,2026-04-28,139.68698979591835,
CUB,253,2026-04-28,206.73749999999998,2026-05-18,186.5625,
EMIL,427,2026-04-28,122.75,2026-06-05,111.44,
