ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
GICHSGFIN,171,2023-01-02,232.5992624130487,2023-01-06,206.61975893499638,
AVROIND,2581,2023-01-02,15.495000000000001,2023-01-10,13.615000000000004,
CORDSCABLE,523,2023-01-02,76.45,2023-01-24,69.2,
BFINVEST,116,2023-01-02,342.89283776451435,2023-01-27,311.04929462832337,
DBCORP,303,2023-01-02,131.75,2023-01-30,120.45,
DYCL,380,2023-01-02,105.225,2023-02-08,89.9,
GPIL,513,2023-01-02,77.94435272255245,2023-02-13,71.15974273408756,
DEEPINDS,269,2023-01-02,148.4,2023-02-22,137.15,
APTECHT,116,2023-01-02,343.15,2023-03-14,312.4,
GNA,115,2023-01-02,347.03757264855886,2023-04-05,398.3696447633733,
ATULAUTO,96,2023-04-05,401.4,2023-04-25,370.85,
FOCUS,68,2023-04-05,562.85,2023-04-28,771.4,
AXITA,632,2023-04-05,61.2,2023-05-02,52.0,
CYIENT,38,2023-04-05,1005.0633456330477,2023-06-02,1390.863531517231,
ANANTRAJ,290,2023-04-05,133.13974143610014,2023-07-03,185.9262030632411,
ALKEM,11,2023-04-05,3316.6548185833226,2023-07-07,3396.389582248807,
APARINDS,14,2023-04-05,2682.7664281592615,2023-07-07,3461.903473744951,
FAZE3Q,118,2023-04-05,326.05,2023-07-07,369.75,
BHARATGEAR,311,2023-07-07,130.85,2023-08-11,120.6,
DEEPINDS,207,2023-07-07,196.8,2023-08-18,268.55,
CEATLTD,17,2023-07-07,2390.398362877348,2023-09-07,2198.558232343687,
GIPCL,370,2023-07-07,109.95,2023-10-06,153.5,
ACE,68,2023-07-07,593.2844614729672,2023-10-09,691.574797786292,
BBOX,233,2023-07-07,174.95,2023-10-09,208.7,
BHARTIARTL,47,2023-07-07,854.524274770589,2023-10-09,911.8036611768515,
CONTROLPR,62,2023-07-07,652.4,2023-10-09,794.45,
ERIS,57,2023-07-07,713.9437045917992,2023-10-09,870.8065868363921,
ARROWGREEN,103,2023-10-09,415.4,2023-10-11,372.75,
AHLADA,339,2023-10-09,127.05,2023-10-16,113.2,
EIMCOELECO,39,2023-10-09,1091.2,2023-10-17,1528.35,
BBTCL,161,2023-10-09,267.3,2023-10-23,246.2,
GODREJIND,63,2023-10-09,678.25,2023-10-23,617.75,
ALKALI,366,2023-10-09,117.45,2023-10-26,107.3,
CARERATING,46,2023-10-09,934.1429848078641,2023-11-01,844.7449061662198,
ADVANIHOTR,422,2023-10-09,102.05,2024-01-09,109.4,
BANARBEADS,401,2024-01-09,106.9,2024-01-16,98.5,
AYMSYNTEX,519,2024-01-09,82.5,2024-02-09,76.25,
BASML,804,2024-01-09,53.3,2024-02-12,47.25,
DCW,683,2024-01-09,62.7,2024-02-14,57.15,
GALAXYSURF,15,2024-01-09,2799.7,2024-02-14,2564.7,
DBSTOCKBRO,1233,2023-10-09,34.95,2024-02-15,48.3,
BIGBLOC,249,2024-01-09,172.05,2024-02-21,253.55,
FILATEX,815,2024-01-09,52.55,2024-02-26,71.2,
GOLDTECH,419,2023-07-07,97.1,2024-03-04,148.4,
APOLSINHOT,21,2024-01-09,1996.65,2024-03-12,1772.9,
ASHOKA,264,2024-01-09,161.85,2024-03-13,146.0,
EMKAY,252,2024-04-10,176.9,2024-04-12,163.4,
GANGESSECU,295,2024-04-10,150.8,2024-04-15,134.65,
DATAPATTNS,14,2024-04-10,2998.0048468325194,2024-04-18,2729.161479041236,
AEGISLOG,97,2024-04-10,456.2109653178097,2024-04-26,627.4421559967101,
AARTIIND,60,2024-04-10,733.275242554886,2024-05-09,662.4625162450016,
DNAMEDIA,9368,2023-10-09,4.6,2024-05-28,4.15,
ELDEHSG,45,2024-04-10,988.0,2024-06-04,900.55,
GPIL,279,2024-04-10,159.83858868662728,2024-06-19,219.9191284326412,
360ONE,62,2024-04-10,718.3726372981035,2024-08-01,1077.9285966797224,
ACUTAAS,131,2024-07-12,341.4662862758622,2024-08-05,312.78898799659424,
3PLAND,1408,2024-01-09,30.45,2024-08-08,46.84,
COHANCE,52,2024-07-12,848.1,2024-09-05,1151.1,
EIDPARRY,71,2024-04-10,627.7,2024-09-30,857.75,
GMRAIRPORT,459,2024-07-12,97.74,2024-10-03,88.63,
ADANIPORTS,30,2024-07-12,1473.2928880892675,2024-10-07,1342.9787596277495,
AEROFLEX,232,2024-10-14,206.2,2024-10-21,190.3,
63MOONS,97,2024-10-14,494.1,2024-10-22,443.4,
APTUS,126,2024-10-14,378.0950159961536,2024-10-22,341.0763457529783,
ASHOKA,185,2024-10-14,258.12,2024-10-22,229.73,
CDSL,30,2024-10-14,1566.5274521221531,2024-10-22,1449.035413431677,
CREATIVEYE,6443,2024-10-14,7.44,2024-10-23,10.45,
GANECOS,21,2024-10-14,2277.15,2024-10-24,2085.0,
DBSTOCKBRO,980,2024-10-14,48.88,2024-11-08,45.0,
ESABINDIA,7,2024-10-14,6463.0,2024-11-12,5972.2,
FEDERALBNK,282,2024-04-10,158.04327332898762,2024-12-04,214.1436654465226,
ASMS,2041,2025-01-15,23.28,2025-01-17,21.0,
ASHOKAMET,1495,2024-10-14,32.05,2025-01-20,22.44,
GOLDIAM,91,2025-01-15,521.4,2025-01-22,477.45,
