ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BSOFT,138,2016-07-01,144.6123430718377,2016-07-07,138.86097721629213,,-873.9553805128162,-0.04379301150365893,exit_model_urgent
GLAXO,13,2016-07-18,1491.7885300554562,2016-07-19,1498.8050597434737,,13.213446682664653,0.0006813425328801824,exit_model_urgent
GOKEX,197,2016-07-18,101.2,2016-07-19,113.5,,2342.913965051197,0.11751940997628442,exit_model_urgent
AEGISLOG,181,2016-07-18,109.9813327122317,2016-07-20,113.34524773146734,,528.802356521981,0.0265641441937128,exit_model_urgent
APTECHT,283,2016-07-18,70.55,2016-07-20,73.75,,825.2963188602007,0.041335810197023426,exit_model_urgent
BEL,598,2016-07-18,33.3766576484354,2016-07-20,33.55387171100704,,25.696104764563643,0.0012874289364065233,exit_model_urgent
BIOCON,175,2016-07-18,114.00052603545018,2016-07-20,116.71795179648534,,395.30840252262715,0.01981486608728204,exit_model_urgent
EVERESTIND,68,2016-07-18,290.05,2016-07-20,301.0,,665.2706706471981,0.03373001970487837,exit_model_urgent
DWARKESH,841,2016-07-18,23.755000000000006,2016-07-25,24.215000000000007,,306.50682701814003,0.015342252348558195,signal
EIDPARRY,90,2016-07-18,220.2071143224413,2016-07-25,220.76144311872184,,-29.82280289209666,-0.001504785517935841,signal
GANECOS,124,2016-07-18,160.0,2016-07-25,160.5,,-17.798305280000932,-0.000897092000000047,signal
GNFC,129,2016-07-25,155.35,2016-07-26,157.25,,164.49667300620058,0.008208355376890922,exit_model_urgent
BAJAJHIND,1022,2016-07-25,19.65,2016-07-27,19.8,,72.52714182840282,0.0036114957862596825,exit_model_urgent
BASF,18,2016-07-25,1096.45,2016-07-27,1060.45,,-727.3804099211993,-0.036855326529618274,exit_model_urgent
GINNIFILA,712,2016-07-25,28.2,2016-07-27,27.3,,-721.5571720127955,-0.03593698561702106,exit_model_urgent
GKWLIMITED,32,2016-07-25,622.25,2016-07-27,657.4,,1044.712104096001,0.05246645761832066,exit_model_urgent
AHLWEST,139,2016-07-25,144.0,2016-07-28,154.55,,1385.943806528001,0.06924179688888894,exit_model_urgent
BBL,47,2016-07-25,420.175,2016-07-28,397.1,,-1163.9541777867016,-0.05893968585970139,exit_model_urgent
AKSHOPTFBR,1247,2016-07-25,16.1,2016-07-29,15.6,,-704.2503344563993,-0.03507799262111798,exit_model_urgent
ELGIRUBCO,616,2016-07-25,32.6,2016-07-29,33.4,,412.0299572927943,0.020517785300613208,exit_model_urgent
CHAMBLFERT,384,2016-07-25,52.23138596188644,2016-08-01,51.46682792392354,,-374.26079139421927,-0.018659996468412914,signal
ASAHISONG,100,2016-08-01,199.25,2016-08-02,188.05,,-1200.1401831000003,-0.06023288246424092,exit_model_urgent
ARVIND,65,2016-08-01,305.75,2016-08-03,293.35,,-885.934050885,-0.04457810181193786,exit_model_urgent
ATLASCYCLE,96,2016-08-01,208.55,2016-08-03,201.5,,-757.3254995136012,-0.0378269349633182,exit_model_urgent
GEECEE,127,2016-08-01,157.45,2016-08-03,150.15,,-1007.5263549457995,-0.05038601705557318,exit_model_urgent
DENORA,58,2016-08-01,340.8,2016-08-04,322.7,,-1129.302279308802,-0.05713242063849776,exit_model_urgent
GICHSGFIN,72,2016-08-01,278.13636963300553,2016-08-04,285.67723674742143,,462.3967473988305,0.02309002974217249,exit_model_urgent
GAIL,411,2016-08-01,48.82104308471263,2016-08-05,49.14865797909689,,53.94464086781227,0.0026884343157896626,exit_model_urgent
ATUL,10,2016-08-01,1893.2065450815535,2016-08-08,1893.25580115776,,-75.6539482311382,-0.003996074724529291,signal
FILATEX,2835,2016-08-01,7.0792920707929206,2016-08-08,6.654334566543347,,-1285.4770784977445,-0.06405034058757034,signal
GPPL,116,2016-08-01,171.95,2016-08-08,170.8,,-213.62545145039257,-0.010710082694969097,signal
BLUECHIP,49876,2016-08-08,0.4,2016-08-09,0.45,,2413.5576557631975,0.12097790799999987,exit_model_urgent
DREDGECORP,48,2016-08-08,413.05,2016-08-09,416.6,,90.65639517120144,0.0045725091378768425,exit_model_urgent
GINNIFILA,798,2016-08-08,25.0,2016-08-09,23.95,,-918.1407354000003,-0.046022092000000014,exit_model_urgent
EIHAHOTELS,116,2016-08-08,171.8,2016-08-10,166.025,,-750.0554670496022,-0.03763676021885924,exit_model_urgent
GNFC,137,2016-08-08,145.25,2016-08-10,138.15,,-1052.736614231002,-0.05290333124268513,exit_model_urgent
GODREJCP,41,2016-08-08,480.0151291656872,2016-08-10,459.6478832566837,,-914.2143477158897,-0.046452516941821564,exit_model_urgent
DABUR,71,2016-08-08,277.7378806523593,2016-08-11,279.6844196449656,,58.891069616358436,0.0029864550085469113,exit_model_urgent
GOLDIAM,1462,2016-08-08,13.64,2016-08-12,14.36,,972.432728405438,0.04876383175366559,exit_model_urgent
3MINDIA,1,2016-08-08,12568.472921763929,2016-08-16,12460.18912492122,,-158.8353512335525,-0.012637601419223226,signal
AEGISLOG,188,2016-08-16,105.4961126865842,2016-08-17,108.20593311874623,,429.675007923317,0.021664356184233926,exit_model_urgent
DALMIASUG,178,2016-08-16,111.94746760017877,2016-08-17,104.77964397437808,,-1356.0194218587021,-0.06805054909204096,exit_model_urgent
DHANBANK,900,2016-08-16,22.15,2016-08-17,22.8,,504.8195959799996,0.025323280460496592,exit_model_urgent
BHARTIARTL,58,2016-08-08,340.15467512389785,2016-08-18,341.7028118902134,,10.440195386756386,0.0005291809341488976,exit_model_urgent
AHLEAST,153,2016-08-16,129.63333333333333,2016-08-18,133.29999999999998,,481.22622948119897,0.02426281414553865,exit_model_urgent
AUTOIND,431,2016-08-16,46.15,2016-08-18,47.85,,652.6979757602057,0.032814311033586424,exit_model_urgent
BALRAMCHIN,203,2016-08-16,98.06069403418611,2016-08-18,102.30328427562951,,781.1807650161718,0.03924285001605728,exit_model_urgent
GOACARBON,226,2016-08-16,87.9,2016-08-23,88.7,,100.89953358320054,0.005079159422070561,signal
BAGFILMS,4035,2016-08-23,4.95,2016-08-24,4.8,,-685.5842490389987,-0.03432512230303024,exit_model_urgent
BAYERCROP,5,2016-08-23,3529.4018577582115,2016-08-25,3594.476447024426,,254.39505144669965,0.014415760046564098,exit_model_urgent
CHOLAFIN,94,2016-08-23,211.8751406725567,2016-08-25,214.9505905785066,,208.98724817927723,0.010493296148828733,exit_model_urgent
CONCOR,64,2016-08-23,310.8524244004385,2016-08-25,315.90189708978,,243.14852095871174,0.01222186266459922,exit_model_urgent
DWARKESH,800,2016-08-23,24.970000000000002,2016-08-25,23.840000000000007,,-984.3453097919955,-0.04927639716619921,exit_model_urgent
BEDMUTHA,935,2016-08-23,21.35,2016-08-29,22.6,,1088.4599939729997,0.05452591736768148,exit_model_urgent
COLPAL,25,2016-08-23,772.2101643568991,2016-08-30,785.9392612458926,,265.57991411537296,0.013756872228510455,signal
ELGIRUBCO,623,2016-08-30,32.05,2016-08-31,32.5,,200.0402857222034,0.010018469622465071,exit_model_urgent
FORTIS,114,2016-08-30,173.98395879621128,2016-08-31,177.16356284045958,,282.6999993208119,0.014253179273557948,exit_model_urgent
FSL,575,2016-08-30,34.730964519435766,2016-08-31,36.13173888914019,,725.1228602161464,0.03631005509371333,exit_model_urgent
GODREJPROP,55,2016-08-30,358.65,2016-08-31,359.65,,-24.33878126900163,-0.001233858346019879,exit_model_urgent
GIPCL,222,2016-08-30,89.7,2016-09-01,86.85,,-712.7935268328038,-0.035794667250836305,exit_model_urgent
3MINDIA,1,2016-08-30,12224.740311210924,2016-09-02,12257.216009653723,,-16.69333176500004,-0.001365536718165793,exit_model_urgent
ASHIMASYN,1233,2016-08-30,16.2,2016-09-06,18.1,,2262.3603211368027,0.11326185861728409,exit_model_urgent
AUTOIND,443,2016-08-30,45.05,2016-09-06,44.95,,-124.56949335779427,-0.006241847826858759,exit_model_urgent
APLLTD,32,2016-09-07,618.2,2016-09-08,625.55,,155.63336721919768,0.0078672641954059,exit_model_urgent
GSFC,277,2016-09-07,72.1,2016-09-08,76.0,,999.9719852036033,0.050069447528432905,exit_model_urgent
ASAHISONG,111,2016-09-07,179.4,2016-09-09,181.6,,164.1064731671977,0.008241007219620842,exit_model_urgent
BALRAMCHIN,216,2016-09-07,92.56144228138737,2016-09-09,94.99726970984494,,445.72394706101477,0.02229369747368432,exit_model_urgent
CTE,159,2016-09-07,125.3,2016-09-09,121.15,,-739.9809322883993,-0.037142602774142025,exit_model_urgent
CYIENT,46,2016-09-07,429.2683975266997,2016-09-09,413.804126006207,,-790.778111369731,-0.04004680662980413,exit_model_urgent
DCW,723,2016-09-07,27.7,2016-09-09,28.15,,244.79916130680067,0.012223395364620974,exit_model_urgent
BIRLACORPN,30,2016-09-07,649.25,2016-09-12,628.45,,-702.3402969300005,-0.03605905772968813,exit_model_urgent
ECLERX,38,2016-09-07,516.7728251904227,2016-09-15,512.3664801125418,,-246.4244111080734,-0.012548749871874747,signal
ARIES,195,2016-09-15,102.5,2016-09-16,98.7,,-821.3915638500002,-0.04109526273170733,exit_model_urgent
GINNIFILA,902,2016-09-15,22.2,2016-09-16,22.8,,460.66002095520525,0.02300493502702729,exit_model_urgent
AMBUJACEM,89,2016-09-15,223.502491665792,2016-09-19,229.03324582364496,,412.23078509880725,0.020723735738346665,exit_model_urgent
BVCL,960,2016-09-15,20.85,2016-09-19,21.75,,783.4938065280003,0.03914337562589929,exit_model_urgent
DHANUKA,30,2016-09-15,655.15,2016-09-19,685.6,,834.4477927859989,0.042455813823093894,exit_model_urgent
DLF,146,2016-09-15,136.52601925295008,2016-09-19,143.6121448197122,,954.4027821122145,0.04788102218685119,exit_model_urgent
ASTRAL,101,2016-09-15,197.5654375099282,2016-09-20,192.53900625052896,,-587.9268201335253,-0.029463947229089026,exit_model_urgent
GAEL,494,2016-09-15,40.475,2016-09-20,42.675,,1006.3796781921956,0.05033244783940682,exit_model_urgent
BLUECHIP,50069,2016-09-15,0.4,2016-09-22,0.4,,-80.55284973920061,-0.00402209200000003,signal
AIAENG,18,2016-09-22,1112.2616461775692,2016-09-23,1149.200580259327,,584.3756774296817,0.029188559656202605,exit_model_urgent
APLAPOLLO,239,2016-09-22,83.86444848045795,2016-09-26,86.39633427891981,,524.503489803461,0.026168123810598562,exit_model_urgent
DPSCLTD,625,2016-09-22,32.1,2016-09-27,32.85,,388.05677925000055,0.019342393981308437,exit_model_urgent
CUB,258,2016-09-22,77.79353641821567,2016-09-28,79.285549007748,,304.21291589565226,0.015157041103183735,exit_model_urgent
DABUR,74,2016-09-22,270.948732458635,2016-09-28,263.3050061705957,,-646.2795192780795,-0.0322330609854566,exit_model_urgent
GMDCLTD,238,2016-09-22,84.1026433390219,2016-09-28,84.58077093048877,,33.28644735836497,0.001662956322910802,exit_model_urgent
GPPL,117,2016-09-22,170.9,2016-09-28,176.4,,563.0770638323993,0.028160470902282003,exit_model_urgent
COROMANDEL,85,2016-09-22,235.23003105197662,2016-09-29,225.15815697332056,,-936.5292269003476,-0.046839218850740306,signal
CYBERTECH,260,2016-09-22,77.0,2016-09-29,69.85,,-1939.5222818399998,-0.09687923485714285,signal
ECLERX,39,2016-09-22,503.42076821857967,2016-09-29,493.277860680816,,-474.54077510772913,-0.02417006399101592,signal
ACC,13,2016-09-29,1468.349091636006,2016-09-30,1478.93370325728,,60.824094325766055,0.003186419709896362,exit_model_urgent
AROGRANITE,283,2016-09-29,70.85,2016-09-30,74.0,,810.8048432493997,0.04043803502893435,exit_model_urgent
BANARISUG,10,2016-09-29,1856.85,2016-09-30,1914.85,,505.31578469799933,0.027213602859573974,exit_model_urgent
BRIGADE,244,2016-09-29,82.16771769534299,2016-09-30,82.90818259317892,,100.03482179179628,0.004989535906976603,exit_model_urgent
BVCL,1031,2016-09-29,19.45,2016-09-30,19.95,,434.8451902285997,0.02168484887403597,exit_model_urgent
EXCELINDUS,66,2016-09-29,301.1,2016-09-30,307.85,,365.5705745207997,0.018395709394885402,exit_model_urgent
FILATEX,2975,2016-09-29,6.739326067393263,2016-09-30,7.019298070192981,,752.2757946825295,0.037520934706231336,exit_model_urgent
GODREJIND,48,2016-09-29,411.12593777681775,2016-09-30,427.63662016969346,,713.1406102824512,0.03613757898100882,exit_model_urgent
BANSWRAS,250,2016-09-29,80.075,2016-10-03,83.6,,800.7327457749998,0.03999913809678425,exit_model_urgent
GENESYS,295,2016-09-29,67.95,2016-10-03,77.2,,2648.1261603370003,0.13210741499043416,exit_model_urgent
BAJAJ-AUTO,8,2016-10-06,2410.149091704787,2016-10-07,2461.7576401164533,,335.3176562489025,0.017390918750783586,exit_model_urgent
CCL,93,2016-10-06,214.9606889777887,2016-10-07,222.93067829850787,,660.8019817538407,0.03305440491029169,exit_model_urgent
CTE,182,2016-10-06,110.75,2016-10-07,112.15,,173.72870260199852,0.008618991521444621,exit_model_urgent
ALANKIT,150,2016-10-06,134.15,2016-10-17,129.2,,-823.4345462700003,-0.040921085663809184,signal
AXISBANK,38,2016-10-06,528.589849103392,2016-10-18,530.2329788151867,,-18.35047707947888,-0.0009135765516200391,exit_model_urgent
APOLLOTYRE,103,2016-10-17,195.19186874087148,2016-10-18,204.69524373446043,,897.9844200057087,0.04466525883532214,exit_model_urgent
BANKBARODA,142,2016-10-17,141.34934246030124,2016-10-18,145.79723498555086,,550.8708901343343,0.027445281302417746,exit_model_urgent
CESC,481,2016-10-17,41.94276582861908,2016-10-18,42.60208805541395,,235.990415234799,0.011697477603228063,exit_model_urgent
DIVISLAB,17,2016-10-17,1179.0619094826984,2016-10-18,1232.0188365347162,,819.648736832507,0.040892366372463386,exit_model_urgent
EICHERMOT,8,2016-10-17,2387.670637473281,2016-10-18,2428.5220338811164,,249.983723505753,0.013087217704066104,exit_model_urgent
AJANTPHARM,17,2016-10-17,1165.9408577683073,2016-10-19,1193.7758850897396,,393.4736007237989,0.019851355041482527,exit_model_urgent
COALINDIA,137,2016-10-06,147.04364714347753,2016-10-24,148.28997534089518,,89.72200152097503,0.004453814451106727,signal
ASIANPAINT,19,2016-10-24,1049.562418074653,2016-10-25,1060.9656461202535,,136.45403736687877,0.006842653011086775,exit_model_urgent
DREDGECORP,51,2016-10-24,394.5,2016-10-25,405.45,,477.5275200060023,0.023734561992395552,exit_model_urgent
BERGEPAINT,94,2016-10-24,213.5516941968445,2016-10-26,214.58294634189394,,16.198792917984974,0.0008069595742707485,exit_model_urgent
CEATLTD,16,2016-10-24,1208.2013148382525,2016-10-26,1163.6560376547443,,-790.4763844209374,-0.04089117717350161,exit_model_urgent
CRISIL,9,2016-10-24,2041.5271573314058,2016-11-01,2024.5363303084735,,-226.81833363195983,-0.012344698418394175,exit_model_urgent
