ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ALBERTDAVD,76,2020-01-28,524.25,2020-01-31,476.2,,-3812.0522115560016,-0.09567683687362903,exit_model_urgent
DHANUKA,77,2020-01-28,515.5,2020-02-03,503.25,,-1102.900908802003,-0.027785428566440423,exit_model_urgent
GLOBUSSPR,280,2020-01-28,142.5,2020-02-03,127.8,,-4276.481470799998,-0.10717998673684205,exit_model_urgent
ASTRAZEN,15,2020-01-28,2634.3,2020-02-05,2487.6,,-2359.4309543339987,-0.05971051017560639,exit_model_urgent
DRREDDY,63,2020-01-28,633.8102741453,2020-02-27,609.5441736253,,-1689.3666564489322,-0.04230815568478821,exit_model_urgent
ALMONDZ,15238,2020-01-28,2.625,2020-03-02,2.675,,601.0173255229965,0.015025527047618961,exit_model_urgent
ASTRAL,58,2020-01-28,684.5463123923,2020-03-04,626.3923451785,,-3532.621976709146,-0.08897466008932023,exit_model_urgent
ALLCARGO,341,2020-01-28,117.15,2020-03-06,107.1,,-3587.7251345298064,-0.08980954398463524,exit_model_urgent
APLLTD,63,2020-01-28,632.4,2020-03-11,623.0,,-752.444971790399,-0.01888610212017708,exit_model_urgent
AKZOINDIA,19,2020-01-28,2045.55,2020-03-16,2198.6,,2751.6295844786073,0.07079886079998064,exit_model_urgent
