ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
GLFL,14634,2016-07-01,2.05,2016-07-07,1.95,,-1584.0615533723976,-0.05280257980487797,exit_model_urgent
BVCL,1754,2016-07-01,17.1,2016-07-15,23.35,,10841.863785807203,0.3614749840233919,exit_model_urgent
20MICRONS,998,2016-07-01,30.05,2016-07-18,28.65,,-1517.8221368708037,-0.050611110302828735,exit_model_urgent
BFUTILITIE,55,2016-07-01,540.75,2016-07-19,516.35,,-1461.6220436949989,-0.04914460702542761,exit_model_urgent
CHENNPETRO,176,2016-07-01,170.4438933951,2016-07-21,225.1787160153,,9512.673561622301,0.3171089355183701,exit_model_urgent
ATULAUTO,61,2016-07-01,490.05,2016-07-29,469.55,,-1370.7325972606013,-0.04585455807489036,exit_model_urgent
AVTNPL,958,2016-07-01,31.3,2016-08-02,32.95,,1460.0959625432006,0.04869356295207669,signal
BEPL,2184,2016-07-01,13.7333333333,2016-08-02,13.7,,-193.43701853810853,-0.006449276463598169,signal
CEATLTD,36,2016-07-01,822.4439786298,2016-08-02,817.5844938462,,-294.02748469782455,-0.009930682627286235,signal
FOSECOIND,21,2016-07-01,1399.65,2016-08-02,1408.0,,57.13005757619976,0.0019436851585753498,signal
BATAINDIA,53,2016-08-02,568.8611355913,2016-08-03,544.9676870106,,-1387.6174013734526,-0.04602434366703307,exit_model_urgent
FMNL,1103,2016-08-02,27.6,2016-08-08,36.0,,9142.756257662397,0.3003257340869564,exit_model_urgent
GOKUL,2086,2016-08-02,14.6,2016-08-08,13.8,,-1791.2952251151946,-0.058816612547945034,exit_model_urgent
CENTENKA,137,2016-08-02,220.95,2016-08-12,211.7,,-1388.999328153801,-0.04588676726589729,exit_model_urgent
ALBERTDAVD,95,2016-08-02,319.95,2016-08-16,294.05,,-2582.7524918630006,-0.084972240460697,exit_model_urgent
ALPHAGEO,39,2016-08-02,768.25,2016-09-01,908.35,,5343.3910850190005,0.1783404202030589,signal
BAYERCROP,8,2016-08-02,3543.1854774806,2016-09-01,3467.7289951543,,-717.660002318331,-0.02531831902674718,signal
BHARATRAS,105,2016-08-02,289.5,2016-09-01,352.9625,,6541.300958430002,0.21519207034887744,signal
CCL,130,2016-08-02,232.8931868236,2016-09-01,247.814047343,,1817.9385504569,0.06004530611887028,signal
FLEXITUFF,152,2016-08-02,199.7,2016-09-01,198.75,,-266.4881894047976,-0.008779227703555255,signal
BLBLIMITED,6944,2016-09-01,4.45,2016-09-06,4.25,,-1513.0858604736022,-0.04896591222471917,exit_model_urgent
BHARATGEAR,494,2016-09-01,62.5333333333,2016-09-12,58.5666666667,,-2083.7816542486034,-0.06745492781986333,exit_model_urgent
ARIES,287,2016-09-01,107.4,2016-09-14,102.5,,-1530.276159389603,-0.04964592812662951,exit_model_urgent
GSS,1329,2016-09-01,23.25,2016-09-14,32.2,,11770.270373769003,0.38092414455913987,exit_model_urgent
CREST,447,2016-09-01,69.0,2016-09-19,65.9,,-1509.7533835559989,-0.04894962823188402,exit_model_urgent
GMRAIRPORT,2341,2016-09-01,13.2,2016-09-29,12.35,,-2114.137469310397,-0.06841603139393931,exit_model_urgent
ARVIND,97,2016-09-01,316.2,2016-10-04,355.6,,3698.436807431204,0.12058258858191033,signal
ASAL,572,2016-09-01,54.0,2016-10-04,62.4,,4680.565622303999,0.15153346355555553,signal
AXISCADES,145,2016-09-01,213.0,2016-10-04,218.9,,731.2776885800013,0.023677438516431965,signal
CENTURYPLY,137,2016-09-01,225.45,2016-10-04,259.55,,4547.4710521281995,0.14723095745664228,signal
BFUTILITIE,51,2016-10-04,604.7,2016-10-06,575.6,,-1608.140110652399,-0.05214512821630557,exit_model_urgent
AJANTPHARM,25,2016-10-04,1249.9676546879,2016-10-13,1185.6125804949,,-1734.563977429476,-0.05550748360324806,exit_model_urgent
DCM,349,2016-10-04,89.85,2016-10-17,117.5,,9523.7266467962,0.3037130220790206,exit_model_urgent
BANARBEADS,753,2016-10-04,41.7,2016-10-19,56.15,,10754.555908990795,0.34250068977458015,exit_model_urgent
ELGIRUBCO,903,2016-10-04,34.75,2016-10-24,45.9,,9942.239769608997,0.3168412173525179,exit_model_urgent
AHLEAST,238,2016-10-04,131.8333333333,2016-11-04,140.0,,1817.4681673852938,0.057924810655135606,signal
BANG,1365,2016-10-04,23.0,2016-11-04,24.7,,2194.2264216600015,0.06989095147826092,signal
BUTTERFLY,151,2016-10-04,206.85,2016-11-04,233.0,,3823.0225707397985,0.12239801919168475,signal
GOODLUCK,276,2016-10-04,113.6,2016-11-04,108.2,,-1616.5070637311983,-0.05155730326760558,signal
GREENPLY,115,2016-10-04,272.3,2016-11-04,289.75,,1880.800200065998,0.0600616391788468,signal
FACT,1326,2016-11-04,24.4692531859,2016-11-09,22.7748446149,,-2377.2874861510863,-0.07326852784857645,exit_model_urgent
ABFRL,216,2016-11-04,149.95,2016-11-15,137.15,,-2895.0723422063966,-0.08938387926242071,exit_model_urgent
ALLCARGO,168,2016-11-04,192.2,2016-11-15,175.9,,-2868.2717418431967,-0.08882958419562945,exit_model_urgent
CENTENKA,105,2016-11-04,308.75,2016-11-15,277.75,,-3385.3911950250003,-0.10442695029959516,exit_model_urgent
CINEVISTA,4298,2016-11-04,7.55,2016-11-15,6.6,,-4213.616483190799,-0.1298499065695364,exit_model_urgent
