ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BASML,76,2016-07-01,261.15,2016-07-08,244.85,,-1318.6280687607978,-0.06643832787976248,exit_model_urgent
BLUECHIP,40000,2016-07-01,0.5,2016-07-08,0.45,,-2080.4418399999995,-0.10402209199999997,exit_model_urgent
ARCHIDPLY,390,2016-07-01,51.25,2016-07-11,50.95,,-197.39156385000024,-0.009875750536585378,signal
ASTRAL,92,2016-07-01,215.5360413046,2016-07-11,205.7723097874,,-978.0186320271496,-0.04932185466661464,signal
BALAMINES,74,2016-07-01,267.22608569,2016-07-11,276.4304844709,,601.5897250796661,0.03042214557184291,signal
BANCOINDIA,126,2016-07-01,157.65,2016-07-11,155.0,,-413.7944332788029,-0.020831479884554537,signal
BANG,769,2016-07-01,26.0,2016-07-11,25.15,,-734.0677074480009,-0.036714399692307734,signal
CEMPRO,139,2016-07-01,143.7641786056,2016-07-11,147.4453375042,,431.30673428619775,0.021583444332516095,signal
CYBERTECH,323,2016-07-01,61.75,2016-07-11,59.65,,-758.5216304629976,-0.03803018916599178,signal
DTIL,90,2016-07-01,221.6333333333,2016-07-11,223.3666666667,,75.77133088201299,0.003798632921342778,signal
BEDMUTHA,970,2016-07-11,20.5,2016-07-12,18.75,,-1777.4792994199997,-0.08938794565853657,exit_model_urgent
CELEBRITY,1395,2016-07-11,14.25,2016-07-12,13.15,,-1614.4541613449983,-0.08121507445614026,exit_model_urgent
BLBLIMITED,2862,2016-07-11,6.95,2016-07-13,6.4,,-1654.1030297628022,-0.08315878264748212,exit_model_urgent
GRAVITA,734,2016-07-11,27.0686249446,2016-07-13,24.4794521238,,-1980.365265350254,-0.09967426591349311,exit_model_urgent
BHARATGEAR,303,2016-07-11,65.6333333333,2016-07-15,61.9,,-1211.186941384658,-0.060903757819734256,exit_model_urgent
AHLEAST,136,2016-07-11,145.8666666667,2016-07-18,138.5333333333,,-1077.1230581594864,-0.05429631503518054,signal
BERGEPAINT,105,2016-07-11,189.1611077491,2016-07-18,187.6466403132,,-238.9055354793236,-0.012028322529738525,signal
EKC,1072,2016-07-11,18.55,2016-07-18,18.8,,188.01828732480135,0.009454996948787129,signal
ELGIRUBCO,544,2016-07-11,36.55,2016-07-18,33.75,,-1603.1720596543964,-0.08062947914090271,signal
AJANTPHARM,20,2016-07-18,969.8067236875,2016-07-25,1016.0552200198,,846.9568893482065,0.04366627229226762,signal
AROGRANITE,253,2016-07-18,77.8,2016-07-25,73.85,,-1078.5184456727984,-0.054793300226221,signal
ASTRAL,89,2016-07-18,219.9397288681,2016-07-25,230.9711886233,,903.0689318801342,0.04613464781218596,signal
AUTOIND,395,2016-07-11,50.3,2016-07-25,53.25,,1085.3370650979996,0.05462601933200793,signal
BVCL,777,2016-07-18,25.35,2016-07-25,23.55,,-1477.8229450193976,-0.0750280091597632,signal
EMMBI,164,2016-07-18,119.55,2016-07-25,116.75,,-538.0579401704017,-0.027443254693433797,signal
FIEMIND,39,2016-07-18,503.65,2016-07-25,495.875,,-382.22833879619793,-0.019459399654124784,signal
GAEL,556,2016-07-18,35.375,2016-07-25,35.45,,-37.408516502000566,-0.001901950657243845,signal
GHCL,87,2016-07-25,225.4,2016-07-26,210.0,,-1418.672419701601,-0.07234507336645968,exit_model_urgent
ASAL,339,2016-07-25,57.9,2016-07-29,54.25,,-1316.2960239852,-0.06706181566148532,exit_model_urgent
3MINDIA,1,2016-07-25,13760.5387480349,2016-08-01,13452.8220646794,,-363.06283616966175,-0.02638434750394563,signal
AARTIIND,151,2016-07-18,129.7723264279,2016-08-01,137.6606640536,,1112.3235898526946,0.056763884816734174,signal
ALPHAGEO,25,2016-07-25,780.95,2016-08-01,783.0,,-27.27631868499884,-0.0013970839969267605,signal
BANSWRAS,229,2016-07-25,85.825,2016-08-01,86.9,,167.1251054889035,0.008503395911447892,signal
BIOCON,148,2016-07-25,132.8336822162,2016-08-01,135.6414151777,,336.4726232972971,0.01711511442728355,signal
DATAMATICS,307,2016-07-25,64.1,2016-08-01,72.05,,2361.5004581596004,0.12000286899843997,signal
EDELWEISS,210,2016-07-25,93.4,2016-08-01,95.3,,320.11068751199855,0.01632052041970014,signal
EKC,957,2016-07-25,20.55,2016-08-01,21.7,,1021.4501309957959,0.051938978559610494,signal
ASAHISONG,98,2016-08-01,199.25,2016-08-02,188.05,,-1176.1373794379979,-0.06023288246424079,exit_model_urgent
COMPUSOFT,1588,2016-08-01,12.4,2016-08-02,11.55,,-1428.9998179903996,-0.07257047909677417,exit_model_urgent
APARINDS,34,2016-08-01,578.9378785878,2016-08-05,549.7147460925,,-1072.7569127790048,-0.05449923916228918,exit_model_urgent
AGRITECH,789,2016-08-01,24.95,2016-08-08,31.7,,5246.572906829399,0.2665189901643286,signal
ATUL,10,2016-08-01,1893.2065450816,2016-08-08,1893.2558011578,,-75.65394823120369,-0.003996074724532652,signal
BLUESTARCO,84,2016-08-01,232.1534121042,2016-08-08,229.9356137143,,-264.72942480574784,-0.013575250705694807,signal
FILATEX,2783,2016-08-01,7.0792920708,2016-08-08,6.6543345665,,-1261.8986630889995,-0.06405034059463359,signal
GAEL,497,2016-08-01,39.575,2016-08-08,39.975,,119.69037742269938,0.0060852990296904295,signal
GANECOS,108,2016-08-01,180.85,2016-08-08,169.5,,-1304.3586965256,-0.06678128470113354,signal
GESHIP,69,2016-08-01,284.6307321995,2016-08-08,296.1878996987,,718.452599070366,0.03658198265452259,signal
FMNL,547,2016-08-08,36.0,2016-08-09,34.1,,-1118.5030356639982,-0.056799869777777685,exit_model_urgent
GALLANTT,424,2016-08-08,46.4028794561,2016-08-09,41.1365997748,,-2312.036524571835,-0.11751245602540987,exit_model_urgent
BFINVEST,140,2016-08-08,140.4833423766,2016-08-10,131.5319316332,,-1332.302673926868,-0.06774075495296111,exit_model_urgent
COLPAL,23,2016-08-08,837.1450820751,2016-08-10,791.4226542977,,-1129.0585532416371,-0.05863918138678139,exit_model_urgent
20MICRONS,551,2016-08-08,35.7,2016-08-16,39.2,,1849.382634895599,0.09401712368627446,signal
BALMLAWRIE,29,2016-08-08,674.3,2016-08-16,658.05,,-549.9008024323994,-0.02812115769776061,signal
BANSWRAS,241,2016-08-08,81.525,2016-08-16,79.4,,-591.1491531223,-0.030087716041704998,signal
BHARATFORG,50,2016-08-08,388.6358790364,2016-08-16,395.5081419007,,265.4566802157351,0.013660945606665009,signal
BLUECHIP,49233,2016-08-08,0.4,2016-08-16,0.4,,-79.20786217440036,-0.004022092000000018,signal
CARERATING,17,2016-08-08,1146.7547214775,2016-08-16,1160.5883675901,,156.76198306351216,0.008041207896229268,signal
ADANIPORTS,74,2016-08-16,261.5349561202,2016-08-23,260.5310749141,,-152.12911570152573,-0.007860512764062771,signal
AMBUJACEM,84,2016-08-16,231.2198230488,2016-08-23,232.3774227563,,19.11943378581782,0.000984397894491871,signal
ATLASCYCLE,94,2016-08-16,206.8,2016-08-23,205.3,,-219.1862508064005,-0.011275476912959406,signal
AUTOIND,424,2016-08-16,46.15,2016-08-23,46.6,,112.09731258080137,0.005728720567714046,signal
BALKRISIND,56,2016-08-16,344.7780510235,2016-08-23,345.729066907,,-24.39993680864427,-0.0012637496963735693,signal
BANG,850,2016-08-16,23.05,2016-08-23,22.8,,-291.30283751000024,-0.01486807898481563,signal
BHARATRAS,53,2016-08-16,369.3125,2016-08-23,373.775,,157.78583085724676,0.008061170819427825,signal
CENTRALBK,199,2016-08-16,98.4070870868,2016-08-23,101.4913444686,,535.0025497928909,0.02731972974378894,signal
DABUR,69,2016-08-16,283.6724507518,2016-08-23,276.1236775853,,-599.5913604289562,-0.03063297066126567,signal
GODREJIND,48,2016-08-16,404.4122566833,2016-08-23,417.7401569282,,561.6632132444247,0.02893413033165219,signal
