ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
CYBERTECH,485,2016-07-01,61.75,2016-07-12,57.45,,-2205.956627784999,-0.07365771953036433,exit_model_urgent
BANG,1153,2016-07-01,26.0,2016-07-13,24.8,,-1504.1742739759975,-0.05017593815384607,exit_model_urgent
BANCOINDIA,190,2016-07-01,157.65,2016-07-19,147.85,,-1982.4757327219995,-0.06618511134665396,exit_model_urgent
CAPLIPOINT,28,2016-07-01,1049.3634660595,2016-07-26,1085.8537073162,,903.5489359335515,0.030751599325204614,exit_model_urgent
DTIL,135,2016-07-01,221.6333333333,2016-08-01,210.9666666667,,-1560.3430036769823,-0.05214962997534189,exit_model_urgent
ASTRAL,139,2016-07-01,215.5360413046,2016-08-02,215.6917272286,,-98.85956101856209,-0.0032997723217797347,signal
BASML,114,2016-07-01,261.15,2016-08-02,264.7,,284.95789685879936,0.009571628084242752,signal
BBTC,72,2016-07-01,413.7610375472,2016-08-02,391.7035637961,,-1707.959427129379,-0.05733178467154294,signal
BFINVEST,255,2016-07-01,117.2977211069,2016-08-02,115.4878730331,,-581.8157263679823,-0.01945161660389724,signal
CEMPRO,208,2016-07-01,143.7641786056,2016-08-02,144.2118871203,,-27.149041494882113,-0.0009079051487105268,signal
ALICON,90,2016-08-02,328.3,2016-08-04,294.85,,-3129.340752323995,-0.10591060860066995,exit_model_urgent
DWARKESH,827,2016-08-02,35.93,2016-08-04,32.7,,-2790.7228841181204,-0.09391911398719734,exit_model_urgent
GOODLUCK,236,2016-08-02,125.55,2016-08-11,114.4,,-2750.5737815415996,-0.09283133134687374,exit_model_urgent
BUTTERFLY,171,2016-08-02,173.75,2016-08-12,151.45,,-3932.8013809350014,-0.13236741574100724,exit_model_urgent
DEEPAKFERT,170,2016-08-02,173.9542662116,2016-08-16,160.6991894198,,-2372.305265230236,-0.08022072213693686,exit_model_urgent
DELTACORP,300,2016-08-02,99.05,2016-08-17,137.85,,11520.483536220003,0.387699260852095,exit_model_urgent
BAYERCROP,8,2016-08-02,3543.1854774806,2016-09-01,3467.7289951543,,-717.660002318331,-0.02531831902674718,signal
GABRIEL,299,2016-08-02,99.1875656402,2016-09-01,113.4797220725,,4154.071260493685,0.14007012702011773,signal
GMDCLTD,361,2016-08-02,82.1901329732,2016-09-01,89.5532978817,,2538.764496220432,0.08556487716697943,signal
DONEAR,578,2016-09-01,51.55,2016-09-09,52.15,,226.95814897720265,0.007617093257032097,exit_model_urgent
ATLASCYCLE,114,2016-09-01,260.5,2016-09-12,252.8,,-997.2440661239998,-0.03358063326679462,exit_model_urgent
GHCL,113,2016-09-01,263.65,2016-09-12,241.25,,-2651.027974805398,-0.08898321470054991,exit_model_urgent
BLKASHYAP,1232,2016-09-01,24.2,2016-09-15,23.25,,-1290.3162597247974,-0.043278290347107354,exit_model_urgent
DEEPAKNTR,252,2016-09-01,118.3087496855,2016-09-16,116.5333787023,,-567.3073540276964,-0.019028344605318537,exit_model_urgent
GPPL,164,2016-09-01,181.05,2016-09-19,176.95,,-791.8247600823997,-0.026667769989505652,exit_model_urgent
CESC,639,2016-09-01,46.6144340131,2016-09-27,43.5187927558,,-2097.919302834889,-0.0704315920366204,exit_model_urgent
AEGISLOG,228,2016-09-01,130.4451490792,2016-09-29,140.8639414305,,2255.8616310509424,0.07584896817238108,exit_model_urgent
ARE&M,32,2016-09-01,907.5331583919,2016-10-04,995.4042282754,,2695.068416876711,0.09280199544073091,signal
ARVIND,94,2016-09-01,316.2,2016-10-04,355.6,,3584.0521639024046,0.12058258858191034,signal
GENESYS,322,2016-10-04,92.6,2016-10-07,97.5,,1457.8724784176047,0.04889367473866107,exit_model_urgent
ALKALI,472,2016-10-04,63.15,2016-10-10,93.3,,14110.9143081744,0.47341258733491687,exit_model_urgent
CARBORUNIV,106,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-2354.524647028593,-0.0790561984122498,exit_model_urgent
GSFC,345,2016-10-04,86.25,2016-11-03,94.2,,2623.067624924999,0.08815182104347823,exit_model_urgent
AIAENG,23,2016-10-04,1271.7203303297,2016-11-04,1200.1059952846,,-1764.774157874992,-0.06033505117596391,signal
AMBIKCO,34,2016-10-04,874.65,2016-11-04,1003.35,,4256.1906258948,0.14312248011456014,signal
APOLSINHOT,97,2016-10-04,305.0,2016-11-04,315.5,,899.506408180001,0.030404137508196757,signal
CERA,12,2016-10-04,2435.2832749962,2016-11-04,2687.8670521991,,2913.4661258976485,0.09969634593133027,signal
DECCANCE,56,2016-10-04,527.925,2016-11-04,552.55,,1260.0916765303991,0.04262279126940378,signal
DHUNINV,144,2016-11-04,210.85,2016-11-08,192.4,,-2778.9203661407955,-0.09152505619255381,exit_model_urgent
APLAPOLLO,336,2016-11-04,90.6990766185,2016-11-15,84.8010998741,,-2104.2929963578863,-0.06905006101900309,exit_model_urgent
ESABINDIA,49,2016-11-04,611.25,2016-11-15,550.95,,-3075.166683014999,-0.10267239874846622,exit_model_urgent
CONCOR,95,2016-11-04,318.6324272492,2016-11-17,289.0447189442,,-2932.5813379500614,-0.09688052627938262,exit_model_urgent
