ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
GODFRYPHLP,68,2020-01-28,439.7476122907,2020-01-29,399.5828230939,,-2851.4776294145195,-0.09535809491216277,exit_model_urgent
GLOBUSSPR,210,2020-01-28,142.5,2020-02-03,127.8,,-3207.3611031,-0.1071799867368421,exit_model_urgent
BLKASHYAP,3260,2020-01-28,9.2,2020-02-04,8.15,,-3543.6305832639955,-0.11815252678260856,exit_model_urgent
ASTRAZEN,11,2020-01-28,2634.3,2020-02-05,2487.6,,-1730.2493665116053,-0.0597105101756066,exit_model_urgent
CINEVISTA,3973,2020-01-28,7.55,2020-02-05,6.9,,-2703.097274945798,-0.09011480723178801,exit_model_urgent
FCSSOFT,149999,2020-01-28,0.2,2020-02-10,0.2,,-120.66195558159961,-0.004022091999999987,exit_model_urgent
ARCHIES,1704,2020-01-28,17.6,2020-02-14,16.75,,-1569.0241479167998,-0.052317546545454535,exit_model_urgent
GMBREW,72,2020-01-28,415.95,2020-02-25,420.65,,217.9447799472,0.007277343028248588,exit_model_urgent
CCL,161,2020-01-28,185.5653129436,2020-02-26,223.6857282035,,6017.222774376358,0.20140646927150313,signal
CHOLAFIN,93,2020-01-28,321.4498006225,2020-02-26,313.8526138061,,-826.7781363733338,-0.027656223368841142,signal
