ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ANANTRAJ,551,2020-01-03,36.2563586957,2020-01-06,33.309905303,,-1703.846171430465,-0.0852893096329016,exit_model_urgent
ASAL,574,2020-01-03,34.8,2020-01-06,33.25,,-970.0420921183977,-0.048562321885057366,exit_model_urgent
BROOKS,557,2020-01-03,35.85,2020-01-06,33.85,,-1194.3149429974,-0.059810097578800556,exit_model_urgent
CTE,565,2020-01-03,35.35,2020-01-06,32.45,,-1718.8322379929996,-0.08605886710608202,exit_model_urgent
DYNPRO,124,2020-01-03,161.1,2020-01-06,153.2,,-1059.946918628797,-0.05305995668032264,exit_model_urgent
GALLANTT,546,2020-01-03,36.6155483502,2020-01-06,32.0448150419,,-2576.0304091676408,-0.12885248548706157,exit_model_urgent
GIPCL,252,2020-01-03,79.35,2020-01-06,75.8,,-975.0265560503976,-0.04876059231505975,exit_model_urgent
GOODLUCK,342,2020-01-03,58.4,2020-01-06,55.25,,-1157.6324390976006,-0.057960448164383595,exit_model_urgent
ECLERX,90,2020-01-03,221.8303761661,2020-01-10,222.8612946371,,12.482666069881816,0.0006252357862906108,signal
AJMERA,3378,2020-01-10,5.86,2020-01-14,5.44,,-1498.3776329073626,-0.07569444694880559,exit_model_urgent
ASIANHOTNR,216,2020-01-10,91.4,2020-01-15,85.75,,-1299.8057491008003,-0.06583828456017507,exit_model_urgent
ALKEM,9,2020-01-10,2125.7472334377,2020-01-17,2201.3960986,,603.8902279860158,0.031564860189025344,signal
BANG,831,2020-01-10,23.8,2020-01-17,23.35,,-453.4981311575975,-0.02292965502520996,signal
BHAGYANGR,824,2020-01-10,24.0,2020-01-17,23.6,,-409.1408913919986,-0.020688758666666595,signal
BOMDYEING,223,2020-01-10,88.4,2020-01-17,89.75,,221.76169598559864,0.011249401212669614,signal
CDSL,169,2020-01-03,117.8865909899,2020-01-17,129.6894990725,,1914.559995204214,0.09609877826599354,signal
CINELINE,482,2020-01-10,41.05,2020-01-17,38.85,,-1139.9815145211978,-0.05761527104993899,signal
ELGIEQUIP,151,2020-01-10,130.9887755733,2020-01-17,129.3434347477,,-328.0006495203961,-0.01658302188425006,signal
CHEMFAB,90,2020-01-17,218.85,2020-01-20,208.65,,-997.2211350780017,-0.05062935725017144,exit_model_urgent
GILLANDERS,599,2020-01-17,32.9,2020-01-20,31.0,,-1217.3637692531993,-0.061772851878419424,exit_model_urgent
EMAMILTD,63,2020-01-17,312.1435029331,2020-01-21,297.7512309891,,-985.807735289949,-0.05012996164572704,exit_model_urgent
EMMBI,151,2020-01-17,130.3,2020-01-21,122.4,,-1272.0358667276014,-0.06465140896085962,exit_model_urgent
CENTENKA,94,2020-01-17,208.1,2020-01-23,199.45,,-891.7777504488004,-0.04558864654108604,exit_model_urgent
ALPHAGEO,89,2020-01-17,219.85,2020-01-24,223.95,,286.2011335682,0.014626986917443715,signal
BASML,139,2020-01-17,141.6,2020-01-24,138.05,,-572.6144235807988,-0.029092713468926494,signal
BSL,571,2020-01-17,34.5,2020-01-24,38.4,,2147.666798645998,0.10902138626086946,signal
GESHIP,69,2020-01-17,284.9449645215,2020-01-24,281.0533929819,,-347.5976017271132,-0.017679366295529374,signal
GMMPFAUDLR,26,2020-01-17,735.6333333333,2020-01-24,843.3333333333,,2723.271591431734,0.1423823667430397,signal
EXPLEOSOL,61,2020-01-31,318.0,2020-02-03,301.45,,-1087.5705406159977,-0.05606611715723259,exit_model_urgent
AMBER,13,2020-01-31,1508.3331340604,2020-02-06,1567.1505868699,,685.760376309594,0.034972909489601335,signal
BSOFT,269,2020-01-31,73.019340902,2020-02-06,85.6263348574,,3312.278627649939,0.16863071203338573,signal
COROMANDEL,32,2020-01-31,602.2143669298,2020-02-06,599.1168015385,,-176.63126332202955,-0.00916571786049212,signal
CROMPTON,71,2020-01-31,275.0859776342,2020-02-06,274.3123134328,,-133.48605710617994,-0.006834537069187586,signal
ESCORTS,25,2020-01-31,783.8399081844,2020-02-06,835.2408453602,,1206.2065237952665,0.061553718365230464,signal
ARROWGREEN,316,2020-02-06,62.6,2020-02-11,59.95,,-916.9634151072023,-0.04635436037060714,exit_model_urgent
ELECTHERM,125,2020-02-06,157.55,2020-02-12,142.3,,-1985.4600743250012,-0.10081676035925109,exit_model_urgent
ABFRL,77,2020-02-06,254.35,2020-02-13,275.95,,1584.427529284596,0.0809002590910161,signal
AJANTPHARM,24,2020-02-06,823.7835052185,2020-02-13,918.7127314785,,2198.78143713429,0.11121355627244395,signal
ALKYLAMINE,34,2020-02-06,574.0992478249,2020-02-13,615.565175414,,1331.3328183053964,0.06820571137407301,signal
BLUESTARCO,51,2020-02-06,385.30073748,2020-02-13,382.0813527204,,-243.22408844403617,-0.012377603543154458,signal
CAPLIPOINT,58,2020-02-06,339.564684724,2020-02-13,330.0263508835,,-632.4374660598369,-0.032111979640267616,signal
DIVISLAB,10,2020-02-06,1947.8520622951,2020-02-13,2075.7189697953,,1200.3246730325918,0.061622989562065744,signal
DMART,9,2020-01-31,2133.95,2020-02-13,2544.15,,3614.5535109894045,0.18820359276299845,signal
EVEREADY,314,2020-02-06,62.95,2020-02-13,64.0,,250.19812290040136,0.012657812686259005,signal
