ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ASAL,574,2020-01-03,34.8,2020-01-10,34.6,,-195.14209211839625,-0.009769218436781423,signal
BROOKS,557,2020-01-03,35.85,2020-01-10,35.0,,-553.7649429974008,-0.027731994370990276,signal
CTE,565,2020-01-03,35.35,2020-01-10,29.65,,-3300.8322379929996,-0.1652667878981612,signal
DYNPRO,124,2020-01-03,161.1,2020-01-10,157.4,,-539.1469186287941,-0.02698919317939139,signal
ECLERX,90,2020-01-03,221.8303761661,2020-01-10,222.8612946371,,12.482666069881816,0.0006252357862906108,signal
GALLANTT,546,2020-01-03,36.6155483502,2020-01-10,34.2804998123,,-1355.3465245292427,-0.06779414084567141,signal
GIPCL,252,2020-01-03,79.35,2020-01-10,76.95,,-685.2265560503947,-0.034267838691871194,signal
GOODLUCK,342,2020-01-03,58.4,2020-01-10,55.9,,-935.3324390976013,-0.04683031117808226,signal
AJMERA,3397,2020-01-10,5.86,2020-01-17,5.94,,191.6945473693595,0.009629785133105776,signal
ALKEM,9,2020-01-10,2125.7472334377,2020-01-17,2201.3960986,,603.8902279860158,0.031564860189025344,signal
ANANTRAJ,551,2020-01-03,36.2563586957,2020-01-17,38.4037738801,,1102.8754145516323,0.05520655813619479,signal
ASIANHOTNR,217,2020-01-10,91.4,2020-01-17,87.6,,-904.373368309607,-0.04559758434135702,signal
BANG,836,2020-01-10,23.8,2020-01-17,23.35,,-456.22676010559735,-0.022929655025209952,signal
BHAGYANGR,829,2020-01-10,24.0,2020-01-17,23.6,,-411.62354243200025,-0.020688758666666678,signal
BOMDYEING,225,2020-01-10,88.4,2020-01-17,89.75,,223.75059011999838,0.011249401212669602,signal
CDSL,169,2020-01-03,117.8865909899,2020-01-17,129.6894990725,,1914.559995204214,0.09609877826599354,signal
CINELINE,484,2020-01-10,41.05,2020-01-17,38.85,,-1144.7117282743966,-0.05761527104993894,signal
ELGIEQUIP,151,2020-01-10,130.9887755733,2020-01-17,129.3434347477,,-328.0006495203961,-0.01658302188425006,signal
ALPHAGEO,90,2020-01-17,219.85,2020-01-24,223.95,,289.4168766420007,0.014626986917443748,signal
BASML,140,2020-01-17,141.6,2020-01-24,138.05,,-576.7339518080007,-0.02909271346892659,signal
BSL,575,2020-01-17,34.5,2020-01-24,38.4,,2162.711749949998,0.10902138626086948,signal
CENTENKA,95,2020-01-17,208.1,2020-01-24,200.2,,-830.0147477940009,-0.041984610020182646,signal
CHEMFAB,90,2020-01-17,218.85,2020-01-24,188.6,,-2801.7211350780017,-0.142244618844871,signal
EMAMILTD,63,2020-01-17,312.1435029331,2020-01-24,298.5952222451,,-932.6362861619527,-0.04742610509234932,signal
EMMBI,152,2020-01-17,130.3,2020-01-24,113.35,,-2656.0599453152026,-0.1341065125679203,signal
GESHIP,69,2020-01-17,284.9449645215,2020-01-24,281.0533929819,,-347.5976017271132,-0.017679366295529374,signal
GILLANDERS,603,2020-01-17,32.9,2020-01-24,32.85,,-109.9430765604011,-0.0055418488389058305,signal
GMMPFAUDLR,27,2020-01-17,735.6333333333,2020-01-24,843.3333333333,,2828.0128064868004,0.1423823667430397,signal
AMBER,13,2020-01-31,1508.3331340604,2020-02-06,1567.1505868699,,685.760376309594,0.034972909489601335,signal
BSOFT,271,2020-01-31,73.019340902,2020-02-06,85.6263348574,,3336.9052345469645,0.1686307120333857,signal
COROMANDEL,32,2020-01-31,602.2143669298,2020-02-06,599.1168015385,,-176.63126332202955,-0.00916571786049212,signal
CROMPTON,71,2020-01-31,275.0859776342,2020-02-06,274.3123134328,,-133.48605710617994,-0.006834537069187586,signal
ESCORTS,25,2020-01-31,783.8399081844,2020-02-06,835.2408453602,,1206.2065237952665,0.061553718365230464,signal
EXPLEOSOL,62,2020-01-31,318.0,2020-02-06,316.15,,-193.99956587199995,-0.009839702062893078,signal
ABFRL,78,2020-02-06,254.35,2020-02-13,275.95,,1605.0045101844007,0.08090025909101635,signal
AJANTPHARM,24,2020-02-06,823.7835052185,2020-02-13,918.7127314785,,2198.78143713429,0.11121355627244395,signal
ALKYLAMINE,34,2020-02-06,574.0992478249,2020-02-13,615.565175414,,1331.3328183053964,0.06820571137407301,signal
BLUESTARCO,51,2020-02-06,385.30073748,2020-02-13,382.0813527204,,-243.22408844403617,-0.012377603543154458,signal
CAPLIPOINT,58,2020-02-06,339.564684724,2020-02-13,330.0263508835,,-632.4374660598369,-0.032111979640267616,signal
DIVISLAB,10,2020-02-06,1947.8520622951,2020-02-13,2075.7189697953,,1200.3246730325918,0.061622989562065744,signal
DMART,9,2020-01-31,2133.95,2020-02-13,2544.15,,3614.5535109894045,0.18820359276299845,signal
ELECTHERM,126,2020-02-06,157.55,2020-02-13,142.0,,-2039.1437549196016,-0.10272091776959702,signal
EVEREADY,316,2020-02-06,62.95,2020-02-13,64.0,,251.79174151759798,0.012657812686258834,signal
