ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
DIVISLAB,55,2017-01-04,724.3544767497,2017-01-20,687.8623397448,,-2167.3056543049534,-0.054400930229379536,exit_model_urgent
BALMLAWRIE,173,2017-01-04,229.9,2017-02-02,221.65,,-1587.2194584883982,-0.03990725946411478,exit_model_urgent
ALANKIT,1223,2017-01-04,32.7,2017-02-09,31.35,,-1811.9019054732053,-0.045306495669724896,exit_model_urgent
GOKUL,1812,2017-07-10,21.95,2017-07-11,21.25,,-1428.372273952802,-0.035912752592255175,exit_model_urgent
CORALFINAC,858,2018-01-09,46.25,2018-01-10,44.0,,-2090.106665790001,-0.05267074064864867,exit_model_urgent
CALSOFT,1105,2018-04-13,35.85,2018-04-16,34.45,,-1706.3321580109987,-0.04307369590516036,exit_model_urgent
DHAMPURSUG,345,2018-04-13,114.8,2018-04-18,108.0,,-2505.298975751997,-0.06325554147735185,exit_model_urgent
BLUECOAST,463,2018-04-13,85.55,2018-05-03,82.4,,-1617.7636563877968,-0.040842664764465145,exit_model_urgent
DEN,674,2018-07-12,58.4,2018-07-13,56.4,,-1506.3159764672018,-0.0382686673424658,exit_model_urgent
ASHOKA,239,2018-07-12,164.45,2018-07-16,153.2,,-2846.832494026603,-0.07243194301854676,exit_model_urgent
GICRE,119,2018-07-12,330.5227518573,2018-07-17,316.4389884287,,-1834.1656050149322,-0.04663266373661858,exit_model_urgent
ARROWGREEN,383,2018-07-12,102.7,2018-07-19,130.9,,10642.394631062809,0.27056408132035076,exit_model_urgent
DPSCLTD,2031,2018-07-12,19.4,2018-08-03,18.7,,-1580.1760557287998,-0.040104566226804125,exit_model_urgent
EMAMILTD,84,2018-07-12,467.9589060055,2018-09-21,445.92951977,,-2008.5710406445723,-0.05109756369802361,exit_model_urgent
ARIHANTSUP,621,2018-07-12,63.45,2018-09-28,60.25,,-2145.680278925407,-0.05445550413553997,exit_model_urgent
APOLSINHOT,56,2018-10-16,694.25,2018-10-17,672.7,,-1363.1708927759973,-0.03506278339359014,exit_model_urgent
DBL,73,2018-10-16,537.05,2018-10-17,468.75,,-5143.584709127797,-0.13119833257350336,exit_model_urgent
GAYAHWS,29149,2018-10-16,1.35,2018-10-17,1.3,,-1615.7239456057941,-0.04105912903703689,exit_model_urgent
GEOJITFSL,901,2018-10-16,43.65,2018-10-17,42.25,,-1419.583448535799,-0.03609540242382586,exit_model_urgent
GREENPLY,299,2018-10-16,131.4,2018-10-17,126.2,,-1712.8223637511983,-0.043595912395738165,exit_model_urgent
5PAISA,189,2018-10-16,207.65,2018-10-19,196.1,,-2340.8004193181987,-0.05964453360847577,exit_model_urgent
BIL,151,2018-10-16,259.4,2018-10-19,251.2,,-1395.7429303847966,-0.03563350294834225,exit_model_urgent
BROOKS,694,2018-10-16,56.7,2018-10-19,54.7,,-1546.2685157816013,-0.03929546060670197,exit_model_urgent
CENTRALBK,1302,2018-10-16,30.2160840369,2018-10-22,28.9631044756,,-1789.6138833913355,-0.04548939662391666,exit_model_urgent
BIGBLOC,766,2018-10-16,51.35,2018-10-24,48.3,,-2494.5053689372,-0.06341839190262902,exit_model_urgent
BLUECOAST,1307,2019-04-22,29.45,2019-04-23,28.0,,-2049.964946485801,-0.053258085208828555,exit_model_urgent
DBREALTY,2341,2019-04-22,16.45,2019-04-23,15.95,,-1325.3885507693994,-0.03441722877811549,exit_model_urgent
GOKUL,4785,2019-04-22,8.05,2019-04-23,7.55,,-2547.4279672710036,-0.06613389324223612,exit_model_urgent
DNAMEDIA,38519,2019-04-22,1.0,2019-04-24,0.95,,-2080.8769617480066,-0.054022092000000174,exit_model_urgent
ARROWGREEN,516,2019-04-22,74.6,2019-04-30,71.75,,-1625.4248006111957,-0.042225845351206326,exit_model_urgent
ASHIMASYN,3349,2019-04-22,11.5,2019-05-02,10.95,,-1996.8548402420056,-0.051848178956521884,exit_model_urgent
EMAMIREAL,775,2019-07-23,49.05,2019-07-24,46.75,,-1935.394799765003,-0.05091301962487266,exit_model_urgent
AVADHSUGAR,138,2019-07-23,275.5,2019-07-25,265.65,,-1512.2159157480055,-0.03977526804355731,exit_model_urgent
BHAGERIA,327,2019-07-23,116.1,2019-07-25,111.9,,-1526.0975161523966,-0.04019780259431516,exit_model_urgent
FMNL,1366,2019-07-23,27.85,2019-07-25,26.6,,-1860.512848165199,-0.048905395411131036,exit_model_urgent
