ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ALANKIT,1223,2017-01-04,32.7,2017-01-11,35.8,,3630.448094526786,0.09077913124158984,exit_model_urgent
DIVISLAB,55,2017-01-04,724.3544767497,2017-01-20,687.8623397448,,-2167.3056543049534,-0.054400930229379536,exit_model_urgent
BALMLAWRIE,173,2017-01-04,229.9,2017-02-02,221.65,,-1587.2194584883982,-0.03990725946411478,exit_model_urgent
GOKUL,1822,2017-07-10,21.95,2017-07-11,21.25,,-1436.2551231468024,-0.03591275259225518,exit_model_urgent
CORALFINAC,863,2018-01-09,46.25,2018-01-10,44.0,,-2102.286774565,-0.05267074064864865,exit_model_urgent
CALSOFT,1111,2018-04-13,35.85,2018-04-16,34.45,,-1715.5973100001938,-0.04307369590516024,exit_model_urgent
DHAMPURSUG,347,2018-04-13,114.8,2018-04-18,108.0,,-2519.822448075196,-0.06325554147735182,exit_model_urgent
BLUECOAST,465,2018-04-13,85.55,2018-05-03,82.4,,-1624.751836329,-0.04084266476446523,exit_model_urgent
DEN,678,2018-07-12,58.4,2018-07-13,56.4,,-1515.2555371584021,-0.03826866734246581,exit_model_urgent
ARROWGREEN,385,2018-07-12,102.7,2018-07-16,113.15,,3864.218493366003,0.09773058570204486,exit_model_urgent
ASHOKA,240,2018-07-12,164.45,2018-07-16,153.2,,-2858.743927055999,-0.07243194301854665,exit_model_urgent
GICRE,119,2018-07-12,330.5227518573,2018-07-17,316.4389884287,,-1834.1656050149322,-0.04663266373661858,exit_model_urgent
EMAMILTD,84,2018-07-12,467.9589060055,2018-07-31,521.9949155292,,4380.922203128226,0.11144960611330587,exit_model_urgent
ARIHANTSUP,624,2018-07-12,63.45,2018-08-03,70.4,,4177.554115862404,0.10551297498187558,exit_model_urgent
DPSCLTD,2042,2018-07-12,19.4,2018-08-03,18.7,,-1588.7343701615973,-0.04010456622680406,exit_model_urgent
APOLSINHOT,57,2018-10-16,694.25,2018-10-17,672.7,,-1387.5132301470003,-0.03506278339359021,exit_model_urgent
DBL,74,2018-10-16,537.05,2018-10-17,468.75,,-5214.0447736364,-0.1311983325735034,exit_model_urgent
GAYAHWS,29484,2018-10-16,1.35,2018-10-17,1.3,,-1634.2929367127945,-0.041059129037036894,exit_model_urgent
GEOJITFSL,911,2018-10-16,43.65,2018-10-17,42.25,,-1435.3390916938006,-0.036095402423825904,exit_model_urgent
GREENPLY,302,2018-10-16,131.4,2018-10-17,126.2,,-1730.0078724175983,-0.04359591239573816,exit_model_urgent
5PAISA,191,2018-10-16,207.65,2018-10-19,196.1,,-2365.5707941258006,-0.05964453360847581,exit_model_urgent
BIL,153,2018-10-16,259.4,2018-10-19,251.2,,-1414.2295917144002,-0.03563350294834233,exit_model_urgent
BROOKS,702,2018-10-16,56.7,2018-10-19,54.7,,-1564.0929367127974,-0.039295460606701874,exit_model_urgent
