ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
DIVISLAB,55,2017-01-04,724.3544767497,2017-01-20,687.8623397448,,-2167.3056543049534,-0.054400930229379536,exit_model_urgent
BALMLAWRIE,173,2017-01-04,229.9,2017-02-06,219.3,,-1993.7694584884011,-0.05012909504480211,exit_model_urgent
ALANKIT,1223,2017-01-04,32.7,2017-02-09,31.35,,-1811.9019054732053,-0.045306495669724896,exit_model_urgent
GOKUL,1811,2017-07-10,21.95,2017-08-08,27.7,,10253.366010966602,0.2579369057220957,exit_model_urgent
CORALFINAC,868,2018-01-09,46.25,2018-01-10,44.0,,-2114.466883339999,-0.05267074064864863,exit_model_urgent
CALSOFT,1118,2018-04-13,35.85,2018-04-16,34.45,,-1726.4066539876003,-0.04307369590516039,exit_model_urgent
DHAMPURSUG,349,2018-04-13,114.8,2018-04-18,108.0,,-2534.345920398395,-0.0632555414773518,exit_model_urgent
BLUECOAST,468,2018-04-13,85.55,2018-05-04,80.4,,-2571.234106240794,-0.06422080620222077,exit_model_urgent
ASHOKA,242,2018-07-12,164.45,2018-07-16,153.2,,-2882.566793114798,-0.07243194301854664,exit_model_urgent
DEN,681,2018-07-12,58.4,2018-07-16,47.75,,-7412.6102076768,-0.18638510569863012,exit_model_urgent
GICRE,120,2018-07-12,330.5227518573,2018-07-17,316.4389884287,,-1849.5787613595967,-0.04663266373661861,exit_model_urgent
ARROWGREEN,387,2018-07-12,102.7,2018-07-19,130.9,,10753.542355669204,0.27056408132035065,exit_model_urgent
DPSCLTD,2052,2018-07-12,19.4,2018-08-06,17.8,,-3443.3146560095993,-0.0864963188041237,exit_model_urgent
EMAMILTD,85,2018-07-12,467.9589060055,2018-09-21,445.92951977,,-2032.4826006522417,-0.051097563698023506,exit_model_urgent
ARIHANTSUP,627,2018-07-12,63.45,2018-09-28,60.25,,-2166.4114893498045,-0.05445550413553991,exit_model_urgent
DBL,73,2018-10-16,537.05,2018-10-17,468.75,,-5143.584709127797,-0.13119833257350336,exit_model_urgent
GREENPLY,300,2018-10-16,131.4,2018-10-17,126.2,,-1718.5508666399983,-0.04359591239573816,exit_model_urgent
5PAISA,189,2018-10-16,207.65,2018-10-19,196.1,,-2340.8004193181987,-0.05964453360847577,exit_model_urgent
APOLSINHOT,56,2018-10-16,694.25,2018-10-19,648.1,,-2740.770892776003,-0.07049670489160974,exit_model_urgent
GEOJITFSL,903,2018-10-16,43.65,2018-10-19,41.0,,-2551.4845771673936,-0.06473228673081313,exit_model_urgent
BIL,152,2018-10-16,259.4,2018-10-22,242.05,,-2795.786261049594,-0.07090721150655344,exit_model_urgent
BROOKS,695,2018-10-16,56.7,2018-10-22,53.75,,-2208.746568397997,-0.05605031069488529,exit_model_urgent
CENTRALBK,1305,2018-10-16,30.2160840369,2018-10-22,28.9631044756,,-1793.7374176848607,-0.04548939662391658,exit_model_urgent
GAYAHWS,29223,2018-10-16,1.35,2018-10-22,1.25,,-3080.975752596605,-0.0780961660740742,exit_model_urgent
BIGBLOC,768,2018-10-16,51.35,2018-10-24,48.3,,-2501.018437785606,-0.06341839190262916,exit_model_urgent
BLUECOAST,1303,2019-04-22,29.45,2019-04-23,28.0,,-2043.6911440482,-0.05325808520882852,exit_model_urgent
GOKUL,4767,2019-04-22,8.05,2019-04-23,7.55,,-2537.845166140207,-0.06613389324223619,exit_model_urgent
DNAMEDIA,38377,2019-04-22,1.0,2019-04-24,0.95,,-2073.205824683995,-0.054022091999999876,exit_model_urgent
DBREALTY,2332,2019-04-22,16.45,2019-04-30,14.65,,-4351.8930800488015,-0.11344458440121584,exit_model_urgent
ARROWGREEN,514,2019-04-22,74.6,2019-05-02,71.65,,-1670.5247044847856,-0.043566327924932605,exit_model_urgent
ASHIMASYN,3337,2019-04-22,11.5,2019-05-02,10.95,,-1989.6997915460088,-0.05184817895652197,exit_model_urgent
EMAMIREAL,770,2019-07-23,49.05,2019-07-24,46.75,,-1922.908381702,-0.05091301962487258,exit_model_urgent
FMNL,1356,2019-07-23,27.85,2019-07-25,26.6,,-1846.8926955432034,-0.048905395411131154,exit_model_urgent
