ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ASHIMASYN,1190,2016-07-01,16.8,2016-07-11,19.4,,3013.5903367360006,0.1507398127619048,signal
ASTRAL,92,2016-07-01,215.5360413046,2016-07-11,205.7723097874,,-978.0186320271496,-0.04932185466661464,signal
BANCOINDIA,126,2016-07-01,157.65,2016-07-11,155.0,,-413.7944332788029,-0.020831479884554537,signal
BANG,769,2016-07-01,26.0,2016-07-11,25.15,,-734.0677074480009,-0.036714399692307734,signal
BASML,76,2016-07-01,261.15,2016-07-11,259.4,,-212.8280687607985,-0.010723221618992841,signal
BBTC,48,2016-07-01,413.7610375472,2016-07-11,401.8275040765,,-652.6904846270518,-0.032863699565184604,signal
CAPLIPOINT,19,2016-07-01,1049.3634660595,2016-07-11,1093.6800325187,,761.8226710881245,0.03820976368448892,signal
CEMPRO,139,2016-07-01,143.7641786056,2016-07-11,147.4453375042,,431.30673428619775,0.021583444332516095,signal
CYBERTECH,323,2016-07-01,61.75,2016-07-11,59.65,,-758.5216304629976,-0.03803018916599178,signal
DTIL,90,2016-07-01,221.6333333333,2016-07-11,223.3666666667,,75.77133088201299,0.003798632921342778,signal
AARTIDRUGS,160,2016-07-11,124.35,2016-07-18,123.7875,,-170.0235424320017,-0.00854561431604351,signal
AHLEAST,137,2016-07-11,145.8666666667,2016-07-18,138.5333333333,,-1085.0430806459553,-0.05429631503518064,signal
BALPHARMA,188,2016-07-11,106.0,2016-07-18,99.6,,-1283.3522493759992,-0.064399450490566,signal
BERGEPAINT,105,2016-07-11,189.1611077491,2016-07-18,187.6466403132,,-238.9055354793236,-0.012028322529738525,signal
BHARATGEAR,304,2016-07-11,65.6333333333,2016-07-18,62.3666666667,,-1073.3175913460946,-0.05379354959169627,signal
BLBLIMITED,2879,2016-07-11,6.95,2016-07-18,5.15,,-5262.678239932598,-0.2630148977553956,signal
BROOKS,191,2016-07-11,104.5,2016-07-18,110.6,,1084.8210547259987,0.05435111374162673,signal
CELEBRITY,1404,2016-07-11,14.25,2016-07-18,14.2,,-150.66999464400214,-0.007530863929824668,signal
ELGIRUBCO,547,2016-07-11,36.55,2016-07-18,33.75,,-1612.0130820421982,-0.0806294791409028,signal
