ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ESTER,345,2016-07-01,57.95,2016-07-05,55.1,,-1063.6626798329999,-0.05320241986885245,exit_model_urgent
ASTRAL,92,2016-07-01,215.5360413046,2016-07-08,205.0383618602,,-1045.5418413295447,-0.05272707600573497,exit_model_urgent
BASML,76,2016-07-01,261.15,2016-07-08,244.85,,-1318.6280687607978,-0.06643832787976248,exit_model_urgent
BBTC,48,2016-07-01,413.7610375472,2016-07-08,395.665105645,,-948.4856093390554,-0.04775731658633076,exit_model_urgent
ARCHIDPLY,390,2016-07-01,51.25,2016-07-11,50.95,,-197.39156385000024,-0.009875750536585378,signal
BALAMINES,74,2016-07-01,267.22608569,2016-07-11,276.4304844709,,601.5897250796661,0.03042214557184291,signal
BANCOINDIA,126,2016-07-01,157.65,2016-07-11,155.0,,-413.7944332788029,-0.020831479884554537,signal
BANG,769,2016-07-01,26.0,2016-07-11,25.15,,-734.0677074480009,-0.036714399692307734,signal
CYBERTECH,323,2016-07-01,61.75,2016-07-11,59.65,,-758.5216304629976,-0.03803018916599178,signal
DTIL,90,2016-07-01,221.6333333333,2016-07-11,223.3666666667,,75.77133088201299,0.003798632921342778,signal
BEDMUTHA,969,2016-07-11,20.5,2016-07-12,18.75,,-1775.6468465340004,-0.0893879456585366,exit_model_urgent
BHARATGEAR,302,2016-07-11,65.6333333333,2016-07-12,62.7666666667,,-945.4562914030284,-0.04769908539667034,exit_model_urgent
CELEBRITY,1395,2016-07-11,14.25,2016-07-12,13.15,,-1614.4541613449983,-0.08121507445614026,exit_model_urgent
GRAVITA,734,2016-07-11,27.0686249446,2016-07-12,25.9388040773,,-909.2009314812567,-0.04576122243652378,exit_model_urgent
AHLEAST,136,2016-07-11,145.8666666667,2016-07-13,138.7666666667,,-1045.389724817087,-0.052696680665436875,exit_model_urgent
BERGEPAINT,105,2016-07-11,189.1611077491,2016-07-13,181.1173410177,,-924.4819615068227,-0.0465454564860502,exit_model_urgent
BLBLIMITED,2860,2016-07-11,6.95,2016-07-13,6.4,,-1652.9471226839996,-0.083158782647482,exit_model_urgent
ELGIRUBCO,544,2016-07-11,36.55,2016-07-13,34.9,,-977.5720596543979,-0.04916573085088909,exit_model_urgent
AARTIDRUGS,159,2016-07-11,124.35,2016-07-18,123.7875,,-168.9608952917988,-0.008545614316043367,signal
EKC,1071,2016-07-11,18.55,2016-07-18,18.8,,187.8428971313988,0.009454996948787,signal
BVCL,776,2016-07-18,25.35,2016-07-22,24.3,,-893.9209849872022,-0.04544221034319538,exit_model_urgent
EMMBI,164,2016-07-18,119.55,2016-07-22,113.75,,-1030.0579401704017,-0.05253735757925563,exit_model_urgent
AJANTPHARM,20,2016-07-18,969.8067236875,2016-07-25,1016.0552200198,,846.9568893482065,0.04366627229226762,signal
AROGRANITE,253,2016-07-18,77.8,2016-07-25,73.85,,-1078.5184456727984,-0.054793300226221,signal
ASTRAL,89,2016-07-18,219.9397288681,2016-07-25,230.9711886233,,903.0689318801342,0.04613464781218596,signal
AUTOIND,366,2016-07-18,53.7,2016-07-25,53.25,,-243.75100058640237,-0.012401980268156546,signal
FIEMIND,39,2016-07-18,503.65,2016-07-25,495.875,,-382.22833879619793,-0.019459399654124784,signal
GAEL,556,2016-07-18,35.375,2016-07-25,35.45,,-37.408516502000566,-0.001901950657243845,signal
ASAL,339,2016-07-25,57.9,2016-07-26,55.25,,-977.2960239852,-0.0497906584939551,exit_model_urgent
EDELWEISS,210,2016-07-25,93.4,2016-07-26,88.75,,-1055.3893124880015,-0.05380795923768744,exit_model_urgent
GHCL,87,2016-07-25,225.4,2016-07-26,210.0,,-1418.672419701601,-0.07234507336645968,exit_model_urgent
3MINDIA,1,2016-07-25,13760.5387480349,2016-08-01,13452.8220646794,,-363.06283616966175,-0.02638434750394563,signal
AARTIIND,151,2016-07-18,129.7723264279,2016-08-01,137.6606640536,,1112.3235898526946,0.056763884816734174,signal
ADSL,565,2016-07-25,34.8,2016-08-01,34.1,,-474.5823729039985,-0.024137034528735554,signal
ALPHAGEO,25,2016-07-25,780.95,2016-08-01,783.0,,-27.27631868499884,-0.0013970839969267605,signal
ARCHIES,798,2016-07-25,24.65,2016-08-01,23.55,,-956.9173651043966,-0.04864683845030409,signal
BANSWRAS,229,2016-07-25,85.825,2016-08-01,86.9,,167.1251054889035,0.008503395911447892,signal
BIOCON,148,2016-07-25,132.8336822162,2016-08-01,135.6414151777,,336.4726232972971,0.01711511442728355,signal
COMPUSOFT,1578,2016-08-01,12.4,2016-08-02,11.55,,-1420.001078582398,-0.07257047909677408,exit_model_urgent
BLUESTARCO,84,2016-08-01,232.1534121042,2016-08-03,222.280632175,,-907.7478741069463,-0.04654905656069603,exit_model_urgent
ALICON,61,2016-08-01,318.2,2016-08-04,294.85,,-1502.4196101383968,-0.0774036130559395,exit_model_urgent
CARERATING,17,2016-08-01,1091.618468871,2016-08-04,1030.7801757522,,-1108.8910115014696,-0.05975428676739118,exit_model_urgent
APARINDS,33,2016-08-01,578.9378785878,2016-08-05,549.7147460925,,-1041.205238873743,-0.05449923916228933,exit_model_urgent
AGRITECH,784,2016-08-01,24.95,2016-08-08,31.7,,5213.324662806401,0.26651899016432873,signal
CROMPTON,123,2016-08-01,159.138395846,2016-08-08,164.8493334533,,623.7168056324226,0.03186451837419623,signal
GAEL,494,2016-08-01,39.575,2016-08-08,39.975,,118.96790029539989,0.006085299029690455,signal
GANECOS,108,2016-08-01,180.85,2016-08-08,169.5,,-1304.3586965256,-0.06678128470113354,signal
GESHIP,68,2016-08-01,284.6307321995,2016-08-08,296.1878996987,,708.0402425621032,0.03658198265452277,signal
COLPAL,23,2016-08-08,837.1450820751,2016-08-09,800.4104714802,,-922.338758044134,-0.04790290953265869,exit_model_urgent
ESTER,391,2016-08-08,50.0,2016-08-09,46.95,,-1271.1818985999998,-0.06502209199999999,exit_model_urgent
FMNL,543,2016-08-08,36.0,2016-08-09,34.1,,-1110.3238544160013,-0.056799869777777845,exit_model_urgent
GALLANTT,421,2016-08-08,46.4028794561,2016-08-09,41.1365997748,,-2295.6777755772237,-0.11751245602540991,exit_model_urgent
BFINVEST,139,2016-08-08,140.4833423766,2016-08-10,131.5319316332,,-1322.786226255961,-0.06774075495296109,exit_model_urgent
BASML,61,2016-08-08,316.85,2016-08-11,287.0,,-1898.5883908622018,-0.09823070806438386,exit_model_urgent
20MICRONS,547,2016-08-08,35.7,2016-08-16,39.2,,1835.9569896331996,0.09401712368627448,signal
BALMLAWRIE,29,2016-08-08,674.3,2016-08-16,658.05,,-549.9008024323994,-0.02812115769776061,signal
BHARATFORG,50,2016-08-08,388.6358790364,2016-08-16,395.5081419007,,265.4566802157351,0.013660945606665009,signal
GRAVITA,642,2016-08-16,30.222708199,2016-08-18,28.2455216813,,-1347.3943096230687,-0.0694426527479417,exit_model_urgent
BHAGERIA,72,2016-08-16,268.7,2016-08-22,350.8,,5833.386999331204,0.30152312571492396,exit_model_urgent
ADANIPORTS,74,2016-08-16,261.5349561202,2016-08-23,260.5310749141,,-152.12911570152573,-0.007860512764062771,signal
AMBUJACEM,83,2016-08-16,231.2198230488,2016-08-23,232.3774227563,,18.891821478842758,0.0009843978944918167,signal
BALKRISIND,56,2016-08-16,344.7780510235,2016-08-23,345.729066907,,-24.39993680864427,-0.0012637496963735693,signal
BANG,842,2016-08-16,23.05,2016-08-23,22.8,,-288.5611637451984,-0.014868078984815536,signal
BHARATRAS,52,2016-08-16,369.3125,2016-08-23,373.775,,154.80873970899847,0.008061170819427912,signal
CENTRALBK,197,2016-08-16,98.4070870868,2016-08-23,101.4913444686,,529.6256397447178,0.027319729743788768,signal
ECLERX,36,2016-08-16,534.2984391983,2016-08-23,521.4285860274,,-540.6786233572311,-0.02810947879867915,signal
GMBREW,35,2016-08-16,546.65,2016-08-23,615.85,,2345.046319287001,0.12256713328125864,signal
CYBERTECH,225,2016-08-23,86.55,2016-08-24,82.6,,-967.0752140850018,-0.04966045132986722,exit_model_urgent
DONEAR,648,2016-08-23,30.15,2016-08-26,39.35,,5883.0195841776,0.3011188698573798,exit_model_urgent
GNFC,121,2016-08-23,160.65,2016-08-26,153.05,,-997.7840386557982,-0.05132990401369427,exit_model_urgent
AXISCADES,89,2016-08-23,219.2,2016-08-29,207.8,,-1093.066188409597,-0.056029391270072844,exit_model_urgent
ABFRL,115,2016-08-23,169.35,2016-08-30,165.75,,-492.3312472229991,-0.02527984222143485,signal
APTECHT,149,2016-08-23,130.5,2016-08-30,129.05,,-294.2575678939975,-0.015133203111110981,signal
BRIGADE,237,2016-08-23,82.1438317309,2016-08-30,81.2361650819,,-293.4194372966449,-0.015071815757390325,signal
BUTTERFLY,105,2016-08-23,184.55,2016-08-30,197.45,,1276.5609067469995,0.06587766416364127,signal
CINEVISTA,2506,2016-08-23,7.8,2016-08-30,7.65,,-454.5190279055969,-0.023252861230769074,signal
DEEPAKFERT,94,2016-08-23,207.7621587031,2016-08-30,220.1236348123,,1083.428733721088,0.05547611588522428,signal
BPL,361,2016-08-30,54.35,2016-08-31,50.0,,-1649.2648527722013,-0.08405889052805893,exit_model_urgent
GLOBALVECT,283,2016-08-30,69.25,2016-08-31,65.9,,-1026.8739534929991,-0.05239754326353786,exit_model_urgent
GMDCLTD,209,2016-08-30,93.5695696501,2016-09-01,89.5532978817,,-918.0569918600195,-0.04694493308411207,exit_model_urgent
AEGISLOG,160,2016-08-30,122.2689667408,2016-09-07,144.5081827013,,3479.590228403773,0.17786556562325695,signal
AKZOINDIA,11,2016-08-30,1698.9,2016-09-07,1659.65,,-506.91445308679977,-0.027125276413443977,signal
BBL,50,2016-08-30,386.7,2016-09-07,395.425,,358.4828511800006,0.01854061811119734,signal
DREDGECORP,43,2016-08-30,449.2,2016-09-07,437.35,,-587.239120235201,-0.030402323522707088,signal
