ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BLUECHIP,59999,2016-07-01,0.5,2016-07-08,0.45,,-3120.610748954001,-0.10402209200000002,exit_model_urgent
FCL,10889,2016-07-01,2.755,2016-07-21,2.66,,-1155.1145222159394,-0.03850485062068963,exit_model_urgent
GLAXO,20,2016-07-01,1494.9599718178,2016-07-29,1449.1866099248,,-1035.724568719368,-0.03464054517325894,exit_model_urgent
ARE&M,37,2016-07-01,805.8123352148,2016-08-02,862.7554087229,,1986.9748199618552,0.06664333594101192,signal
ASTRAZEN,28,2016-07-01,1061.3,2016-08-02,1024.55,,-1148.5220947087982,-0.038649435823612494,signal
BALPHARMA,342,2016-07-01,87.65,2016-08-02,95.05,,2410.2325635803973,0.08040460509070156,signal
CEATLTD,36,2016-07-01,822.4439786298,2016-08-02,817.5844938462,,-294.02748469782455,-0.009930682627286235,signal
FCSSOFT,100000,2016-07-01,0.3,2016-08-02,0.35,,4879.337240000001,0.16264457466666668,signal
FLEXITUFF,152,2016-07-01,196.4,2016-08-02,199.7,,381.52929194239914,0.012780351991853333,signal
GSS,1310,2016-07-01,22.9,2016-08-02,24.3,,1713.3412620920026,0.0571132791790394,signal
DELTAMAGNT,1159,2016-08-02,26.0,2016-08-04,25.0,,-1280.201720328001,-0.042483630461538496,exit_model_urgent
GOKUL,2064,2016-08-02,14.6,2016-08-04,14.15,,-1050.003329164796,-0.03484400980821905,exit_model_urgent
BALAJITELE,320,2016-08-02,94.15,2016-08-10,90.5,,-1289.177587776001,-0.042790015526287875,exit_model_urgent
BHARATFORG,87,2016-08-02,342.7894130785,2016-09-01,403.6748378388,,5177.082395771686,0.17359548438167488,signal
BYKE,187,2016-08-02,161.0,2016-09-01,158.6,,-569.8931238439982,-0.018928924298136585,signal
COFFEEDAY,124,2016-08-02,241.3,2016-09-01,245.2,,363.2541808495989,0.012140361377538298,signal
CENTEXT,13121,2016-09-01,2.3,2016-09-02,2.15,,-2089.5298990036026,-0.06923948330434791,exit_model_urgent
BLBLIMITED,6781,2016-09-01,4.45,2016-09-06,4.25,,-1477.5684360414016,-0.04896591222471915,exit_model_urgent
AKSHOPTFBR,2018,2016-09-01,14.95,2016-09-12,20.5,,11078.557104242798,0.3672153661939799,exit_model_urgent
ARIES,280,2016-09-01,107.4,2016-09-14,102.5,,-1492.9523506240002,-0.04964592812662943,exit_model_urgent
ASHOKLEY,800,2016-09-01,37.7190572502,2016-09-16,36.5037654295,,-1093.601071290861,-0.03624166240544964,exit_model_urgent
GLAXO,23,2016-09-01,1305.0089469274,2016-09-16,1235.630550573,,-1716.4270351945997,-0.05718524963025932,exit_model_urgent
BSOFT,252,2016-09-01,119.444366088,2016-09-29,114.107098574,,-1466.0563033084763,-0.04870622143033065,exit_model_urgent
