ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ESTER,690,2016-07-01,57.95,2016-07-05,55.1,,-2127.3253596659997,-0.05320241986885245,exit_model_urgent
ASTRAL,185,2016-07-01,215.5360413046,2016-07-08,205.0383618602,,-2102.4482678909335,-0.05272707600573501,exit_model_urgent
CYBERTECH,647,2016-07-01,61.75,2016-07-12,57.45,,-2942.7916251069983,-0.07365771953036433,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-07-13,149.15,,-2310.9229493613966,-0.05793899653536305,exit_model_urgent
BANG,1538,2016-07-01,26.0,2016-07-13,24.8,,-2006.4354148959974,-0.050175938153846085,exit_model_urgent
BALAMINES,149,2016-07-01,267.22608569,2016-07-14,261.4049253798,,-1027.4992635351155,-0.025805744951280137,exit_model_urgent
BFINVEST,341,2016-07-01,117.2977211069,2016-07-15,113.5801953337,,-1428.5540276188622,-0.035715169564669906,exit_model_urgent
ARCHIDPLY,780,2016-07-01,51.25,2016-07-27,50.55,,-706.7831277000005,-0.017680628585365867,exit_model_urgent
CCHHL,3007,2016-07-01,13.3,2016-07-27,13.25,,-311.2059275651991,-0.007781490496240579,exit_model_urgent
CAPLIPOINT,38,2016-07-01,1049.3634660595,2016-08-12,1109.5283410538,,2125.8810665100464,0.05331254651207529,exit_model_urgent
ALKALI,625,2016-10-04,63.15,2016-10-06,84.05,,12903.753056374997,0.32693594442121926,exit_model_urgent
AIAENG,31,2016-10-04,1271.7203303297,2016-10-10,1213.6390337162,,-1959.084456191049,-0.04969353030942933,exit_model_urgent
ATLASCYCLE,130,2016-10-04,302.4,2016-10-14,403.45,,12978.383519296003,0.330137960910053,exit_model_urgent
CARBORUNIV,140,2016-10-04,280.9709689587,2016-10-17,269.6152186784,,-1748.0177913493317,-0.044438190226749864,exit_model_urgent
BANARBEADS,946,2016-10-04,41.7,2016-10-19,56.15,,13511.035710365599,0.34250068977458026,exit_model_urgent
GOODLUCK,347,2016-10-04,113.6,2016-10-26,111.65,,-835.1976489663939,-0.021187584957746326,exit_model_urgent
GENESYS,426,2016-10-04,92.6,2016-11-03,99.0,,2567.738123620802,0.06509237884233267,exit_model_urgent
CERA,16,2016-10-04,2435.2832749962,2016-11-09,2479.8190838533,,555.8540076640638,0.014265640402370931,exit_model_urgent
APOLSINHOT,129,2016-10-04,305.0,2016-11-18,412.65,,13728.600790259996,0.34892872767213107,exit_model_urgent
APARINDS,66,2017-01-04,627.3038590691,2017-01-06,594.2521569766,,-2347.9352110916443,-0.056710596326352704,exit_model_urgent
ASHOKA,253,2017-01-04,163.85,2017-01-06,155.0,,-2405.7820028725982,-0.058034908600549245,exit_model_urgent
COUNCODOS,9552,2017-01-04,4.35,2017-01-06,4.15,,-2077.522749110394,-0.04999910349425274,exit_model_urgent
GOLDIAM,2658,2017-01-04,15.63,2017-01-13,14.76,,-2479.555961977676,-0.05968428009980796,exit_model_urgent
ATULAUTO,93,2017-01-04,446.7,2017-01-24,431.55,,-1576.0401701651936,-0.03793747144929468,exit_model_urgent
EMMBI,295,2017-01-04,140.55,2017-01-27,136.35,,-1405.7649840270024,-0.03390469605549632,exit_model_urgent
CHAMBLFERT,637,2017-01-04,65.1595722552,2017-01-30,67.8504059252,,1547.1174928265827,0.037273968991027195,exit_model_urgent
BIRLAMONEY,1513,2017-01-04,27.45,2017-02-17,29.25,,2556.355078369801,0.061551678491803305,exit_model_urgent
CELEBRITY,3920,2017-01-04,10.6,2017-02-17,11.55,,3556.8740332160014,0.08560054950943399,exit_model_urgent
CHENNPETRO,152,2017-01-04,272.7274416405,2017-03-07,320.0179841402,,7021.428361051578,0.16937645643810223,exit_model_urgent
BANSWRAS,444,2017-04-07,93.725,2017-04-10,89.575,,-2009.974934278791,-0.048300566259802405,exit_model_urgent
BEDMUTHA,1191,2017-04-07,34.95,2017-04-12,33.0,,-2489.871389441403,-0.059816083416309083,exit_model_urgent
EXCELINDUS,102,2017-04-07,404.7,2017-04-17,385.55,,-2119.329544504806,-0.05134109372967645,exit_model_urgent
DHANBANK,1141,2017-04-07,36.5,2017-04-18,33.85,,-3191.1560544780004,-0.07662483172602741,exit_model_urgent
AROGRANITE,503,2017-04-07,82.75,2017-04-24,76.95,,-3084.812540839004,-0.07411272644108771,exit_model_urgent
BIRLACABLE,923,2017-04-07,45.1,2017-04-26,43.8,,-1367.328830311606,-0.032846925702882626,exit_model_urgent
GOACARBON,326,2017-04-07,127.45,2017-05-05,141.15,,4299.087306119596,0.10347104256257346,exit_model_urgent
AVTNPL,915,2017-04-07,45.5,2017-05-17,46.3,,564.5502548099976,0.013560325582417524,exit_model_urgent
ASIANHOTNR,327,2017-04-07,127.05,2017-05-23,138.8,,3675.150780127806,0.08846118230145626,exit_model_urgent
ALMONDZ,9360,2017-07-10,4.425,2017-07-11,4.225,,-2038.5870064560004,-0.04921983211299436,exit_model_urgent
DONEAR,555,2017-07-10,74.6,2017-07-12,71.35,,-1970.2766750759984,-0.04758777564611256,exit_model_urgent
COMPUSOFT,3223,2017-07-10,12.85,2017-07-17,12.25,,-2100.3771523305986,-0.05071469900389102,exit_model_urgent
DIVISLAB,58,2017-07-10,708.0822573464,2017-07-24,662.3467294379,,-2817.8429936846587,-0.06861279093926985,exit_model_urgent
DWARKESH,521,2017-10-10,78.75,2017-10-11,73.9,,-2691.8714071450013,-0.06560939358730161,exit_model_urgent
GENUSPAPER,4859,2017-10-10,8.45,2017-10-11,7.65,,-4052.341265486597,-0.09869664821301768,exit_model_urgent
CORALFINAC,422,2017-10-10,97.3,2017-10-16,90.2,,-3161.349510775195,-0.07699228727235342,exit_model_urgent
ARIES,243,2017-10-10,168.7,2017-10-17,247.9,,19080.717958342808,0.4654503442774157,exit_model_urgent
DHAMPURSUG,135,2017-10-10,302.5,2017-10-17,287.65,,-2169.002182049997,-0.053113001090909016,exit_model_urgent
GHCL,173,2017-10-10,236.4,2017-10-25,225.9,,-1980.992300942402,-0.048438335654822376,exit_model_urgent
GEECEE,245,2017-10-10,167.3,2017-10-27,158.05,,-2431.109517942001,-0.05931199038613272,exit_model_urgent
COCHINSHIP,167,2017-10-10,245.7849467928,2017-11-07,243.7233168328,,-509.3833379120333,-0.012410034332928971,exit_model_urgent
CYBERTECH,574,2017-10-10,71.45,2017-11-07,70.0,,-997.2552437316044,-0.02431600382645217,exit_model_urgent
FMGOETZE,70,2018-01-09,581.55,2018-01-12,552.65,,-2186.733332181997,-0.05371687318820386,exit_model_urgent
CROMPTON,155,2018-01-09,265.0067014058,2018-01-15,255.0725494335,,-1705.0051624254556,-0.041508509964533036,exit_model_urgent
GREENLAM,31,2018-01-09,1297.1946748987,2018-01-15,1285.2631198148,,-531.618733655836,-0.013220059980273945,exit_model_urgent
ARROWGREEN,75,2018-01-09,541.6,2018-01-16,500.9,,-3215.8773770400003,-0.07916980248744461,exit_model_urgent
DCM,340,2018-01-09,120.85,2018-01-16,115.45,,-2001.2637381879977,-0.04870558393214723,exit_model_urgent
CAMLINFINE,312,2018-01-09,131.75,2018-01-17,133.65,,427.46788624799956,0.010399160371916499,exit_model_urgent
AARTIDRUGS,213,2018-01-09,192.5875,2018-01-18,178.9875,,-3061.7907889696507,-0.07463934389848771,exit_model_urgent
EIHAHOTELS,150,2018-01-09,272.625,2018-01-18,260.5,,-1983.228424724999,-0.0484971034626318,exit_model_urgent
ALKALI,451,2018-01-09,91.0,2018-01-24,83.45,,-3570.1206777719926,-0.08698912496703279,exit_model_urgent
COFFEEDAY,126,2018-01-09,326.0,2018-01-31,318.9,,-1059.8114509920051,-0.025801233104294604,exit_model_urgent
CHAMBLFERT,257,2018-04-13,156.433680911,2018-04-16,149.4698860514,,-1951.397277643533,-0.048538048020762115,exit_model_urgent
COMPUSOFT,2483,2018-04-13,16.25,2018-04-16,15.5,,-2024.5363845850006,-0.05017593815384617,exit_model_urgent
20MICRONS,743,2018-04-13,54.25,2018-04-17,51.85,,-1945.321478812999,-0.04826172333640551,exit_model_urgent
ABBOTINDIA,6,2018-04-13,6252.9204423703,2018-04-18,5951.6608561183,,-1958.456445239368,-0.0522011131515632,exit_model_urgent
FACT,701,2018-04-13,57.5102203187,2018-04-18,54.7194297313,,-2118.493491107911,-0.05254895508510866,exit_model_urgent
DPSCLTD,1403,2018-04-13,28.75,2018-04-20,27.3,,-2196.5861084349963,-0.05445687460869556,exit_model_urgent
ATUL,14,2018-04-13,2691.2995289184,2018-04-25,2662.761812697,,-551.0731873677287,-0.014625785834431288,exit_model_urgent
FILATEX,2374,2018-04-13,16.9933006699,2018-04-30,22.402759724,,12679.796173691822,0.3143068282716043,exit_model_urgent
BEARDSELL,960,2018-07-12,42.0,2018-07-13,39.3,,-2754.1707494400034,-0.06830780628571437,exit_model_urgent
DHAMPURSUG,454,2018-07-12,88.8,2018-07-13,84.2,,-2250.5514433983917,-0.055823893801801604,exit_model_urgent
GRINDWELL,78,2018-07-12,515.05,2018-07-13,510.95,,-481.3831217987972,-0.011982484194932464,exit_model_urgent
BAJAJELEC,71,2018-07-12,564.0,2018-07-16,524.2,,-2986.8606520479952,-0.07458946788652471,exit_model_urgent
CAMLINFINE,438,2018-07-12,92.0,2018-07-16,87.3,,-2220.6742192320016,-0.05510904852173917,exit_model_urgent
CUB,319,2018-07-12,126.4817864474,2018-07-16,122.4739422294,,-1440.7844262136423,-0.03570921732113668,exit_model_urgent
DCBBANK,220,2018-07-12,182.6,2018-07-16,161.75,,-4748.575479824001,-0.11820610076232205,exit_model_urgent
EMKAY,330,2018-07-12,122.0,2018-07-16,117.35,,-1696.4294239200026,-0.04213684609836072,exit_model_urgent
ATULAUTO,99,2018-07-12,406.95,2018-07-17,383.0,,-2533.092243600593,-0.06287453087455445,exit_model_urgent
AHLWEST,116,2018-04-13,345.55,2018-07-24,299.95,,-5450.820731309606,-0.13598562839126047,exit_model_urgent
ADANIPOWER,10453,2018-07-12,3.86,2018-07-24,5.18,,13635.674299170634,0.3379468199170983,exit_model_urgent
APTECHT,210,2018-10-16,189.5,2018-10-17,170.55,,-4139.559151139998,-0.10402209199999995,exit_model_urgent
ARCHIDPLY,803,2018-10-16,49.6,2018-10-17,46.95,,-2288.1450978495996,-0.057449511354838695,exit_model_urgent
ASHIMASYN,2443,2018-10-16,16.3,2018-10-17,14.85,,-3702.5133233228044,-0.09297914721472403,exit_model_urgent
BHARATGEAR,317,2018-10-16,125.3666666667,2018-10-17,117.9666666667,,-2505.6428966601816,-0.0630489465599419,exit_model_urgent
CENTURYPLY,193,2018-10-16,206.05,2018-10-17,187.1,,-3817.299146923804,-0.09599006093957788,exit_model_urgent
FMNL,573,2018-10-16,69.5,2018-10-17,66.25,,-2022.4237807620011,-0.05078468192805758,exit_model_urgent
DEN,533,2018-10-16,74.7,2018-10-19,71.65,,-1785.789995189196,-0.044852078613119045,exit_model_urgent
FINCABLES,76,2018-10-16,521.3701263522,2018-10-19,499.1529274256,,-1847.879013103855,-0.04663519505990123,exit_model_urgent
FINEORG,35,2018-10-16,1116.5,2018-10-19,1056.55,,-2255.4233001300017,-0.05771667328078822,exit_model_urgent
FEDERALBNK,490,2018-10-16,81.1586997944,2018-11-12,79.6180263752,,-914.8795764229944,-0.02300555801292284,exit_model_urgent
AJMERA,5052,2019-01-17,7.684,2019-01-18,7.304,,-2075.8958738962538,-0.053475501682456995,exit_model_urgent
BRIGADE,372,2019-01-17,104.3503861753,2019-01-18,102.4296777625,,-870.6344790385265,-0.022428429371606676,exit_model_urgent
