ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ASTRAL,92,2016-07-01,215.5360413046,2016-07-11,205.7723097874,,-978.0186320271496,-0.04932185466661464,signal
BANG,769,2016-07-01,26.0,2016-07-11,25.15,,-734.0677074480009,-0.036714399692307734,signal
JAYBARMARU,316,2016-07-01,63.26,2016-07-11,63.22,,-93.04226261471922,-0.004654403097059714,signal
JAYSREETEA,185,2016-07-01,108.05,2016-07-11,106.8,,-311.6486025109989,-0.015590810186024933,signal
PANACEABIO,145,2016-07-01,137.75,2016-07-11,137.35,,-138.3362600850014,-0.006925903252268674,signal
PARSVNATH,904,2016-07-01,22.1,2016-07-11,23.3,,1004.4450371872008,0.05027655053393669,signal
PGIL,162,2016-07-01,123.45,2016-07-11,122.675,,-205.9874156988044,-0.010299937281490701,signal
SHILPAMED,71,2016-07-01,279.025,2016-07-11,288.275,,577.0692403587018,0.029129059330526032,signal
TIJARIA,4040,2016-07-01,4.95,2016-07-11,6.2,,4969.5662041840005,0.24850316052525256,signal
TRITURBINE,171,2016-07-01,116.9407255749,2016-07-11,113.6673340679,,-640.1791747113384,-0.03201397841003774,signal
AARTIDRUGS,161,2016-07-11,124.35,2016-07-18,123.7875,,-171.08618957220096,-0.008545614316043474,signal
AHLEAST,137,2016-07-11,145.8666666667,2016-07-18,138.5333333333,,-1085.0430806459553,-0.05429631503518064,signal
BHARATGEAR,305,2016-07-11,65.6333333333,2016-07-18,62.3666666667,,-1076.8482413176243,-0.053793549591696105,signal
CELEBRITY,1408,2016-07-11,14.25,2016-07-18,14.2,,-151.09925388800184,-0.0075308639298246535,signal
ELGIRUBCO,549,2016-07-11,36.55,2016-07-18,33.75,,-1617.9070969673958,-0.08062947914090267,signal
JYOTISTRUC,1454,2016-07-11,13.8,2016-07-18,13.3,,-807.7040803983982,-0.040253976057970924,signal
NSIL,24,2016-07-11,833.5,2016-07-18,789.5,,-1136.4579283679996,-0.05681153411157766,signal
PFOCUS,318,2016-07-11,63.0,2016-07-18,64.2,,301.0214088720022,0.015025527047619157,signal
SICAGEN,791,2016-07-11,25.35,2016-07-18,22.4,,-2414.100385470203,-0.12039290067850113,signal
AROGRANITE,256,2016-07-18,77.8,2016-07-25,73.85,,-1091.3072019456013,-0.05479330022622114,signal
ASTRAL,90,2016-07-18,219.9397288681,2016-07-25,230.9711886233,,913.2157738113747,0.04613464781218612,signal
AUTOIND,371,2016-07-18,53.7,2016-07-25,53.25,,-247.08093228840153,-0.0124019802681565,signal
BEDMUTHA,978,2016-07-11,20.5,2016-07-25,27.0,,6276.361077492002,0.3130510787317074,signal
BVCL,786,2016-07-18,25.35,2016-07-25,23.55,,-1494.940585309203,-0.07502800915976346,signal
HINDCOMPOS,47,2016-07-18,418.8666666667,2016-07-25,452.1666666667,,1485.9181473538629,0.07547814673944948,signal
JPOLYINVST,186,2016-07-18,106.75,2016-07-25,97.9,,-1725.960647705997,-0.08692607326463685,signal
KCP,194,2016-07-18,102.35,2016-07-25,99.1,,-710.3622565428013,-0.03577587802833422,signal
REFEX,4530,2016-07-18,4.4,2016-07-25,3.94,,-2163.968337743998,-0.10856754654545443,signal
SUNDRMBRAK,64,2016-07-18,308.45,2016-07-25,365.1,,3546.2006862464004,0.17963814466720704,signal
BANSWRAS,233,2016-07-25,85.825,2016-08-01,86.9,,170.04432130529676,0.00850339591144755,signal
GHCL,88,2016-07-25,225.4,2016-08-01,239.4,,1152.2210007616013,0.05808970924223609,signal
