ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ASTRAL,92,2016-07-01,215.5360413046,2016-07-11,205.7723097874,,-978.0186320271496,-0.04932185466661464,signal
BANG,769,2016-07-01,26.0,2016-07-11,25.15,,-734.0677074480009,-0.036714399692307734,signal
HARRMALAYA,241,2016-07-01,82.85,2016-07-11,85.8,,630.6414923498014,0.03158442580325897,signal
JAYBARMARU,316,2016-07-01,63.26,2016-07-11,63.22,,-93.04226261471922,-0.004654403097059714,signal
JAYSREETEA,185,2016-07-01,108.05,2016-07-11,106.8,,-311.6486025109989,-0.015590810186024933,signal
PANACEABIO,145,2016-07-01,137.75,2016-07-11,137.35,,-138.3362600850014,-0.006925903252268674,signal
PARSVNATH,904,2016-07-01,22.1,2016-07-11,23.3,,1004.4450371872008,0.05027655053393669,signal
PGIL,162,2016-07-01,123.45,2016-07-11,122.675,,-205.9874156988044,-0.010299937281490701,signal
SHILPAMED,71,2016-07-01,279.025,2016-07-11,288.275,,577.0692403587018,0.029129059330526032,signal
TRITURBINE,171,2016-07-01,116.9407255749,2016-07-11,113.6673340679,,-640.1791747113384,-0.03201397841003774,signal
BEDMUTHA,974,2016-07-11,20.5,2016-07-12,18.75,,-1784.8091109640009,-0.08938794565853662,exit_model_urgent
CELEBRITY,1402,2016-07-11,14.25,2016-07-12,13.15,,-1622.555365021999,-0.0812150744561403,exit_model_urgent
SICAGEN,788,2016-07-11,25.35,2016-07-12,23.55,,-1498.744505373601,-0.07502800915976335,exit_model_urgent
NSIL,23,2016-07-11,833.5,2016-07-13,770.9,,-1516.905514686001,-0.07912707100419922,exit_model_urgent
BHARATGEAR,304,2016-07-11,65.6333333333,2016-07-15,61.9,,-1215.184258022895,-0.060903757819734436,exit_model_urgent
AARTIDRUGS,160,2016-07-11,124.35,2016-07-18,123.7875,,-170.0235424320017,-0.00854561431604351,signal
AHLEAST,136,2016-07-11,145.8666666667,2016-07-18,138.5333333333,,-1077.1230581594864,-0.05429631503518054,signal
ELGIRUBCO,546,2016-07-11,36.55,2016-07-18,33.75,,-1609.0660745795976,-0.08062947914090275,signal
JYOTISTRUC,1447,2016-07-11,13.8,2016-07-18,13.3,,-803.8155463112016,-0.04025397605797109,signal
PFOCUS,317,2016-07-11,63.0,2016-07-18,64.2,,300.07480066800053,0.015025527047619074,signal
JPOLYINVST,185,2016-07-18,106.75,2016-07-20,97.15,,-1855.4312893850001,-0.09395183438875879,exit_model_urgent
REFEX,4491,2016-07-18,4.4,2016-07-22,4.14,,-1247.1381467568026,-0.06311300109090921,exit_model_urgent
AROGRANITE,254,2016-07-18,77.8,2016-07-25,73.85,,-1082.7813644304042,-0.05479330022622129,signal
AUTOIND,368,2016-07-18,53.7,2016-07-25,53.25,,-245.08297326720276,-0.012401980268156563,signal
BVCL,779,2016-07-18,25.35,2016-07-25,23.55,,-1481.6268650837992,-0.07502800915976326,signal
HEG,558,2016-07-18,35.405435581,2016-07-25,35.1762123671,,-207.36794027362703,-0.010496329928116707,signal
HINDCOMPOS,47,2016-07-18,418.8666666667,2016-07-25,452.1666666667,,1485.9181473538629,0.07547814673944948,signal
KCP,193,2016-07-18,102.35,2016-07-25,99.1,,-706.7005954265987,-0.03577587802833408,signal
SUNDRMBRAK,64,2016-07-18,308.45,2016-07-25,365.1,,3546.2006862464004,0.17963814466720704,signal
GHCL,87,2016-07-25,225.4,2016-07-26,210.0,,-1418.672419701601,-0.07234507336645968,exit_model_urgent
