ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ARCHIDPLY,390,2016-07-01,51.25,2016-07-11,50.95,,-197.39156385000024,-0.009875750536585378,signal
ASTRAL,92,2016-07-01,215.5360413046,2016-07-11,205.7723097874,,-978.0186320271496,-0.04932185466661464,signal
BANG,769,2016-07-01,26.0,2016-07-11,25.15,,-734.0677074480009,-0.036714399692307734,signal
CCHHL,1503,2016-07-01,13.3,2016-07-11,14.05,,1046.8487831292005,0.05236888544360904,signal
HARRMALAYA,241,2016-07-01,82.85,2016-07-11,85.8,,630.6414923498014,0.03158442580325897,signal
JAYBARMARU,316,2016-07-01,63.26,2016-07-11,63.22,,-93.04226261471922,-0.004654403097059714,signal
JAYSREETEA,185,2016-07-01,108.05,2016-07-11,106.8,,-311.6486025109989,-0.015590810186024933,signal
PANACEABIO,145,2016-07-01,137.75,2016-07-11,137.35,,-138.3362600850014,-0.006925903252268674,signal
SHILPAMED,71,2016-07-01,279.025,2016-07-11,288.275,,577.0692403587018,0.029129059330526032,signal
TRITURBINE,171,2016-07-01,116.9407255749,2016-07-11,113.6673340679,,-640.1791747113384,-0.03201397841003774,signal
AHLEAST,136,2016-07-11,145.8666666667,2016-07-18,138.5333333333,,-1077.1230581594864,-0.05429631503518054,signal
BEDMUTHA,974,2016-07-11,20.5,2016-07-18,21.9,,1283.2908890359977,0.06427059092682916,signal
BHARATGEAR,304,2016-07-11,65.6333333333,2016-07-18,62.3666666667,,-1073.3175913460946,-0.05379354959169627,signal
BLBLIMITED,2875,2016-07-11,6.95,2016-07-18,5.15,,-5255.366425774999,-0.2630148977553956,signal
BROOKS,191,2016-07-11,104.5,2016-07-18,110.6,,1084.8210547259987,0.05435111374162673,signal
ELGIRUBCO,546,2016-07-11,36.55,2016-07-18,33.75,,-1609.0660745795976,-0.08062947914090275,signal
NSIL,23,2016-07-11,833.5,2016-07-18,789.5,,-1089.1055146860017,-0.05681153411157777,signal
PENINLAND,865,2016-07-11,23.1,2016-07-18,20.75,,-2113.117431298,-0.10575369373160173,signal
SICAGEN,788,2016-07-11,25.35,2016-07-18,22.4,,-2404.9445053736054,-0.12039290067850124,signal
WHIRLPOOL,23,2016-07-11,832.9654207283,2016-07-18,851.5972151078,,351.4752089637768,0.018345936631019674,signal
AROGRANITE,253,2016-07-18,77.8,2016-07-25,73.85,,-1078.5184456727984,-0.054793300226221,signal
ASTRAL,89,2016-07-18,219.9397288681,2016-07-25,230.9711886233,,903.0689318801342,0.04613464781218596,signal
AUTOIND,367,2016-07-18,53.7,2016-07-25,53.25,,-244.41698692680075,-0.012401980268156462,signal
BVCL,778,2016-07-18,25.35,2016-07-25,23.55,,-1479.7249050516002,-0.07502800915976332,signal
HINDCOMPOS,47,2016-07-18,418.8666666667,2016-07-25,452.1666666667,,1485.9181473538629,0.07547814673944948,signal
JHS,534,2016-07-18,36.95,2016-07-25,38.15,,561.4388961203949,0.02845422735047335,signal
JPOLYINVST,184,2016-07-18,106.75,2016-07-25,97.9,,-1707.401931063996,-0.0869260732646368,signal
STERTOOLS,36,2016-07-18,539.4,2016-07-25,568.95,,985.6974087072012,0.05076100032480541,signal
SUNDRMBRAK,64,2016-07-18,308.45,2016-07-25,365.1,,3546.2006862464004,0.17963814466720704,signal
SURYALAXMI,124,2016-07-18,159.0,2016-07-25,155.2,,-550.499565872,-0.027921463069182386,signal
ASAL,341,2016-07-25,57.9,2016-08-01,53.75,,-1494.5617822387976,-0.07569739424525032,signal
BANSWRAS,230,2016-07-25,85.825,2016-08-01,86.9,,167.85490944299818,0.008503395911447621,signal
KSL,87,2016-07-25,227.2,2016-08-01,245.05,,1473.4477206912052,0.0745430488450707,signal
NAVINFLUOR,42,2016-07-25,470.82688785,2016-08-01,433.4008712634,,-1651.4284771154707,-0.08351206496544279,signal
SHANTIGEAR,155,2016-07-25,127.5,2016-08-01,119.6,,-1303.986593149999,-0.06598287631372543,signal
SHREYANIND,272,2016-07-25,72.65,2016-08-01,65.0,,-2160.2797555936013,-0.10932147259187892,signal
STARPAPER,330,2016-07-25,59.85,2016-08-01,57.7,,-788.9383280459988,-0.03994523318629902,signal
SUMEETINDS,1289,2016-07-25,15.35,2016-08-01,15.4,,-15.13171562579737,-0.0007647630097718541,signal
SUNFLAG,701,2016-07-25,28.2,2016-08-01,30.1,,1252.3904809256019,0.06335379452482279,signal
WSTCSTPAPR,210,2016-07-25,94.25,2016-08-01,91.2,,-720.1072559099994,-0.03638283470557026,signal
BLUESTARCO,84,2016-08-01,232.1534121042,2016-08-08,229.9356137143,,-264.72942480574784,-0.013575250705694807,signal
CENTENKA,87,2016-08-01,226.15,2016-08-08,215.85,,-975.2348612045971,-0.04956708426177302,signal
COMPUSOFT,1587,2016-08-01,12.4,2016-08-08,11.0,,-2300.9499440496,-0.11692531780645163,signal
MUTHOOTFIN,65,2016-08-01,298.8309540005,2016-08-08,336.1165154295,,2345.436329571545,0.12074932451442714,signal
PNBGILTS,713,2016-08-01,27.6,2016-08-08,27.2,,-364.3499440496016,-0.01851484562318849,signal
PRIMESECU,1532,2016-08-01,12.85,2016-08-08,12.65,,-385.5797075303999,-0.019586294334630345,signal
RICOAUTO,371,2016-08-01,53.05,2016-08-08,55.05,,662.8389951973986,0.03367819075212057,signal
ROHLTD,238,2016-08-01,82.7,2016-08-08,79.05,,-947.8652279992057,-0.048157521262394476,signal
TRENT,159,2016-08-01,123.0688244415,2016-08-08,124.0527654574,,77.74255418464963,0.003972954839565247,signal
VINATIORGA,71,2016-08-01,276.775,2016-08-08,267.35,,-748.2132304442966,-0.038075023081202974,signal
20MICRONS,549,2016-08-08,35.7,2016-08-16,39.2,,1842.6698122644011,0.09401712368627456,signal
BBTC,41,2016-08-08,474.5535871537,2016-08-16,480.4714459649,,164.37558561424885,0.008448277988549429,signal
BRITANNIA,13,2016-08-08,1450.9957666753,2016-08-16,1506.1880615929,,641.6313338814762,0.034015437939913754,signal
FMNL,545,2016-08-08,36.0,2016-08-16,31.9,,-2313.4134450400015,-0.11791098088888896,signal
GALLANTT,423,2016-08-08,46.4028794561,2016-08-16,39.4970976098,,-3000.0930240352973,-0.15284436180834882,signal
JKCEMENT,25,2016-08-08,762.3898324361,2016-08-16,764.4281749943,,-25.701487193069624,-0.0013484695676459616,signal
MANGLMCEM,61,2016-08-08,317.7,2016-08-16,342.4,,1428.7530636675983,0.07372420954233545,signal
PUNJABCHEM,90,2016-08-08,217.15,2016-08-16,190.6,,-2468.1057550020014,-0.12628780694358746,signal
STERTOOLS,31,2016-08-08,620.8,2016-08-16,702.55,,2456.8456438784015,0.12766283068041245,signal
VESUVIUS,184,2016-08-08,106.605,2016-08-16,95.69,,-2087.254621649441,-0.10640940966802688,signal
BALKRISIND,56,2016-08-16,344.7780510235,2016-08-23,345.729066907,,-24.39993680864427,-0.0012637496963735693,signal
BHAGERIA,72,2016-08-16,268.7,2016-08-23,344.65,,5390.586999331201,0.2786351465560105,signal
BHARATRAS,52,2016-08-16,369.3125,2016-08-23,373.775,,154.80873970899847,0.008061170819427912,signal
INVENTURE,905,2016-08-16,21.6,2016-08-23,19.35,,-2114.8738544160005,-0.10818875866666669,signal
JISLDVREQS,411,2016-08-16,47.55,2016-08-23,52.5,,1955.8460549394003,0.10007885437223978,signal
MAANALU,8564,2016-08-16,2.284375,2016-08-23,2.475,,1553.826755643353,0.07942524042134079,signal
PPAP,121,2016-08-16,161.4,2016-08-23,155.0,,-852.9490435048028,-0.04367512793556396,signal
RATNAMANI,54,2016-08-16,360.2,2016-08-23,373.7,,650.7670929263986,0.0334570862343142,signal
SUPRAJIT,98,2016-08-16,199.05,2016-08-23,193.4,,-632.1585464347991,-0.03240691993268018,signal
WEIZMANIND,541,2016-08-16,36.1,2016-08-23,30.0,,-3378.6518589692023,-0.17299716125207765,signal
AGARIND,116,2016-08-23,167.7,2016-08-30,166.95,,-165.2425600944007,-0.008494363914132415,signal
BRIGADE,238,2016-08-23,82.1438317309,2016-08-30,81.2361650819,,-294.65749399410197,-0.01507181575739047,signal
CINEVISTA,2515,2016-08-23,7.8,2016-08-30,7.65,,-456.1513787639997,-0.023252861230769212,signal
HEIDELBERG,144,2016-08-23,136.2,2016-08-30,138.4,,237.91551402240293,0.012130624593245378,signal
IGL,281,2016-08-23,69.5897035779,2016-08-30,71.227541372,,381.5815907400065,0.019513542007501983,signal
INDIANCARD,73,2016-08-23,266.35,2016-08-30,229.1,,-2797.4537469066054,-0.1438756681216447,signal
INDORAMA,492,2016-08-23,39.8,2016-08-30,39.25,,-349.3589967072003,-0.01784118747738695,signal
SUNDRMBRAK,48,2016-08-23,407.05,2016-08-30,377.4,,-1501.785242332804,-0.07686326630291139,signal
TAJGVK,128,2016-08-23,152.25,2016-08-30,133.65,,-2459.182528895999,-0.12618957968472902,signal
UNIVCABLES,212,2016-08-23,92.5,2016-08-30,94.15,,270.9267758800015,0.013815745837837914,signal
ECLERX,36,2016-08-30,536.4434147268,2016-09-07,516.7728251904,,-785.8157149161161,-0.04069061843986308,signal
GMDCLTD,208,2016-08-30,93.5695696501,2016-09-07,89.3620468452,,-953.4445902660846,-0.04898887789667418,signal
IGPL,110,2016-08-30,176.85,2016-09-07,167.65,,-1090.2437667220001,-0.05604357913599096,signal
INDIAGLYCO,349,2016-08-30,55.675,2016-09-07,55.575,,-113.05156026290206,-0.00581823030264941,signal
LALPATHLAB,40,2016-08-30,477.8568076262,2016-09-07,539.9793804297,,2408.0235504160446,0.12598039370717218,signal
NESCO,54,2016-08-30,354.31,2016-09-07,344.49,,-607.2336404920825,-0.03173793405921381,signal
PNCINFRA,161,2016-08-30,120.4,2016-09-07,122.0,,179.63415983519735,0.00926694454485036,signal
SADBHAV,65,2016-08-30,295.3,2016-09-07,298.3,,117.79795510600161,0.006137068176092194,signal
VISAKAIND,527,2016-08-30,36.9341780734,2016-09-07,39.6911948318,,1374.6605787207955,0.07062466886525924,signal
WHIRLPOOL,21,2016-08-30,919.1188379393,2016-09-07,935.4651322083,,265.6397886213781,0.013762653121369862,signal
AUTOAXLES,26,2016-09-07,743.15,2016-09-15,761.65,,403.28554058519876,0.020871940160398242,signal
BHEL,190,2016-09-07,102.3088993845,2016-09-15,96.3171160507,,-1216.623036513207,-0.06258770427661647,signal
INDOCO,58,2016-09-07,332.6,2016-09-15,317.55,,-950.4893723536006,-0.049271641007817224,signal
KAMDHENU,319,2016-09-07,60.95,2016-09-15,55.85,,-1705.1017358605968,-0.08769723556029517,signal
PRECWIRE,1256,2016-09-07,15.5133333333,2016-09-15,14.84,,-924.0761103146579,-0.047425615848395775,signal
SIMPLEXINF,54,2016-09-07,355.75,2016-09-15,337.85,,-1043.8663983659972,-0.054338325309908495,signal
SUBROS,154,2016-09-07,126.35,2016-09-15,134.9,,1238.438536073205,0.06364708093233108,signal
VENKEYS,40,2016-09-07,486.65,2016-09-15,518.6,,1199.7059571280006,0.06163084131963426,signal
IFBIND,44,2016-09-15,439.65,2016-09-22,434.3,,-313.2057609031981,-0.01619086261298751,signal
INDNIPPON,89,2016-09-07,216.7,2016-09-22,237.025,,1731.353727060403,0.08977117057498861,signal
LGBBROSLTD,69,2016-09-07,278.6,2016-09-22,285.7,,412.581716647197,0.021462473685570554,signal
ORIENTPPR,245,2016-09-15,79.45,2016-09-22,80.75,,240.20897369700106,0.012340400133417298,signal
RANEHOLDIN,21,2016-09-15,914.05,2016-09-22,862.65,,-1156.6042570446007,-0.06025533963415572,signal
RML,36,2016-09-15,528.1,2016-09-22,534.25,,144.93359573279668,0.00762342968149954,signal
SUNTECK,148,2016-09-15,131.125,2016-09-22,127.725,,-581.254728398002,-0.02995154862535759,signal
SUPRAJIT,97,2016-09-15,199.85,2016-09-22,214.7,,1362.479936638596,0.07028363729697253,signal
VIMTALABS,378,2016-09-15,51.425,2016-09-22,52.475,,318.7159613442018,0.016395992589207677,signal
ZEEMEDIA,653,2016-09-15,29.8,2016-09-22,29.0,,-600.6674970648019,-0.030867729583892712,signal
APARINDS,34,2016-09-22,564.9805615751,2016-09-29,510.7990323384,,-1919.4337231412646,-0.09992190328845939,signal
ASAHISONG,87,2016-09-22,223.3,2016-09-29,209.2,,-1304.8375834932049,-0.06716584479892546,signal
BHARATGEAR,255,2016-09-22,76.0666666667,2016-09-29,81.5,,1307.483481467465,0.06740647942810186,signal
BRIGADE,232,2016-09-22,83.6008755621,2016-09-29,82.1677176953,,-410.50272086518817,-0.02116494914311017,signal
ESSARSHPNG,685,2016-09-22,28.4,2016-09-29,27.8,,-489.24577776799924,-0.02514885256338024,signal
GLOBUSSPR,209,2016-09-22,92.7,2016-09-29,98.8,,1196.9747829644002,0.06178157574541533,signal
ORIENTBELL,95,2016-09-22,203.5,2016-09-29,170.05,,-3255.5070935899985,-0.1683955563734643,signal
PRECOT,310,2016-09-22,62.6,2016-09-29,54.9,,-2465.0527173519986,-0.12702528688817885,signal
SADBHIN,171,2016-09-22,113.4,2016-09-29,105.1,,-1497.2939948088024,-0.07721433185890664,signal
SHANTIGEAR,144,2016-09-22,134.7,2016-09-29,117.2,,-2598.0157141056006,-0.13394042904528586,signal
AVTNPL,547,2016-09-29,35.1,2016-10-06,38.9,,2001.3770402275986,0.10424001626210819,signal
BLUESTARCO,73,2016-09-29,259.9593575088,2016-10-06,272.979980314,,874.1780917718243,0.04606505596796343,signal
GREENLAM,26,2016-09-29,736.161971831,2016-10-06,792.3750723519,,1384.5569229256544,0.07233759876354963,signal
GTL,1114,2016-09-29,17.25,2016-10-06,19.2,,2095.0094690820006,0.1090213862608696,signal
MCX,77,2016-09-29,249.2956085213,2016-10-06,240.6305841237,,-744.4139988106836,-0.038780122632776345,signal
NATHBIOGEN,177,2016-09-29,108.1,2016-10-06,116.1,,1339.042498299601,0.06998345841628127,signal
OILCOUNTUB,563,2016-09-29,34.15,2016-10-06,33.65,,-358.83055073340074,-0.018663380433382174,signal
RKDL,1694,2016-09-29,11.35,2016-10-06,13.8,,4072.967639325201,0.2118369388370045,signal
SANDESH,20,2016-09-29,933.95,2016-10-06,1039.65,,2038.8713435319987,0.10915313151303596,signal
TVSSRICHAK,5,2016-09-29,3671.6,2016-10-06,3975.0,,1443.1624350640013,0.07861218188604431,signal
ALKALI,232,2016-10-06,84.05,2016-10-17,97.5,,3041.970814836801,0.15600170335990488,signal
BVCL,705,2016-10-06,27.65,2016-10-17,26.95,,-571.9036448789993,-0.029338547696202498,signal
ELGIRUBCO,514,2016-10-06,37.9,2016-10-17,41.7,,1874.8472345848058,0.09624176024274438,signal
EXCELINDUS,49,2016-10-06,393.25,2016-10-17,433.2,,1880.0473037289994,0.09756722777113792,signal
GOACARBON,144,2016-10-06,135.0,2016-10-17,127.15,,-1208.5894684799969,-0.06217024014814799,signal
KABRAEXTRU,149,2016-10-06,130.7,2016-10-17,133.8,,383.5725737644025,0.019696347173680313,signal
KANORICHEM,221,2016-10-06,88.1,2016-10-17,85.2,,-719.2105334491971,-0.036939231614074766,signal
MOIL,137,2016-10-06,141.85,2016-10-17,130.25,,-1667.3631237774025,-0.08579861649770898,signal
RUCHIRA,204,2016-10-06,95.35,2016-10-17,116.55,,4246.564679671203,0.2183166599664396,signal
TARIL,21585,2016-10-06,0.904125,2016-10-17,0.8356533997,,-1556.4527822437594,-0.0797545408317435,signal
BLBLIMITED,3505,2016-10-17,5.6,2016-10-24,5.25,,-1305.6956217760016,-0.06652209200000009,signal
COMPUSOFT,1372,2016-10-17,14.3,2016-10-24,14.05,,-421.9118362031986,-0.02150460948251741,signal
DCM,167,2016-10-17,117.5,2016-10-24,151.75,,5640.826499729999,0.2874672697021276,signal
ESSARSHPNG,566,2016-10-17,34.65,2016-10-24,30.45,,-2456.0808660947987,-0.12523421321212116,signal
GENUSPAPER,2707,2016-10-17,7.25,2016-10-24,6.35,,-2515.2365720689995,-0.12816002303448273,signal
MAHSCOOTER,9,2016-10-17,2027.528875969,2016-10-24,1960.7042151163,,-674.8161167205326,-0.036980764818291066,signal
NILKAMAL,11,2016-10-17,1704.8,2016-10-24,1783.1,,785.8745131424002,0.04190704924824028,signal
PANAMAPET,359,2016-10-17,54.6666666667,2016-10-24,54.5333333333,,-126.80156288798389,-0.0064611163914620505,signal
VARDMNPOLY,3067,2016-10-17,6.4,2016-10-24,9.365,,9014.706160550402,0.4592591580000001,signal
VISAKAIND,465,2016-10-17,42.1626634259,2016-10-24,44.1516540872,,846.024975766737,0.04315212565338919,signal
AEGISLOG,133,2016-10-30,148.4794712657,2016-11-07,143.2934356111,,-769.1700885028877,-0.03894971943827219,signal
CEMPRO,133,2016-10-30,148.7884630483,2016-11-07,145.903230398,,-463.32858045011017,-0.023413599857456665,signal
HBLENGINE,449,2016-10-30,44.1054504478,2016-11-07,41.8098179218,,-1110.3898887257237,-0.0560708184656089,signal
HSCL,421,2016-10-30,47.0266125371,2016-11-07,44.3835473574,,-1192.3606380862511,-0.06022569751410852,signal
LTF,198,2016-10-30,99.5897392586,2016-11-07,95.3862762379,,-911.596378622311,-0.046229884208242054,signal
NAVA,667,2016-10-30,29.6938860473,2016-11-07,28.695241093,,-745.7570227117794,-0.03765342448067432,signal
PCBL,12987,2016-10-30,1.5249819471,2016-11-07,1.4143331133,,-1516.6536974951123,-0.07657956326083458,signal
SWANCORP,189,2016-10-30,104.4286116515,2016-11-07,118.525724378,,2584.9702449280194,0.13097072753058034,signal
TITAGARH,170,2016-10-30,116.061658432,2016-11-07,111.2174325853,,-902.8762074796359,-0.04576047409918587,signal
UNOMINDA,646,2016-10-30,30.6483704556,2016-11-07,30.1737483433,,-386.2386699379349,-0.019508139226803632,signal
ANDHRSUGAR,405,2016-11-07,48.42,2016-11-15,40.98,,-3092.0736263292056,-0.15767760625031005,signal
ASAHISONG,76,2016-11-07,257.95,2016-11-15,211.95,,-3574.849895986401,-0.1823512255530142,signal
FMGOETZE,38,2016-11-07,514.25,2016-11-15,521.1,,181.7022891819979,0.009298277470101984,signal
HONDAPOWER,11,2016-11-07,1665.25,2016-11-15,1481.4,,-2096.025675732999,-0.1144259352667767,signal
KDDL,75,2016-11-07,259.1,2016-11-15,209.35,,-3809.40930279,-0.19603289863836357,signal
NATHBIOGEN,101,2016-11-07,192.45,2016-11-15,150.5,,-4315.129212145397,-0.22200078776513368,signal
NEULANDLAB,19,2016-11-07,1018.8528734067,2016-11-15,994.3710063409,,-543.0159540850182,-0.028050946120949792,signal
RAJSREESUG,305,2016-11-07,64.2,2016-11-15,53.7,,-3281.256583451999,-0.16757349386915885,signal
SESHAPAPER,124,2016-11-07,157.75,2016-11-15,138.34,,-2485.516141611999,-0.12706488122345477,signal
SOTL,124,2016-11-07,157.09,2016-11-15,144.31,,-1663.0669736027194,-0.08537672946896681,signal
BALMLAWRIE,22,2016-11-15,816.25,2016-11-22,829.1,,210.4732829099994,0.011720633880551268,signal
BALRAMCHIN,174,2016-11-15,107.2666226828,2016-11-22,105.5074139845,,-381.17221664715544,-0.020422428416875846,signal
BANKINDIA,166,2016-11-15,112.1075999284,2016-11-22,106.5590696277,,-995.9066053308597,-0.05351499260837692,signal
DELTAMAGNT,503,2016-11-15,37.05,2016-11-22,33.0,,-2112.1063098257982,-0.11333383289068817,signal
POLYPLEX,53,2016-11-15,350.6,2016-11-22,319.2,,-1738.9377091256029,-0.09358284499486608,signal
POWERGRID,255,2016-11-15,73.1067660184,2016-11-22,72.6324317701,,-195.93597869735822,-0.010510332064956527,signal
SBIN,74,2016-11-15,249.8697564335,2016-11-22,231.1429971896,,-1460.150121029692,-0.07896817395563643,signal
AUSOMENT,781,2016-11-22,23.6,2016-11-29,24.1,,316.3664090927996,0.01716434867796608,signal
CRISIL,8,2016-11-22,2095.6259505724,2016-11-29,1996.3089030144,,-861.9667834303182,-0.051414637187213695,signal
HINDALCO,112,2016-11-15,165.6659132539,2016-11-29,173.220871444,,771.5270803216263,0.041581484751007695,signal
HINDPETRO,103,2016-11-22,177.4393726497,2016-11-29,186.9780664798,,908.9766839346994,0.04973538971140798,signal
INDIANB,79,2016-11-15,234.0570803796,2016-11-29,224.7676190722,,-808.2379730171124,-0.04371096316054806,signal
NTPC,201,2016-11-22,91.4439229318,2016-11-29,96.7252397007,,987.6177005035061,0.053732612736791245,signal
OIL,193,2016-11-22,95.254453183,2016-11-29,92.8275168978,,-542.3412826471613,-0.02950054685541175,signal
PNBGILTS,359,2016-11-22,51.3,2016-11-29,54.35,,1020.8763382636025,0.05543209903313854,signal
TOKYOPLAST,255,2016-11-15,73.1,2016-11-29,99.65,,6695.276194073998,0.3591790023912448,signal
VOLTAMP,21,2016-11-22,870.45,2016-11-29,910.9,,775.9283703905967,0.04244812455465546,signal
AIAENG,14,2016-11-29,1276.1029157293,2016-12-06,1214.3614379029,,-936.2371361690457,-0.05240492779276577,signal
ARIES,140,2016-11-29,134.1,2016-12-06,155.8,,2962.489244791999,0.1577974456584638,signal
GRAVITA,460,2016-11-29,40.861854699,2016-12-06,40.1557166569,,-400.4245632554048,-0.021303197992413047,signal
MGL,26,2016-11-29,698.4490212503,2016-12-06,674.1727012698,,-704.2242012332463,-0.03877956067973668,signal
QUESS,27,2016-11-29,677.95,2016-12-06,634.25,,-1253.5229863278,-0.06848112290198392,signal
