ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ASTRAL,139,2016-07-01,215.5360413046,2016-08-02,215.6917272286,,-98.85956101856209,-0.0032997723217797347,signal
BANG,1153,2016-07-01,26.0,2016-08-02,21.7,,-5078.474273976,-0.16940670738461538,signal
HARRMALAYA,362,2016-07-01,82.85,2016-08-02,76.55,,-2401.2293766363982,-0.08006313002051896,signal
JAYBARMARU,474,2016-07-01,63.26,2016-08-02,57.9,,-2661.243393922079,-0.08875177900600693,signal
JAYSREETEA,277,2016-07-01,108.05,2016-08-02,110.35,,516.7193897537982,0.01726434946228592,signal
PANACEABIO,217,2016-07-01,137.75,2016-08-02,132.4,,-1281.1773685409971,-0.042860567499092464,signal
PARSVNATH,1357,2016-07-01,22.1,2016-08-02,22.2,,15.078667547597433,0.0005027948778279687,signal
PGIL,243,2016-07-01,123.45,2016-08-02,108.425,,-3771.731123548205,-0.12573128600567046,signal
SHILPAMED,107,2016-07-01,279.025,2016-08-02,280.95,,85.89272842789796,0.0028769313850012758,signal
TRITURBINE,256,2016-07-01,116.9407255749,2016-08-02,113.8096554378,,-921.9626224407039,-0.030796939870210645,signal
BANCOINDIA,147,2016-08-02,199.55,2016-09-01,227.0,,3917.1665565857948,0.13353741689501358,signal
DWARKESH,821,2016-08-02,35.93,2016-09-01,23.255,,-10524.820801524758,-0.3567913655875313,signal
GOODLUCK,235,2016-08-02,125.55,2016-09-01,111.65,,-3385.168807891001,-0.11473495540103548,signal
GUJGASLTD,46,2016-08-02,631.25,2016-09-01,630.1,,-169.69149644999925,-0.005843874178217796,signal
INDIANB,169,2016-08-02,173.9790064968,2016-09-01,208.7561355121,,5759.07543622212,0.19587058307364277,signal
KANSAINER,121,2016-08-02,243.8622993268,2016-09-01,241.4905465844,,-405.66331082049874,-0.013747878843425279,signal
NH,89,2016-08-02,328.4346413363,2016-09-01,303.7602639117,,-2313.5880873557,-0.07914929942308875,signal
PHOENIXLTD,151,2016-08-02,195.4056375305,2016-09-01,200.1163091495,,592.6345572975843,0.020085050856944064,signal
RPGLIFE,71,2016-08-02,410.2,2016-09-01,427.55,,1114.7097881735972,0.03827434876060449,signal
SHAHALLOYS,2953,2016-08-02,10.0,2016-09-01,9.8,,-709.3723767599986,-0.024022091999999953,signal
AEGISLOG,224,2016-09-01,130.4451490792,2016-10-04,148.993402727,,4037.2844416239386,0.13816988507795466,signal
BLKASHYAP,1212,2016-09-01,24.2,2016-10-04,21.6,,-3269.1695671967973,-0.11146010852892553,signal
DEEPAKNTR,248,2016-09-01,118.3087496855,2016-10-04,120.4293316932,,407.89386635086703,0.013902043056258646,signal
GTLINFRA,11509,2016-09-01,2.55,2016-10-04,5.35,,32107.159845088594,1.0940171236862744,signal
HCC,894,2016-09-01,32.8,2016-10-04,36.15,,2876.959391865603,0.09811205434146351,signal
NDTV,307,2016-09-01,95.35,2016-10-04,86.5,,-2834.686486965398,-0.09683803326900886,signal
PATELENG,545,2016-09-01,53.85,2016-10-04,101.5,,25851.208638461,0.8808432747595172,signal
SADBHIN,263,2016-09-01,111.45,2016-10-04,108.25,,-959.4929463442022,-0.03273451909735314,signal
UFLEX,116,2016-09-01,250.8508944028,2016-10-04,312.6698499711,,7053.961182356637,0.2424149626314861,signal
AIAENG,24,2016-10-04,1271.7203303297,2016-11-04,1200.1059952846,,-1841.503469086947,-0.060335051175963876,signal
ALKALI,497,2016-10-04,63.15,2016-11-04,79.45,,7974.864430429403,0.25409350578305634,signal
ATLASCYCLE,112,2016-09-01,260.5,2016-11-04,355.9,,10567.451443807993,0.3621967179808059,signal
GENESYS,339,2016-10-04,92.6,2016-11-04,98.9,,2009.440901191203,0.06401246523542127,signal
MANALIPETC,761,2016-10-04,41.3,2016-11-04,40.45,,-773.261536095597,-0.02460320580145269,signal
MARALOVER,1060,2016-10-04,29.65,2016-11-04,30.2,,456.58967053200104,0.01452765504890391,signal
