ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BANG,1538,2016-07-01,26.0,2016-10-04,23.0,,-4774.835414895999,-0.11940670738461535,signal
ESTER,690,2016-07-01,57.95,2016-10-04,47.6,,-7302.325359666,-0.18262433531320102,signal
IVP,385,2016-07-01,103.85,2016-10-04,123.2,,7288.9377121330035,0.18230434035435733,signal
JAYBARMARU,632,2016-07-01,63.26,2016-10-04,86.76,,14691.19547477056,0.36746067752260514,signal
PANACEABIO,290,2016-07-01,137.75,2016-10-04,113.1,,-7309.172520169999,-0.1829694604210526,signal
PARSVNATH,1809,2016-07-01,22.1,2016-10-04,13.9,,-14994.5988138588,-0.37506281598190044,signal
SHILPAMED,143,2016-07-01,279.025,2016-10-04,301.925,,3114.2162164971014,0.07804940696962642,signal
TIJARIA,8080,2016-07-01,4.95,2016-10-04,5.45,,3879.132408368001,0.09698800901010103,signal
TRITURBINE,342,2016-07-01,116.9407255749,2016-10-04,119.823522765,,825.0581849855225,0.02062968928430188,signal
VIVIDHA,8888,2016-07-01,4.5,2016-10-04,2.3,,-19714.467591632,-0.4929109808888889,signal
AIAENG,30,2016-10-04,1271.7203303297,2017-01-04,1252.1190967296,,-741.4862930086892,-0.01943525567492383,signal
ALKALI,618,2016-10-04,63.15,2017-01-04,71.1,,4756.1310221436,0.12186864434204275,signal
ATLASCYCLE,129,2016-10-04,302.4,2017-01-04,391.3,,11311.199799916809,0.2899593894814817,signal
BANARBEADS,935,2016-10-04,41.7,2017-01-04,56.95,,14101.930643966,0.36168534205275776,signal
GENESYS,421,2016-10-04,92.6,2017-01-04,126.85,,14262.450352216802,0.3658483183671707,signal
MANALIPETC,944,2016-10-04,41.3,2017-01-04,35.75,,-5396.010105222398,-0.13840465858595638,signal
MASTEK,283,2016-10-04,137.45,2017-01-04,177.7,,11234.2972576518,0.2888116657300837,signal
SALONA,1197,2016-10-04,32.6,2017-01-04,42.95,,12231.999121557594,0.3134625705766869,signal
SOMATEX,3789,2016-10-04,10.3,2017-01-04,9.65,,-2619.8189778564047,-0.06712888811650497,signal
VHL,19,2016-10-04,2053.1,2017-01-04,1766.05,,-5610.847384618806,-0.14383505775909616,signal
BIRLAMONEY,1499,2017-01-04,27.45,2017-04-07,52.3,,37084.650768325395,0.9012602395118396,signal
CELEBRITY,3883,2017-01-04,10.6,2017-04-07,17.05,,24879.80149769842,0.6044684740377364,signal
EMMBI,292,2017-01-04,140.55,2017-04-07,159.1,,5251.530931064794,0.12795940924510832,signal
INDOCO,153,2017-01-04,268.9,2017-04-07,237.0,,-5046.175702436398,-0.12265355350985492,signal
NAVNETEDUL,343,2017-01-04,119.85,2017-04-07,162.35,,14412.157629913403,0.3505878370780143,signal
NDL,10145,2017-01-04,4.0579275406,2017-04-07,3.9746025397,,-1010.9123100019206,-0.024555972919835058,signal
NECCLTD,835,2017-01-04,49.25,2017-04-07,63.55,,11775.096494115001,0.2863332379492386,signal
TNPETRO,1475,2017-01-04,27.9,2017-04-07,47.5,,28744.480858969997,0.6984868685734766,signal
VLSFINANCE,733,2017-01-04,56.15,2017-04-07,63.2,,5002.108938568599,0.12153445296883347,signal
ASIANHOTNR,362,2017-04-07,127.05,2017-07-10,137.0,,3416.9155425268036,0.0742935317701693,signal
