ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ARE&M,49,2016-07-01,805.8123352148,2016-10-04,995.4042282754,,9131.191243967929,0.23125836323162874,signal
ASTRAZEN,37,2016-07-01,1061.3,2016-10-04,926.95,,-5128.889910865197,-0.13061212309394132,signal
BALPHARMA,456,2016-07-01,87.65,2016-10-04,121.55,,15297.643418107196,0.3827434527803764,signal
BLUECHIP,80000,2016-07-01,0.5,2016-10-04,0.45,,-4160.883679999999,-0.10402209199999997,signal
CEATLTD,48,2016-07-01,822.4439786298,2016-10-04,1305.295726496,,23018.102520926637,0.5830716923944531,signal
FCL,14519,2016-07-01,2.755,2016-10-04,2.895,,1871.7769434242582,0.0467946049147005,signal
FCSSOFT,133333,2016-07-01,0.3,2016-10-04,0.3,,-160.88327779080282,-0.004022092000000071,signal
FLEXITUFF,203,2016-07-01,196.4,2016-10-04,192.0,,-1053.5575903664067,-0.026425350655804643,signal
GLAXO,26,2016-07-01,1494.9599718178,2016-10-04,1253.9478461448,,-6422.64979761518,-0.16523853271843653,signal
GSS,1746,2016-07-01,22.9,2016-10-04,28.85,,10227.883086727212,0.2558032355109174,signal
ASHAPURMIN,678,2016-10-04,61.45,2017-01-04,62.5,,544.3271787948033,0.01306497065256314,signal
ASHOKLEY,1138,2016-10-04,36.6162924499,2017-01-04,37.7415626543,,1112.9595702981242,0.02670931549953433,signal
BALRAMCHIN,424,2016-10-04,98.3352554451,2017-01-04,115.9273424284,,7291.347180559867,0.1748769905688305,signal
BHARTIARTL,133,2016-10-04,313.4976951789,2017-01-04,303.7250818415,,-1467.4594779232575,-0.03519493150627807,signal
BLBLIMITED,10297,2016-10-04,4.05,2017-01-04,6.25,,22485.667300637804,0.53918778454321,signal
CENTUM,83,2016-10-04,499.8,2017-01-04,634.0,,10971.7499487272,0.26448531096118444,signal
CIGNITITEC,99,2016-10-04,419.25,2017-01-04,403.95,,-1681.6399450290046,-0.04051583081932032,signal
DALMIASUG,370,2016-10-04,112.5945627886,2017-01-04,145.1982049754,,11895.787303728852,0.28554466308403015,signal
FACT,1815,2016-10-04,22.9741867998,2017-01-04,26.1138262106,,5530.731738926821,0.1326373440078647,signal
GRANULES,361,2016-10-04,115.4518050642,2017-01-04,106.2775773931,,-3479.5293484009744,-0.08348579259782461,signal
AARTIIND,256,2017-01-04,170.7305321773,2017-04-07,191.9862388338,,5265.66726371173,0.12047647533549222,signal
AMDIND,1465,2017-01-04,29.9,2017-04-07,29.1,,-1348.1817069219978,-0.030777944842809313,signal
ARE&M,52,2017-01-04,842.4954655602,2017-04-07,834.7751638931,,-577.6625888366325,-0.013185704129314664,signal
AUTOAXLES,69,2017-01-04,628.35,2017-04-07,716.6,,5914.8675759342,0.13642511099196308,signal
FMGOETZE,90,2017-01-04,485.6,2017-04-07,575.4,,7906.218491232001,0.18090377290939047,signal
GANECOS,251,2017-01-04,174.3,2017-04-07,226.3,,12876.036290464399,0.29431410995065976,signal
GICHSGFIN,166,2017-01-04,262.7140801151,2017-04-07,438.8298153034,,29059.806448071366,0.6663482783704819,signal
GOODLUCK,504,2017-01-04,86.85,2017-04-07,87.95,,378.34338013920933,0.008643423256189046,signal
GREAVESCOT,358,2017-01-04,122.1,2017-04-07,166.6,,15755.1871189144,0.3604332724553645,signal
GREENLAM,71,2017-01-04,609.3579972989,2017-04-07,669.3153096662,,4082.955709327194,0.09437214034465237,signal
ALPHAGEO,52,2017-04-07,897.35,2017-07-10,843.65,,-2980.0796613224084,-0.06386496267476476,signal
APCOTEXIND,370,2017-04-07,126.98,2017-07-10,170.74,,16002.231660400801,0.3405991081890062,signal
BALPHARMA,530,2017-04-07,88.6,2017-07-10,95.25,,3335.630603864003,0.07103434140857795,signal
BLS,1150,2017-04-07,40.8596702978,2017-07-10,48.7159899082,,8845.77499597847,0.18825355665649462,signal
BROOKS,342,2017-04-07,137.3,2017-07-10,105.85,,-10944.763765207208,-0.2330825435659142,signal
CAPLIPOINT,123,2017-04-07,382.0714134802,2017-07-10,662.4495138602,,34297.489002542745,0.7298148046840538,signal
DPSCLTD,1147,2017-04-07,40.95,2017-07-10,37.95,,-3629.9162535077994,-0.07728216526007324,signal
GENUSPAPER,9127,2017-04-07,5.15,2017-07-10,5.1,,-645.4046134726086,-0.013730829864077853,signal
GREENPOWER,4700,2017-04-07,10.0,2017-07-10,9.15,,-4184.038324000001,-0.08902209200000002,signal
63MOONS,758,2017-07-10,64.1,2017-10-10,100.85,,27661.075398322406,0.5693008409173168,signal
ACCELYA,36,2017-07-10,1339.05,2017-10-10,1486.5,,5114.3118374664045,0.10609328830693412,signal
AHLUCONT,147,2017-07-10,330.65,2017-10-10,293.35,,-5678.595993810588,-0.11683019724724004,signal
AMDIND,1754,2017-07-10,27.7,2017-10-10,39.15,,19887.88344250639,0.4093353087220215,signal
CCL,179,2017-07-10,271.0692896939,2017-10-10,287.465540817,,2739.7714047821937,0.05646521418512774,signal
DYNAMATECH,19,2017-07-10,2457.8,2017-10-10,2151.2,,-6013.224456634409,-0.12876779954333162,signal
FLEXITUFF,407,2017-07-10,119.4,2017-10-10,74.3,,-18551.156778413606,-0.3817440350485763,signal
GILLANDERS,727,2017-07-10,66.8,2017-10-10,63.45,,-2630.7772670511986,-0.054171792598802365,signal
GOLDIAM,2935,2017-07-10,16.56,2017-10-10,15.89,,-2161.938150731199,-0.044481029198067616,signal
APLLTD,100,2017-10-10,500.75,2018-01-09,559.85,,5708.593743099998,0.11400087355167246,signal
BOSCHLTD,2,2017-10-10,20566.3627960007,2018-01-09,19213.2998634248,,-2871.5654716935824,-0.06981218556185302,signal
BYKE,295,2017-10-10,169.75,2018-01-09,179.15,,2571.588715484999,0.051353460282768756,signal
CARBORUNIV,157,2017-10-10,318.4211946374,2018-01-09,401.4247213049,,12830.480750483199,0.2566500242579008,signal
CHOLAFIN,228,2017-10-10,218.9157074301,2018-01-09,260.3200521309,,9239.436793441797,0.1851116398224204,signal
CROMPTON,245,2017-10-10,204.1540216915,2018-01-09,265.0067014058,,14707.730596937268,0.29405031044453944,signal
ELGIRUBCO,1198,2017-10-10,41.8,2018-01-09,51.0,,10820.188112171207,0.21607360177990448,signal
EUROTEXIND,1362,2017-10-10,36.75,2018-01-09,38.1,,1637.380218078004,0.0327126018775511,signal
FOSECOIND,37,2017-10-10,1337.75,2018-01-09,1990.25,,23943.419517799004,0.4837372053276024,signal
ABCAPITAL,285,2018-01-09,183.75,2018-04-13,158.95,,-7278.631930424999,-0.13898807839455782,signal
AUROPHARMA,81,2018-01-09,644.217704802,2018-04-13,596.0493711666,,-4111.514357483538,-0.0787923649626229,signal
BALRAMCHIN,399,2018-01-09,131.5739217934,2018-04-13,66.5194531544,,-26167.88475184429,-0.4984549382075473,signal
BATAINDIA,71,2018-01-09,735.9182162868,2018-04-13,759.2697516007,,1447.8039225898247,0.027709063442413414,signal
CANBK,850,2018-01-09,61.7278729557,2018-04-13,48.0604045126,,-11828.382083028315,-0.22543695353117046,signal
CLEDUCATE,182,2018-01-09,288.4,2018-04-13,204.1,,-15553.714782569601,-0.2963244498363385,signal
DHAMPURSUG,230,2018-01-09,227.85,2018-04-13,114.8,,-26212.279742306,-0.5001818462242703,signal
DHANBANK,1726,2018-01-09,30.4,2018-04-13,22.65,,-13587.5407760768,-0.2589563025263158,signal
DWARKESH,1031,2018-01-09,50.9,2018-04-13,25.85,,-26037.6209417668,-0.4961635458310412,signal
GICRE,77,2018-01-09,676.1604931903,2018-04-13,635.0059436178,,-3378.3079547815214,-0.06488715286494692,signal
ARCHIDPLY,565,2018-04-13,83.5,2018-07-12,58.35,,-14399.502245329997,-0.3052196967904191,signal
BASML,190,2018-04-13,248.0,2018-07-12,228.6,,-3875.5209750400027,-0.08224789845161296,signal
BLUEDART,12,2018-04-13,3802.9058112557,2018-07-12,3566.7987411056,,-3016.83248628366,-0.0661080551735498,signal
BRIGADE,391,2018-04-13,120.6647086341,2018-07-12,96.5991504701,,-9599.3951448023,-0.20346365562218272,signal
COUNCODOS,14759,2018-04-13,3.2,2018-07-12,2.65,,-8307.408578649607,-0.17589709200000014,signal
DHANUKA,79,2018-04-13,593.95,2018-07-12,543.95,,-4138.724801928598,-0.08820426221634813,signal
ELGIRUBCO,1143,2018-04-13,41.3,2018-07-12,33.9,,-8648.066472742794,-0.1831988474479418,signal
EMMBI,261,2018-04-13,180.85,2018-07-12,149.1,,-8476.600183270202,-0.17958194823444848,signal
