ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
FLUOROCHEM,49,2020-01-28,601.7379213893,2020-02-26,538.0877754254,,-3237.4491709372123,-0.10979928120712823,signal
KRBL,100,2020-01-28,297.2,2020-02-26,270.3,,-2809.536574239999,-0.09453353210767157,signal
MAGNUM,8450,2020-01-28,3.55,2020-02-26,2.9,,-5613.15270477,-0.18712068354929579,signal
MANAPPURAM,178,2020-01-28,167.6700834965,2020-02-26,157.2417686777,,-1976.2804790081682,-0.06621753319817705,signal
MASTEK,71,2020-01-28,419.85,2020-02-26,413.35,,-581.3959481601996,-0.019503811661783957,signal
MOTHERSON,1145,2020-01-28,26.1825097758,2020-02-26,20.9527886584,,-6108.608869682994,-0.2037631085099501,signal
SHREERAMA,5660,2020-01-28,5.3,2020-02-26,4.8,,-2950.654715815999,-0.0983617146415094,signal
SNOWMAN,700,2020-01-28,42.8,2020-02-26,43.6,,439.49812368000494,0.014669496785046896,signal
SUNDRMBRAK,94,2020-01-28,318.55,2020-02-26,278.1,,-3922.7363162203983,-0.13100372753602255,signal
TATASTEEL,734,2020-01-28,40.8248504747,2020-02-26,38.0848969246,,-2131.649663273085,-0.07113693793919094,signal
